cluster,domain
1,Money & Markets
2,Money & Markets
3,Health & Safety
4,"People, Work & Living Conditions"
5,Health & Safety
7,Transports
8,Transports
9,Living Well
10,"People, Work & Living Conditions"
11,"People, Work & Living Conditions"
12,"People, Work & Living Conditions"
13,"People, Work & Living Conditions"
14,Learning & Education
15,"People, Work & Living Conditions"
17,"People, Work & Living Conditions"
18,"People, Work & Living Conditions"
20,Environment & Natural Resources and Production
21,Environment & Natural Resources and Production
22,Environment & Natural Resources and Production
23,Money & Markets
24,Transports
25,Environment & Natural Resources and Production
26,Environment & Natural Resources and Production
27,Environment & Natural Resources and Production
28,Transports
29,Transports
30,Transports
31,Environment & Natural Resources and Production
32,Environment & Natural Resources and Production
33,Money & Markets
35,Environment & Natural Resources and Production
36,Environment & Natural Resources and Production
37,"People, Work & Living Conditions"
38,Environment & Natural Resources and Production
39,"People, Work & Living Conditions"
40,Environment & Natural Resources and Production
41,Environment & Natural Resources and Production
42,Money & Markets
43,"People, Work & Living Conditions"
44,Environment & Natural Resources and Production
46,Environment & Natural Resources and Production
47,Environment & Natural Resources and Production
49,Environment & Natural Resources and Production
50,Environment & Natural Resources and Production
51,Environment & Natural Resources and Production
53,Money & Markets
54,"People, Work & Living Conditions"
55,Living Well
56,Living Well
57,"People, Work & Living Conditions"
58,"People, Work & Living Conditions"
60,Learning & Education
61,Learning & Education
62,"People, Work & Living Conditions"
63,"People, Work & Living Conditions"
64,"People, Work & Living Conditions"
65,"People, Work & Living Conditions"
66,"People, Work & Living Conditions"
67,Money & Markets
68,Health & Safety
69,"People, Work & Living Conditions"
70,Environment & Natural Resources and Production
71,"People, Work & Living Conditions"
73,Living Well
74,Transports
75,"People, Work & Living Conditions"
76,"People, Work & Living Conditions"
77,"People, Work & Living Conditions"
79,Learning & Education
80,"People, Work & Living Conditions"
81,"People, Work & Living Conditions"
82,"People, Work & Living Conditions"
83,"People, Work & Living Conditions"
84,Transports
85,Tech & Innovation
87,Money & Markets
88,Money & Markets
89,Money & Markets
90,Environment & Natural Resources and Production
91,Environment & Natural Resources and Production
92,Health & Safety
94,"People, Work & Living Conditions"
95,"People, Work & Living Conditions"
96,Environment & Natural Resources and Production
97,Health & Safety
98,Health & Safety
99,Health & Safety
100,Tech & Innovation
101,Money & Markets
102,Transports
104,Money & Markets
105,Money & Markets
106,Environment & Natural Resources and Production
107,Money & Markets
109,Transports
110,Transports
111,Transports
112,Environment & Natural Resources and Production
114,Health & Safety
115,Health & Safety
116,Health & Safety
117,Money & Markets
118,Environment & Natural Resources and Production
119,"People, Work & Living Conditions"
120,"People, Work & Living Conditions"
121,"People, Work & Living Conditions"
122,"People, Work & Living Conditions"
125,"People, Work & Living Conditions"
126,"People, Work & Living Conditions"
127,Learning & Education
128,"People, Work & Living Conditions"
129,"People, Work & Living Conditions"
130,Health & Safety
