"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"Database by themes"	"data"	"folder"	" "	" "	" "	" "	
"    General and regional statistics"	"general"	"folder"	" "	" "	" "	" "	
"        European and national indicators for short-term analysis"	"euroind"	"folder"	" "	" "	" "	" "	
"            Balance of payments"	"ei_bp"	"folder"	" "	" "	" "	" "	
"                Current account - quarterly data"	"ei_bpm6ca_q"	"table"	"08.07.2026"	"03.07.2026"	"1991-Q1"	"2026-Q1"	311618
"                Financial account - quarterly data"	"ei_bpm6fa_q"	"table"	"08.07.2026"	"02.07.2026"	"1991-Q1"	"2026-Q1"	55386
"                Current account - monthly data"	"ei_bpm6ca_m"	"table"	"18.07.2026"	"17.07.2026"	"1991-01"	"2026-05"	257920
"                Financial account - monthly data"	"ei_bpm6fa_m"	"table"	"18.07.2026"	"17.07.2026"	"1991-01"	"2026-05"	88600
"                International investment position - quarterly data"	"ei_bpm6iip_q"	"table"	"08.07.2026"	"03.07.2026"	"1992-Q4"	"2026-Q1"	69520
"            Business and consumer surveys"	"ei_bcs"	"folder"	" "	" "	" "	" "	
"                Business and consumer survey - composite indicators"	"ei_bcs_mi"	"folder"	" "	" "	" "	" "	
"                    Economic sentiment and confidence indicators by sector - monthly data"	"ei_bssi_m_r2"	"dataset"	"30.07.2026"	"30.07.2026"	"1980-01"	"2026-07"	141620
"                        Confidence indicators by sector"	"teibs020"	"table"	"30.07.2026"	"30.07.2026"	"2025-08"	"2026-07"	1990
"                        Economic sentiment indicator"	"teibs010"	"table"	"30.07.2026"	"30.07.2026"	"2025-08"	"2026-07"	407
"                    Employment expectations indicators - monthly data"	"ei_bsee_m_r2"	"dataset"	"30.07.2026"	"30.07.2026"	"1980-01"	"2026-07"	64785
"                        Employment expectations by sectors"	"teibs040"	"table"	"30.07.2026"	"30.07.2026"	"2025-08"	"2026-07"	1580
"                        Employment expectations indicator"	"teibs030"	"table"	"30.07.2026"	"30.07.2026"	"2025-08"	"2026-07"	395
"                    Euro area business climate indicator - monthly data"	"ei_bsci_m_r2"	"dataset"	"30.07.2026"	"30.07.2026"	"1985-01"	"2026-07"	991
"                    Labour hoarding indicators - monthly data"	"ei_bslh_m_r2"	"dataset"	"30.07.2026"	"30.07.2026"	"1980-03"	"2026-07"	74912
