Time frequency,Age class,Size classes in number of employees,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Austria,:,:,:,:,:,:,535.0,634.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Belgium,:,:,:,:,:,:,643.0,1141.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Bulgaria,:,:,:,:,:,:,361.0,450.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Cyprus,:,:,:,:,:,:,74.0,134.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Czechia,:,:,:,:,:,:,1492.0,1885.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Germany,:,:,:,:,:,:,1640.0,3008.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Denmark,:,:,:,:,:,:,272.0,237.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Estonia,:,:,:,:,:,:,756.0,447.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Greece,:,:,:,:,:,:,717 b,1151.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Spain,:,:,:,:,:,:,5123 b,5437.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,European Union - 27 countries (from 2020),:,:,:,:,:,:,39137.0,47568.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Finland,604.0,663.0,714.0,750.0,786.0,823.0,877 b,957.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,France,:,:,:,:,:,:,10907 b,13065 b
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Croatia,:,:,:,:,:,:,268.0,407.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Hungary,:,:,:,:,:,:,998.0,861.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Ireland,:,:,:,:,:,:,361.0,561.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Italy,:,:,:,:,:,:,2736 b,3900.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Lithuania,:,:,:,:,:,:,708.0,695.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Luxembourg,:,:,:,:,:,:,32.0,45.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Latvia,:,:,:,:,:,:,376.0,629.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Malta,:,:,:,:,:,:,83 b,97.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Netherlands,:,:,:,:,:,:,1719.0,1734.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Poland,:,:,:,:,:,:,1973.0,2162.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Portugal,:,:,:,:,:,:,2034 b,3147.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Romania,:,:,:,:,:,:,1665.0,2108.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Serbia,:,:,:,:,:,:,327 b,541.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Sweden,:,:,:,:,:,:,1265.0,878 b
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Slovenia,:,:,:,:,:,:,711.0,724.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Slovakia,:,:,:,:,:,:,811.0,1074.0
Annual,Total,Total,Enterprise births - number,Sports activities and amusement and recreation activities,Türkiye,:,:,:,:,:,:,2819.0,3405.0
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Austria,:,:,:,:,:,259.0,582.0,508 p
