Time frequency,Economical indicator for structural business statistics,Client specialisation,Enterprise,Geopolitical entity (reporting)\Time,2000.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Non-specialised enterprises,Denmark,2131.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Non-specialised enterprises,Spain,3987.8
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Non-specialised enterprises,Luxembourg,654.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Non-specialised enterprises,Portugal,308.9
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Specialised enterprises,Denmark,1149.5
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Specialised enterprises,Spain,3158.2
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Specialised enterprises,Luxembourg,17.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Specialised enterprises,Portugal,219.4
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Denmark,3281.1
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Spain,7146.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Luxembourg,671.7
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Portugal,528.2
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Non-specialised enterprises,Denmark,461.6
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Non-specialised enterprises,Spain,664.3
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Non-specialised enterprises,Luxembourg,130.8
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Non-specialised enterprises,Portugal,172.1
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Specialised enterprises,Denmark,294.9
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Specialised enterprises,Spain,753.2
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Specialised enterprises,Luxembourg,47.2
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Specialised enterprises,Portugal,94.2
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Denmark,756.5
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Spain,1417.6
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Luxembourg,178.0
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Portugal,266.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Non-specialised enterprises,Denmark,473.9
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Non-specialised enterprises,Spain,1243.7
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Non-specialised enterprises,Luxembourg,143.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Non-specialised enterprises,Portugal,316.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Specialised enterprises,Denmark,436.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Specialised enterprises,Spain,1109.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Specialised enterprises,Luxembourg,20.1
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Specialised enterprises,Portugal,166.5
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Denmark,910.2
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Spain,2353.0
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Luxembourg,163.4
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Portugal,482.8
Annual,Turnover or gross premiums written - million euro,Total,Non-specialised enterprises,Denmark,3067.1
Annual,Turnover or gross premiums written - million euro,Total,Non-specialised enterprises,Spain,5895.9
Annual,Turnover or gross premiums written - million euro,Total,Non-specialised enterprises,Luxembourg,928.2
Annual,Turnover or gross premiums written - million euro,Total,Non-specialised enterprises,Portugal,797.3
Annual,Turnover or gross premiums written - million euro,Total,Specialised enterprises,Denmark,1880.6
Annual,Turnover or gross premiums written - million euro,Total,Specialised enterprises,Spain,5020.7
Annual,Turnover or gross premiums written - million euro,Total,Specialised enterprises,Luxembourg,85.0
Annual,Turnover or gross premiums written - million euro,Total,Specialised enterprises,Portugal,480.0
Annual,Turnover or gross premiums written - million euro,Total,Total,Denmark,4947.7
Annual,Turnover or gross premiums written - million euro,Total,Total,Spain,10917.0
Annual,Turnover or gross premiums written - million euro,Total,Total,Luxembourg,1013.1
Annual,Turnover or gross premiums written - million euro,Total,Total,Portugal,1277.3
