Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,2004.0
Annual,Income from intellectual property rights - million euro,Computer and related activities,Germany,197.4
Annual,Income from intellectual property rights - million euro,Computer and related activities,Denmark,28.7
Annual,Income from intellectual property rights - million euro,Computer and related activities,Greece,3.1
Annual,Income from intellectual property rights - million euro,Computer and related activities,Spain,14.1
Annual,Income from intellectual property rights - million euro,Computer and related activities,Lithuania,0.3
Annual,Income from intellectual property rights - million euro,Computer and related activities,Latvia,0.1
Annual,Income from intellectual property rights - million euro,Computer and related activities,Malta,0.0
Annual,Income from intellectual property rights - million euro,Computer and related activities,Norway,9.9
Annual,Income from intellectual property rights - million euro,Computer and related activities,Romania,0.0
Annual,Income from intellectual property rights - million euro,Computer and related activities,Sweden,37.0
Annual,Income from intellectual property rights - million euro,Computer and related activities,Slovenia,0.0
Annual,Income from intellectual property rights - million euro,Computer and related activities,Slovakia,2.8
Annual,Income from intellectual property rights - million euro,Computer and related activities,United Kingdom,219.0
