Time frequency,Economical indicator for structural business statistics,Client/Trader,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,Denmark,:,3933.1
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,Spain,:,9365.0
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,Finland,:,2931.9
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,France,28063.0,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,Luxembourg,:,884.6
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,Portugal,:,1166.4
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,Sweden,9074.7,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Computer and related activities,United Kingdom,:,61127.0
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,Denmark,:,104.9
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,Spain,:,366.3
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,France,8587.7,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,Luxembourg,:,169.9
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,Portugal,:,69.2
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,Sweden,186.5,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Hardware consultancy,United Kingdom,:,1406.4
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,Denmark,:,3098.1
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,Spain,:,7528.1
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,Finland,:,2007.0
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,France,11915.0,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,Luxembourg,:,340.5
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,Portugal,:,691.7
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,Sweden,7505.8,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Software consultancy and supply,United Kingdom,:,39363.0
