Time frequency,Raw materials,Environment indicator,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2022.0
Annual,Aluminium,Extraction,Percentage,European Union - 27 countries (from 2020),16.8,14.0,13.8,12.7,11.8,13.5,12.8,9.8,11.0
Annual,Aluminium,Processing,Percentage,European Union - 27 countries (from 2020),52.9,56.2,53.3,49.0,53.8,52.2,53.6,52.3,42.0
Annual,Borate/Boron,Extraction,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Borate/Boron,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Annual,Cobalt,Extraction,Percentage,European Union - 27 countries (from 2020),4.0,11.5,19.2,13.7,15.6,15.3,6.8,2.6,19.0
Annual,Cobalt,Processing,Percentage,European Union - 27 countries (from 2020),25.2,27.5,33.8,26.0,26.2,28.3,13.5,8.5,99.0
Annual,Copper,Extraction,Percentage,European Union - 27 countries (from 2020),57.4,57.3,58.4,55.6,57.5,62.1,60.7,62.3,52.0
Annual,Copper,Processing,Percentage,European Union - 27 countries (from 2020),82.9,90.3,88.4,84.9,82.3,78.7,82.0,82.1,83.0
Annual,Dysprosium,Extraction,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dysprosium,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Europium,Extraction,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Europium,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Iron,Extraction,Percentage,European Union - 27 countries (from 2020),25.5,28.3,30.3,29.6,25.7,28.0,28.2,30.2,23.0
Annual,Iron,Processing,Percentage,European Union - 27 countries (from 2020),95.8,96.8,95.8,95.7,94.7,94.5,95.7,94.9,94.9
Annual,Fluorspar,Extraction,Percentage,European Union - 27 countries (from 2020),23.0,28.2,31.3,37.4,43.7,29.7,33.6,29.0,40.0
Annual,Fluorspar,Processing,Percentage,European Union - 27 countries (from 2020),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,:
Annual,Gallium,Processing,Percentage,European Union - 27 countries (from 2020),100.0,100.0,100.0,56.1,30.2,14.3,0.0,0.0,2.0
Annual,Germanium,Processing,Percentage,European Union - 27 countries (from 2020),36.5,57.0,51.8,100.0,69.2,0.0,0.0,0.0,58.0
Annual,Natural graphite,Extraction,Percentage,European Union - 27 countries (from 2020),0.9,0.5,0.7,0.8,1.3,0.9,0.7,0.3,1.0
Annual,Indium,Processing,Percentage,European Union - 27 countries (from 2020),100.0,100.0,100.0,100.0,100.0,54.9,66.5,100.0,89.0
Annual,Lithium,Extraction,Percentage,European Union - 27 countries (from 2020),16.1,11.2,13.3,9.1,9.7,14.1,19.6,30.1,19.0
Annual,Lithium,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Limestone,Extraction,Percentage,European Union - 27 countries (from 2020),89.9,92.1,93.6,92.6,93.9,93.7,93.7,94.3,100.0
Annual,Magnesium,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Molybdenum,Extraction,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Molybdenum,Processing,Percentage,European Union - 27 countries (from 2020),3.0,7.0,16.0,13.0,14.0,14.0,18.0,22.0,0.0
Annual,Neodymium,Extraction,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Neodymium,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Phosphorus,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Platinum,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.6,1.0,10.6,3.1,2.8,3.5,3.9,3.9
Annual,Silicon,Processing,Percentage,European Union - 27 countries (from 2020),39.5,39.7,37.5,35.4,35.7,32.8,36.1,31.8,36.0
Annual,Tantalum,Extraction,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Annual,Vanadium,Extraction,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,100.0
Annual,Vanadium,Processing,Percentage,European Union - 27 countries (from 2020),60.2,53.7,49.9,52.6,47.9,52.9,50.9,48.3,0.0
Annual,Yttrium,Extraction,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Yttrium,Processing,Percentage,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
