Time frequency,Materials,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,20.2,18.5,16.2,14.3,14.8,13.0,12.5,16.6,16.7,17.8,20.9,22.2,:,:
Annual,Total,Percentage,Austria,34.3 b,35.8,34.9,37.0,37.3,38.0,39.5,39.7,39.1,38.9,41.5,41.3,42.9,42.7,40.6,42.4,43.1,44.2,44.5,44.4,44.3,43.4,42.5,41.5 i
Annual,Total,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,22.0,21.4,23.0,22.2,21.7,19.1,21.0,22.1,:
Annual,Total,Percentage,Belgium,67.1,66.3,66.8,69.0,69.7,70.2,70.7,69.7,70.4,70.1,72.5,71.3,72.2,72.1,71.5,71.4,72.9,72.0,72.7,72.5,72.3,72.9,75.2,75.6 e
Annual,Total,Percentage,Bulgaria,16.1,15.7,15.2,17.5,16.6,17.5,18.2,18.8,16.9 e,16 e,15.9 e,15.0,15.2,15.7,14.5,14.1,16.1,16.8,15.7,16.4,16.0,15.3,17.4,16.1 i
Annual,Total,Percentage,Switzerland,43.1,44.1,45.1 b,46.3,44.6,44.6,46.1,45.7,46.3,44.6,45.5,45.1,45.8,46.5,44.9,47.8,47.0,47.4,47.2,46.9,45.2,46.1,46.6,46.7 e
Annual,Total,Percentage,Cyprus,22.2 i,23.4 i,21.2 i,19.9 i,24.2 i,27.4 i,27 i,25.7 i,36.0,34.4,24.7,22.5,26.5,29.2,30.8,32.8,33.6,33.3,34.0,31.4,32.4,31.9,31.1,32.7 i
Annual,Total,Percentage,Czechia,20.2,21.1,22.2,23.0,25.4,24.2,25.6,25.2,26.3,25.3,29.3,29.1,29.9,31.8,31.8,33.0,32.3,32.9,32.8,32.7,31.1,33.2,32.9,32.4 i
Annual,Total,Percentage,Germany,30.7,31.4,32.2,34.1,34.7,35.2,36.2,36.6,37.2,35.4,38.0,37.1,36.8,37.9,38.0,40.0,40.0,39.1,40.0,41.4,39.7,40.0,38.8,37.5 i
Annual,Total,Percentage,Denmark,29.1,30.3,29.7,33.5,32.0,30.5,33.2,33.3,35.7,35.5,35.2,36.0,34.8,38.8,37.1,35.9,35.4,36.0,38.1,37.1,37.0,37.7,38.7,39.8 i
Annual,Total,Percentage,Estonia,18.2,18.3,18.3,18.3,24.6,22.8,26.6,24.1,21.6,20.9,21.5,21.8,20.7,19.3,20.2,19.7,22.3,20.9,23.4,24.4,26.7,30.4,25.3,19.2 i
Annual,Total,Percentage,Greece,23.8 i,25.4 i,22.9 i,23.8 i,23.4 i,23.4 i,24.8 i,19.6 i,20.6,21.2,23.2,24.2,25.0,26.2,26.3,29.5,32.5,33.8,35.5,36.3,39.2,40.6 b,40.1,39.4 i
Annual,Total,Percentage,Spain,28.3,27.8,27.7,26.4,27.1,28.1,27.1,27.2,29.4 b,29.8,32.6,35.4,41.5,41.7,43.3,43.7,42.9,45.7,42.8,41.8,37.9,39.4,42.3,42 i
Annual,Total,Percentage,European Union - 27 countries (from 2020),21.1 i,20.7 i,21.4 i,22.3 i,22.1 i,22.1 i,22.1 i,21.7 i,21.8,20.9 i,22.7 i,22 i,22.8 i,23 i,23 i,23.9 i,24.1 i,24.1 i,24.2 i,23.7 i,22.2,22.6,23.7,22 i
Annual,Total,Percentage,Finland,27.0,27.8,27.8,30.0,29.0,27.8,28.0,27.4,27.8,25.6,22.1,22.7,20.7,19.3,21.3,20.6,20.2,20.7,19.8,19.5,18.8,18.0,17.6,16.1 i
Annual,Total,Percentage,France,32.5,32.7,32.8,34.6,34.3,35.1,34.8,33.7,34.3,31.7,34.6,37.3 b,37.5,37.4,36.8,38.8,39.4,38.2,38.6,37.5,36.7,36.0,37.6,35.3 i
Annual,Total,Percentage,Croatia,23.6 i,23.9,24.0,26.2,26.9,30.9,29.1,29.8,27.1,24.2,26.8,27.3,28.4,27.6,28.3,29.5,31.0,31.8,31.4,32.7,33.8,35.5,36.8,36.9 i
Annual,Total,Percentage,Hungary,22.3,20.0,22.3,23.8,21.1,19.4,22.7,27.9,26.6,24.6,28.9,29.5,31.4,30.2,27.5,26.7,28.1,29.6,29.5,27.1,26.8,27.9,29.7,24.1 i
Annual,Total,Percentage,Ireland,21.5,21.3,22.7,19.3,20.1,20.1,19.6,20.9,21.5,23.7,28.5,31.3,30.9,30.9,31.1,32.1,29.9,29.8,30.7,28.6,29.3,31.5,31.5,33.5 i
Annual,Total,Percentage,Iceland,29.7 b,31.0,33.8,33.1,34.1,36.0,38.6,39.3,45.9,54.4,57.9,60.6,56.5,57.1,59.8,61.2,61.5,60.2,60.0,60.3,58.0,58.2,58.9,:
Annual,Total,Percentage,Italy,38.1,37.5,36.6,37.9,38.2,37.8,38.6,39.0,39.2 b,37.4,41.7,40.5,42.8,46.5,46.5,48.6,48.9,50.8,50.6,48.9,46.5,47.3,49.0,48 i
Annual,Total,Percentage,Lithuania,33.0,37.8,36.6,35.5,37.5,39.6,40.4,34.9,35.6,39.0,41.0,40.3,41.8,38.6,39.9,40.7,40.4,39.2,41.4,40.5,36.7,37.9,36.8,34.2 i
Annual,Total,Percentage,Luxembourg,86.3,85.9,87.8,88.6,87.2,88.0,87.9,87.2,87.3,86.7,90.2,91.9,87.6,87.2,89.3,91.2,90.9,91.4,91.2,91.0,90.4,89.6,90.0,88.7
Annual,Total,Percentage,Latvia,24.5,24.5,24.6,25.6,26.9,30.3,29.8,29.9,29.5,28.6,26.4,27.4,30.3,29.7,31.1,31.4,32.0,30.5,32.9,31.5,32.0,31.4,31.7,28.6 i
Annual,Total,Percentage,North Macedonia,:,:,:,:,:,:,:,:,:,:,23.4,23.8,24.2,22.4,24.2,24.9,24.9,24.2,26.3,27.0,27.2,31.6,28.2,:
Annual,Total,Percentage,Malta,43.1,33.8,38.9,36.2,50.5,50.2,47.4,50.7,51.9,61.0,57.7,62.4,68.1,68.8,74.0,74.6,75.3,77.1,75.1,70.1,69.3,71.3,70.2,70.9 i
Annual,Total,Percentage,Netherlands,67.9,69.6,70.3,70.2,69.6,71.8,73.7,74.4,73.5,72.6,72.3,72.5,73.4,73.3,74.3,77.1,78.1,78.8,80.4,80.6,81.0,82.5,82.9,82.7 i
Annual,Total,Percentage,Norway,11.7 i,11.5 i,10.7 i,10.7 i,11.3 i,12 i,11.2,12.1,11.2,9.8,10.8,11.2,10.9,11.4,11.1,10.2,11.1,11.7,12.4,12.8,12.1,12.0,11.6,:
Annual,Total,Percentage,Poland,12.0,12.6,13.9,14.5,15.2,15.1,15.6,16.7,17.3,15.4,16.9,15.3,16.2,16.0,17.0,17.6,17.8,18.1,19.5,19.5,19.3,19.7,20.8,19.9 i
Annual,Total,Percentage,Portugal,24.6,24.1,25.2,26.5,25.3,26.0,22.7,22.0,20.7,21.9,23.6,24.3,25.4,28.8,28.5,30.3,32.1,31.2,31.4,30.7,30.4,27.8,31.3,29.6 i
Annual,Total,Percentage,Romania,13.4,9.7,11.1,12.1,12.3,11.7,11.5,11.1,10.2,8.7 i,12.1 i,9.2 i,9.8 i,9.2 i,9.4 i,9.3 i,10 i,10.8 i,10.7 i,9.5 i,9.3,10.1,9.9,8.1 i
Annual,Total,Percentage,Serbia,:,7.7,8.4,10.3,11.8,11.3,12.6,12.9,12.3 b,10.7,11.5,11.3,10.6,9.8,11.1,12.4,12.5,14.2,14.0,14.1,12.7,13.5,:,:
Annual,Total,Percentage,Sweden,28.3,27.6,27.9,29.1,28.5,26.8,27.7,26.8,27.6,26.8,27.6,26.9,26.3,24.9,25.4,25.5,26.4,25.4,26.8,25.0,23.7,23.9,24.4,23.6 i
Annual,Total,Percentage,Slovenia,28.2,32.3,31.7,32.3,34.1,32.9,32.4,36.1,37.4,35.4,37.8,40.8,43.1,44.3,42.2,44.2,47.2,47.4,46.8,48.0,46.2,45.3,46.5,41.5 i
Annual,Total,Percentage,Slovakia,40.3,40.1,39.3,41.6,41.1,38.0,40.6,42.6,38.8,38.5,42.2,41.8,44.2,45.8,42.0,42.4,42.5,42.9,43.0,44.0,42.7,45.2,45.8,43.3 i
Annual,Total,Percentage,Türkiye,13.9,12.3,16.4,17.8,17.5,15.8,15.8,16.8,15.8,15.3,14.3,14.5,17.5,17.4,15.2,17.9,18.4,19.2,19.2,21.3,12.5,20.2,20.4,:
