Time frequency,Type of building,Tenure status,Unit of measure,Geopolitical entity (reporting)\Time,2001.0
Annual,Non-residential buildings,Other,Number,Austria,101096.0
Annual,Non-residential buildings,Other,Number,Belgium,112287.0
Annual,Non-residential buildings,Other,Number,Bulgaria,6683.0
Annual,Non-residential buildings,Other,Number,Switzerland,1082109.0
Annual,Non-residential buildings,Other,Number,Czechia,79269.0
Annual,Non-residential buildings,Other,Number,Estonia,3592.0
Annual,Non-residential buildings,Other,Number,Greece,14790.0
Annual,Non-residential buildings,Other,Number,Spain,42754.0
Annual,Non-residential buildings,Other,Number,Finland,70457.0
Annual,Non-residential buildings,Other,Number,Hungary,14143.0
Annual,Non-residential buildings,Other,Number,Ireland,13120.0
Annual,Non-residential buildings,Other,Number,Italy,27807.0
Annual,Non-residential buildings,Other,Number,Liechtenstein,2698.0
Annual,Non-residential buildings,Other,Number,Lithuania,3153.0
Annual,Non-residential buildings,Other,Number,Luxembourg,5883.0
Annual,Non-residential buildings,Other,Number,Latvia,0.0
Annual,Non-residential buildings,Other,Number,Poland,93796.0
Annual,Non-residential buildings,Other,Number,Portugal,13520.0
Annual,Non-residential buildings,Other,Number,Romania,55115.0
Annual,Non-residential buildings,Other,Number,Slovenia,7425.0
Annual,Non-residential buildings,Other,Number,Slovakia,82978.0
Annual,Non-residential buildings,Owner,Number,Austria,95624.0
Annual,Non-residential buildings,Owner,Number,Belgium,191896.0
Annual,Non-residential buildings,Owner,Number,Switzerland,405876.0
Annual,Non-residential buildings,Owner,Number,Czechia,9204.0
Annual,Non-residential buildings,Owner,Number,Estonia,839.0
Annual,Non-residential buildings,Owner,Number,Greece,22583.0
Annual,Non-residential buildings,Owner,Number,Spain,122968.0
Annual,Non-residential buildings,Owner,Number,Finland,26367.0
Annual,Non-residential buildings,Owner,Number,Hungary,27245.0
Annual,Non-residential buildings,Owner,Number,Ireland,10957.0
Annual,Non-residential buildings,Owner,Number,Italy,18533.0
Annual,Non-residential buildings,Owner,Number,Liechtenstein,1927.0
Annual,Non-residential buildings,Owner,Number,Lithuania,6347.0
Annual,Non-residential buildings,Owner,Number,Luxembourg,2806.0
Annual,Non-residential buildings,Owner,Number,Latvia,0.0
Annual,Non-residential buildings,Owner,Number,Poland,14062.0
Annual,Non-residential buildings,Owner,Number,Portugal,23262.0
Annual,Non-residential buildings,Owner,Number,Romania,31188.0
Annual,Non-residential buildings,Owner,Number,Slovenia,6452.0
Annual,Non-residential buildings,Total,Number,Austria,196720.0
Annual,Non-residential buildings,Total,Number,Belgium,311398.0
Annual,Non-residential buildings,Total,Number,Bulgaria,6683.0
Annual,Non-residential buildings,Total,Number,Switzerland,1499984.0
Annual,Non-residential buildings,Total,Number,Cyprus,38295.0
Annual,Non-residential buildings,Total,Number,Czechia,88473.0
Annual,Non-residential buildings,Total,Number,Estonia,4431.0
Annual,Non-residential buildings,Total,Number,Greece,77739.0
Annual,Non-residential buildings,Total,Number,Spain,165722.0
Annual,Non-residential buildings,Total,Number,Finland,96824.0
Annual,Non-residential buildings,Total,Number,Hungary,41388.0
Annual,Non-residential buildings,Total,Number,Ireland,24077.0
Annual,Non-residential buildings,Total,Number,Italy,75881.0
Annual,Non-residential buildings,Total,Number,Liechtenstein,4644.0
Annual,Non-residential buildings,Total,Number,Lithuania,9684.0
Annual,Non-residential buildings,Total,Number,Luxembourg,8689.0
Annual,Non-residential buildings,Total,Number,Latvia,0.0
Annual,Non-residential buildings,Total,Number,Poland,107858.0
Annual,Non-residential buildings,Total,Number,Portugal,36782.0
Annual,Non-residential buildings,Total,Number,Romania,86303.0
Annual,Non-residential buildings,Total,Number,Slovenia,13877.0
Annual,Non-residential buildings,Total,Number,Slovakia,82978.0
Annual,Non-residential buildings,Unknown,Number,Italy,29541.0
Annual,Non-residential buildings,Unknown,Number,Lithuania,184.0
Annual,Residential buildings,Other,Number,Austria,3323735.0
Annual,Residential buildings,Other,Number,Belgium,2189035.0
Annual,Residential buildings,Other,Number,Bulgaria,674000.0
Annual,Residential buildings,Other,Number,Switzerland,2996700.0
Annual,Residential buildings,Other,Number,Czechia,4961174.0
Annual,Residential buildings,Other,Number,Estonia,254182.0
Annual,Residential buildings,Other,Number,Greece,2406274.0
Annual,Residential buildings,Other,Number,Spain,6904858.0
Annual,Residential buildings,Other,Number,Finland,1506659.0
Annual,Residential buildings,Other,Number,France,23933988.0
Annual,Residential buildings,Other,Number,Hungary,724774.0
Annual,Residential buildings,Other,Number,Ireland,694495.0
Annual,Residential buildings,Other,Number,Italy,15636211.0
Annual,Residential buildings,Other,Number,Liechtenstein,10800.0
Annual,Residential buildings,Other,Number,Lithuania,226935.0
Annual,Residential buildings,Other,Number,Luxembourg,118814.0
Annual,Residential buildings,Other,Number,Latvia,805549.0
Annual,Residential buildings,Other,Number,Netherlands,6093266.0
Annual,Residential buildings,Other,Number,Norway,800785.0
Annual,Residential buildings,Other,Number,Poland,11425320.0
Annual,Residential buildings,Other,Number,Portugal,2358038.0
Annual,Residential buildings,Other,Number,Romania,1336337.0
Annual,Residential buildings,Other,Number,Slovenia,276509.0
Annual,Residential buildings,Other,Number,Slovakia,1346761.0
Annual,Residential buildings,Owner,Number,Austria,4371651.0
Annual,Residential buildings,Owner,Number,Belgium,5955295.0
Annual,Residential buildings,Owner,Number,Bulgaria,7146548.0
Annual,Residential buildings,Owner,Number,Switzerland,2349851.0
Annual,Residential buildings,Owner,Number,Czechia,5051655.0
Annual,Residential buildings,Owner,Number,Estonia,1061878.0
Annual,Residential buildings,Owner,Number,Greece,7502947.0
Annual,Residential buildings,Owner,Number,Spain,33516964.0
Annual,Residential buildings,Owner,Number,Finland,3477857.0
Annual,Residential buildings,Owner,Number,France,33286136.0
Annual,Residential buildings,Owner,Number,Hungary,9166871.0
Annual,Residential buildings,Owner,Number,Ireland,2978299.0
Annual,Residential buildings,Owner,Number,Italy,40840294.0
Annual,Residential buildings,Owner,Number,Liechtenstein,15562.0
Annual,Residential buildings,Owner,Number,Lithuania,3045472.0
Annual,Residential buildings,Owner,Number,Luxembourg,304269.0
Annual,Residential buildings,Owner,Number,Latvia,1314465.0
Annual,Residential buildings,Owner,Number,Netherlands,9383305.0
Annual,Residential buildings,Owner,Number,Norway,3685160.0
Annual,Residential buildings,Owner,Number,Poland,26268063.0
Annual,Residential buildings,Owner,Number,Portugal,7774902.0
Annual,Residential buildings,Owner,Number,Romania,19936156.0
Annual,Residential buildings,Owner,Number,Slovenia,1654193.0
Annual,Residential buildings,Owner,Number,Slovakia,3949716.0
Annual,Residential buildings,Total,Number,Austria,7695386.0
Annual,Residential buildings,Total,Number,Belgium,8266981.0
Annual,Residential buildings,Total,Number,Bulgaria,7820548.0
Annual,Residential buildings,Total,Number,Switzerland,5355329.0
Annual,Residential buildings,Total,Number,Cyprus,644294.0
Annual,Residential buildings,Total,Number,Czechia,10012829.0
Annual,Residential buildings,Total,Number,Estonia,1316060.0
Annual,Residential buildings,Total,Number,Greece,9909221.0
Annual,Residential buildings,Total,Number,Spain,40421822.0
Annual,Residential buildings,Total,Number,Finland,4984516.0
Annual,Residential buildings,Total,Number,France,57220124.0
Annual,Residential buildings,Total,Number,Hungary,9891645.0
Annual,Residential buildings,Total,Number,Ireland,3672794.0
Annual,Residential buildings,Total,Number,Italy,56505102.0
Annual,Residential buildings,Total,Number,Liechtenstein,26375.0
Annual,Residential buildings,Total,Number,Lithuania,3335695.0
Annual,Residential buildings,Total,Number,Luxembourg,423083.0
Annual,Residential buildings,Total,Number,Latvia,2120014.0
Annual,Residential buildings,Total,Number,Netherlands,15476571.0
Annual,Residential buildings,Total,Number,Norway,4485945.0
Annual,Residential buildings,Total,Number,Poland,37693383.0
Annual,Residential buildings,Total,Number,Portugal,10132940.0
Annual,Residential buildings,Total,Number,Romania,21272493.0
Annual,Residential buildings,Total,Number,Slovenia,1930702.0
Annual,Residential buildings,Total,Number,Slovakia,5296477.0
Annual,Residential buildings,Unknown,Number,Italy,28597.0
Annual,Residential buildings,Unknown,Number,Lithuania,63288.0
Annual,One-dwelling residential buildings,Other,Number,Austria,320008.0
Annual,One-dwelling residential buildings,Other,Number,Belgium,1045211.0
Annual,One-dwelling residential buildings,Other,Number,Bulgaria,145983.0
Annual,One-dwelling residential buildings,Other,Number,Switzerland,312845.0
Annual,One-dwelling residential buildings,Other,Number,Czechia,300573.0
Annual,One-dwelling residential buildings,Other,Number,Estonia,28990.0
Annual,One-dwelling residential buildings,Other,Number,Greece,508463.0
Annual,One-dwelling residential buildings,Other,Number,Finland,192415.0
