Time frequency,Unit of measure,Amenities,Geopolitical entity (reporting)\Time,2001.0
Annual,Number,Fixed bath or shower in the housing unit,Austria,3165326.0
Annual,Number,Fixed bath or shower in the housing unit,Belgium,3842020.0
Annual,Number,Fixed bath or shower in the housing unit,Bulgaria,2201243.0
Annual,Number,Fixed bath or shower in the housing unit,Cyprus,219160.0
Annual,Number,Fixed bath or shower in the housing unit,Czechia,3654074.0
Annual,Number,Fixed bath or shower in the housing unit,Denmark,2269515.0
Annual,Number,Fixed bath or shower in the housing unit,Estonia,385280.0
Annual,Number,Fixed bath or shower in the housing unit,Greece,3458313.0
Annual,Number,Fixed bath or shower in the housing unit,Spain,14027818.0
Annual,Number,Fixed bath or shower in the housing unit,Finland,2487992.0
Annual,Number,Fixed bath or shower in the housing unit,France,23252149.0
Annual,Number,Fixed bath or shower in the housing unit,Hungary,3551567.0
Annual,Number,Fixed bath or shower in the housing unit,Italy,21393944.0
Annual,Number,Fixed bath or shower in the housing unit,Lithuania,855219.0
Annual,Number,Fixed bath or shower in the housing unit,Luxembourg,159657.0
Annual,Number,Fixed bath or shower in the housing unit,Latvia,535628.0
Annual,Number,Fixed bath or shower in the housing unit,Netherlands,6456036.0
Annual,Number,Fixed bath or shower in the housing unit,Norway,1918839.0
Annual,Number,Fixed bath or shower in the housing unit,Poland,10149991.0
Annual,Number,Fixed bath or shower in the housing unit,Portugal,3339740.0
Annual,Number,Fixed bath or shower in the housing unit,Romania,3747088.0
Annual,Number,Fixed bath or shower in the housing unit,Slovenia,630549.0
Annual,Number,Fixed bath or shower in the housing unit,Slovakia,1532763.0
Annual,Number,Fixed bath or shower in the housing unit,Türkiye,14520777.0
Annual,Number,Central heating,Austria,2869232.0
Annual,Number,Central heating,Belgium,2880962.0
Annual,Number,Central heating,Bulgaria,545800.0
Annual,Number,Central heating,Cyprus,72586.0
Annual,Number,Central heating,Czechia,3127314.0
Annual,Number,Central heating,Germany,24308200.0
Annual,Number,Central heating,Denmark,2365797.0
Annual,Number,Central heating,Estonia,338826.0
Annual,Number,Central heating,Greece,2215916.0
Annual,Number,Central heating,Spain,6806517.0
Annual,Number,Central heating,Finland,2301903.0
Annual,Number,Central heating,France,14625775.0
Annual,Number,Central heating,Hungary,2036594.0
Annual,Number,Central heating,Ireland,1079055.0
Annual,Number,Central heating,Italy,16986965.0
Annual,Number,Central heating,Lithuania,954403.0
Annual,Number,Central heating,Luxembourg,156284.0
Annual,Number,Central heating,Latvia,518448.0
Annual,Number,Central heating,Netherlands,5722918.0
Annual,Number,Central heating,Norway,231617.0
Annual,Number,Central heating,Poland,9077443.0
