Time frequency,Tenure status,Year of construction,Unit of measure,Geopolitical entity (reporting)\Time,1991.0
Annual,Other,Total,Number,Austria,1483233.0
Annual,Other,Total,Number,Belgium,1330433.0
Annual,Other,Total,Number,Switzerland,1923061.0
Annual,Other,Total,Number,Germany,15372479.0
Annual,Other,Total,Number,Denmark,1040958.0
Annual,Other,Total,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",42165466.0
Annual,Other,Total,Number,Greece,769881.0
Annual,Other,Total,Number,Spain,2541885.0
Annual,Other,Total,Number,European Union - 15 countries (1995-2004),45899367.0
Annual,Other,Total,Number,Finland,732619.0
Annual,Other,Total,Number,France,9820924.0
Annual,Other,Total,Number,Départements d'outre-mer (NUTS 2010),172336.0
Annual,Other,Total,Number,Ireland,211338.0
Annual,Other,Total,Number,Italy,6316792.0
Annual,Other,Total,Number,Liechtenstein,5913.0
Annual,Other,Total,Number,Luxembourg,49212.0
Annual,Other,Total,Number,Netherlands,3230000.0
Annual,Other,Total,Number,Norway,382371.0
Annual,Other,Total,Number,Portugal,1076551.0
Annual,Other,Total,Number,Sweden,1923062.0
Annual,Other,Total,Number,United Kingdom,: m
Annual,Other,Unknown,Number,Belgium,369403.0
Annual,Other,Unknown,Number,Denmark,284.0
Annual,Other,Unknown,Number,Finland,11227.0
Annual,Other,Unknown,Number,Ireland,9142.0
Annual,Other,Unknown,Number,Luxembourg,3183.0
Annual,Other,Unknown,Number,Netherlands,371000.0
Annual,Other,Unknown,Number,Sweden,65139.0
Annual,Other,From 1900 to 1920,Number,Liechtenstein,267.0
Annual,Other,From 1919 to 1939,Number,Austria,201023.0
Annual,Other,From 1919 to 1939,Number,Spain,321585.0
Annual,Other,From 1919 to 1939,Number,Luxembourg,9422.0
Annual,Other,From 1919 to 1939,Number,Netherlands,297000.0
Annual,Other,From 1919 to 1939,Number,Portugal,163890.0
Annual,Other,From 1919 to 1945,Number,Belgium,169546.0
Annual,Other,From 1919 to 1945,Number,Greece,38388.0
Annual,Other,From 1919 to 1945,Number,Finland,67809.0
Annual,Other,From 1919 to 1945,Number,Italy,728766.0
Annual,Other,From 1921 to 1945,Number,Norway,57623.0
Annual,Other,From 1921 to 1946,Number,Switzerland,221771.0
Annual,Other,From 1921 to 1946,Number,Liechtenstein,530.0
Annual,Other,From 1941 to 1960,Number,Ireland,24869.0
Annual,Other,From 1946 to 1960,Number,Denmark,171521.0
Annual,Other,From 1946 to 1960,Number,Greece,94359.0
Annual,Other,From 1946 to 1960,Number,Spain,475343.0
Annual,Other,From 1946 to 1960,Number,Finland,109848.0
Annual,Other,From 1946 to 1960,Number,France,1480451.0
Annual,Other,From 1946 to 1960,Number,Italy,1196845.0
Annual,Other,From 1946 to 1960,Number,Luxembourg,9587.0
Annual,Other,From 1946 to 1960,Number,Netherlands,539000.0
Annual,Other,From 1946 to 1960,Number,Norway,80305.0
Annual,Other,From 1946 to 1960,Number,Portugal,195070.0
Annual,Other,From 1946 to 1961,Number,Austria,229679.0
Annual,Other,From 1946 to 1961,Number,Belgium,229125.0
Annual,Other,From 1947 to 1960,Number,Switzerland,342117.0
Annual,Other,From 1947 to 1960,Number,Liechtenstein,583.0
Annual,Other,From 1961 to 1970,Number,Switzerland,433171.0
Annual,Other,From 1961 to 1970,Number,Denmark,161972.0
Annual,Other,From 1961 to 1970,Number,Greece,226177.0
Annual,Other,From 1961 to 1970,Number,Spain,628536.0
Annual,Other,From 1961 to 1970,Number,Finland,124942.0
Annual,Other,From 1961 to 1970,Number,France,1599805.0
Annual,Other,From 1961 to 1970,Number,Ireland,22294.0
Annual,Other,From 1961 to 1970,Number,Liechtenstein,1175.0
Annual,Other,From 1961 to 1970,Number,Luxembourg,6392.0
Annual,Other,From 1961 to 1970,Number,Netherlands,609000.0
Annual,Other,From 1961 to 1970,Number,Norway,54973.0
Annual,Other,From 1961 to 1970,Number,Portugal,209119.0
