Time frequency,n_child,unit,geo\TIME_PERIOD,1991.0
Annual,0.0,NR,AT,710160.0
Annual,0.0,NR,CH,766002.0
Annual,0.0,NR,DE,8394000.0
Annual,0.0,NR,DK,734120.0
Annual,0.0,NR,EL,761069.0
Annual,0.0,NR,ES,2502137.0
Annual,0.0,NR,FI,490375.0
Annual,0.0,NR,FR,5493352.0
Annual,0.0,NR,FR9,54147.0
Annual,0.0,NR,IE,145400.0
Annual,0.0,NR,IS,23397.0
Annual,0.0,NR,IT,4123590.0
Annual,0.0,NR,LI,2058.0
Annual,0.0,NR,LU,32458.0
Annual,0.0,NR,NL,1387000.0
Annual,0.0,NR,PT,797148.0
Annual,0.0,NR,UK,6271602.0
Annual,1.0,NR,AT,681349.0
Annual,1.0,NR,CH,463344.0
Annual,1.0,NR,DE,7012000.0
Annual,1.0,NR,DK,322314.0
Annual,1.0,NR,EL,713505.0
Annual,1.0,NR,ES,2959456.0
Annual,1.0,NR,FI,401816.0
Annual,1.0,NR,FR,4306796.0
Annual,1.0,NR,FR9,101337.0
Annual,1.0,NR,IE,174246.0
Annual,1.0,NR,IS,17659.0
Annual,1.0,NR,IT,5210632.0
Annual,1.0,NR,LI,1901.0
Annual,1.0,NR,LU,33559.0
Annual,1.0,NR,NL,957000.0
Annual,1.0,NR,PT,910638.0
Annual,1.0,NR,UK,4220639.0
Annual,2.0,NR,AT,518527.0
Annual,2.0,NR,CH,436053.0
Annual,2.0,NR,DE,5023000.0
Annual,2.0,NR,DK,261600.0
Annual,2.0,NR,EL,805799.0
Annual,2.0,NR,ES,2973109.0
Annual,2.0,NR,FI,330878.0
Annual,2.0,NR,FR,3569096.0
Annual,2.0,NR,FR9,86311.0
Annual,2.0,NR,IE,182531.0
Annual,2.0,NR,IS,13714.0
Annual,2.0,NR,IT,4476201.0
Annual,2.0,NR,LI,2122.0
Annual,2.0,NR,LU,26235.0
Annual,2.0,NR,NL,1052000.0
Annual,2.0,NR,PT,728843.0
Annual,2.0,NR,UK,3803166.0
Annual,3.0,NR,AT,173917.0
Annual,3.0,NR,CH,130572.0
Annual,3.0,NR,DE,1236000.0
Annual,3.0,NR,DK,59366.0
Annual,3.0,NR,EL,194804.0
Annual,3.0,NR,ES,1246759.0
Annual,3.0,NR,FI,109380.0
Annual,3.0,NR,FR,1427548.0
Annual,3.0,NR,FR9,51528.0
Annual,3.0,NR,IE,130436.0
Annual,3.0,NR,IS,5828.0
Annual,3.0,NR,IT,1321810.0
Annual,3.0,NR,LI,941.0
Annual,3.0,NR,LU,7850.0
Annual,3.0,NR,NL,335000.0
Annual,3.0,NR,PT,209086.0
Annual,3.0,NR,UK,1246572.0
Annual,4.0,NR,AT,45181.0
Annual,4.0,NR,CH,27407.0
Annual,4.0,NR,DK,9731.0
Annual,4.0,NR,EL,40069.0
Annual,4.0,NR,ES,426230.0
Annual,4.0,NR,FI,22798.0
Annual,4.0,NR,FR,373884.0
Annual,4.0,NR,FR9,25233.0
Annual,4.0,NR,IE,71755.0
Annual,4.0,NR,IS,1064.0
Annual,4.0,NR,IT,301273.0
Annual,4.0,NR,LI,185.0
Annual,4.0,NR,LU,1624.0
Annual,4.0,NR,NL,79000.0
Annual,4.0,NR,PT,69114.0
Annual,4.0,NR,UK,326205.0
Annual,5.0,NR,AT,10683.0
Annual,5.0,NR,CH,5009.0
Annual,5.0,NR,DK,1652.0
Annual,5.0,NR,EL,7449.0
Annual,5.0,NR,ES,129981.0
Annual,5.0,NR,FI,4628.0
Annual,5.0,NR,FR,127128.0
Annual,5.0,NR,FR9,12822.0
Annual,5.0,NR,IE,31116.0
Annual,5.0,NR,IS,121.0
Annual,5.0,NR,IT,71343.0
Annual,5.0,NR,LI,59.0
Annual,5.0,NR,LU,328.0
Annual,5.0,NR,NL,18000.0
Annual,5.0,NR,PT,27374.0
Annual,5.0,NR,UK,76387.0
Annual,6.0,NR,AT,3233.0
Annual,6.0,NR,CH,1267.0
Annual,6.0,NR,DK,442.0
Annual,6.0,NR,EL,2343.0
Annual,6.0,NR,ES,44506.0
Annual,6.0,NR,FI,1591.0
Annual,6.0,NR,FR,53440.0
Annual,6.0,NR,FR9,6436.0
Annual,6.0,NR,IE,13717.0
Annual,6.0,NR,IS,19.0
Annual,6.0,NR,IT,21476.0
Annual,6.0,NR,LI,9.0
Annual,6.0,NR,LU,73.0
Annual,6.0,NR,NL,10000.0
Annual,6.0,NR,PT,11975.0
Annual,6.0,NR,UK,23877.0
Annual,GE7,NR,AT,1486.0
Annual,GE7,NR,CH,541.0
Annual,GE7,NR,DK,169.0
Annual,GE7,NR,EL,1718.0
Annual,GE7,NR,ES,26587.0
Annual,GE7,NR,FI,2498.0
Annual,GE7,NR,FR,39844.0
Annual,GE7,NR,FR9,5182.0
Annual,GE7,NR,IE,8719.0
Annual,GE7,NR,IS,3.0
Annual,GE7,NR,IT,12010.0
Annual,GE7,NR,LI,2.0
Annual,GE7,NR,LU,42.0
Annual,GE7,NR,PT,10253.0
Annual,GE7,NR,UK,12653.0
Annual,TOTAL,NR,AT,2144536.0
Annual,TOTAL,NR,CH,1830195.0
Annual,TOTAL,NR,DE,22032000.0
Annual,TOTAL,NR,DK,1389394.0
Annual,TOTAL,NR,EL,2526756.0
Annual,TOTAL,NR,ES,10308765.0
Annual,TOTAL,NR,FI,1363964.0
Annual,TOTAL,NR,FR,15391088.0
Annual,TOTAL,NR,FR9,342996.0
Annual,TOTAL,NR,IE,757920.0
Annual,TOTAL,NR,IS,61805.0
Annual,TOTAL,NR,IT,15538335.0
Annual,TOTAL,NR,LI,7277.0
Annual,TOTAL,NR,LU,102169.0
Annual,TOTAL,NR,NL,3838000.0
Annual,TOTAL,NR,PT,2764431.0
Annual,TOTAL,NR,UK,15981101.0
