Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2020,Février 2020,Mars 2020,Avril 2020,Mai 2020,Juin 2020,Juillet 2020,Août 2020,Septembre 2020,Octobre 2020,Novembre 2020,Décembre 2020,Janvier 2021,Février 2021,Mars 2021,Avril 2021,Mai 2021,Juin 2021,Juillet 2021,Août 2021,Septembre 2021,Octobre 2021,Novembre 2021,Décembre 2021,Janvier 2022,Février 2022,Mars 2022,Avril 2022,Mai 2022,Juin 2022,Juillet 2022,Août 2022,Septembre 2022,Octobre 2022,Novembre 2022,Décembre 2022,Janvier 2023,Février 2023,Mars 2023,Avril 2023,Mai 2023,Juin 2023,Juillet 2023,Août 2023,Septembre 2023,Octobre 2023,Novembre 2023,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Percentage,Austria,-2.7 p,-0.8 p,4.9 p,10.5 p,1.5 p,1.9 p,2.2 p,4.3 p,8.7 p,11.6 p,47.3 p,38.0 p,8.8 p,-3.4 p,-0.2 p,11.4 p,8.7 p,11.8 p,5.5 p,8.8 p,12.3 p,12.2 p,34.3 p,19.8 p,-0.5,5.0,17.4,20.8,12.0,16.0,20.2,13.5,14.7,20.7,16.1,30.0,13.7,0.0,8.7,12.7,9.8,7.7,7.0,7.5,8.5,10.5,19.1,20.2,8.5 p,9.1 p,-0.9 p,3.9 p,7.4 p,9.0 p,12.3 p,12.0 p,16.6 p,16.9 p,12.6 p
Monthly,Percentage,Belgium,-4.1,-4.9,11.8,73.1,8.1,-1.1,-7.1,17.8,1.7,22.5,58.8,18.9,1.5,-9.2,-10.5,6.6,4.9,0.9,-1.8,-0.8,3.0,11.2,16.7,13.1,-0.8,-0.1,0.4,16.3,4.2,6.8,5.3,10.3,6.3,10.2,1.8,19.4,5.7 p,-4.6 p,-2.0 p,0.0 p,0.2 p,7.1 p,-3.4 p,0.4 p,5.0 p,4.2 p,5.0 p,7.9 p,5.7 p,-0.9 p,-7.9 p,2.6 p,-1.4 p,8.5 p,2.3 p,3.9 p,5.3 p,6.2 p,2.4 p
Monthly,Percentage,Bulgaria,-11.8,-0.2,-7.0,-4.2,-3.0,-0.4,5.5,5.9,4.9,12.6,94.0,74.3,0.1,5.7,53.4,76.9,26.5,8.8,7.9,19.7,51.4,74.0,88.5,43.2,27.7,47.0,18.9,7.0,-0.6,-6.2,3.2,9.3,5.3,1.1,-0.8,-4.9,-11.5,-7.4,-8.4,-6.4,-5.2,-7.1,-1.6,-3.9,-4.6,-5.4,-1.7,-6.2,-11.5 p,-6.6 p,-13.9 p,-11.8 p,-8.6 p,-4.4 p,1.6 p,-0.6 p,1.3 p,-6.3 p,-4.6 p
Monthly,Percentage,Switzerland,-4.1 p,-0.9 p,11.6 p,27.2 p,-1.7 p,1.1 p,0.9 p,4.1 p,3.9 p,13.7 p,62.7 p,47.9 p,21.8 p,-5.0 p,-5.5 p,3.3 p,3.4 p,2.8 p,2.6 p,8.9 p,12.7 p,7.1 p,16.5 p,25.7 p,5.1 p,4.0 p,14.3 p,14.6 p,5.9 p,13.8 p,22.8 p,16.2 p,9.8 p,16.0 p,14.1 p,25.3 p,6.8 p,-2.8 p,6.6 p,10.1 p,6.3 p,5.7 p,6.4 p,14.4 p,7.9 p,11.8 p,20.4 p,16.9 p,4.5 p,5.4 p,1.3 p,8.6 p,5.9 p,10.1 p,9.9 p,13.2 p,8.0 p,:,:
Monthly,Percentage,Cyprus,14.2,0.4,9.1,3.5,26.4,9.2,9.1,1.8,8.5,9.0,13.8,24.9,10.5 p,-3.9 p,6.7 p,31.2 p,16.5 p,19.1 p,41.8 p,54.9 p,31.8 p,20.7 p,26.0 p,32.0 p,37.8 p,27.8 p,39.1 p,34.1 p,13.5 p,13.2 p,27.3 p,14.8 p,13.0 p,17.2 p,25.8 p,22.8 p,15.3 p,18.5 p,18.0 p,7.2 p,8.9 p,20.4 p,26.7 p,13.1 p,16.6 p,19.0 p,11.3 p,13.7 p,15.0 p,3.3 p,3.0 p,-1.3 p,7.4 p,28.6 p,31.8 p,21.5 p,16.0 p,11.6 p,18.0 p
Monthly,Percentage,Czechia,-2.0,0.0,-0.9,2.9,-1.3,3.9,4.1,6.9,11.4,52.8,75.8,44.9,54.6,41.1,62.1,31.1,7.4,1.2,0.0,-0.6,4.8,8.8,43.4,40.9,5.3,6.0,3.2,11.3,4.1,2.4,5.0,7.9,11.6,10.8,6.5,23.6,9.2,-6.1,-3.5,1.2,-0.6,-0.3,-2.3,1.5,-1.9,2.2,7.6,10.0,1.1 p,0.5 p,-10.6 p,-4.0 p,-2.2 p,1.6 p,1.3 p,2.3 p,6.3 p,6.3 p,1.0 ep
Monthly,Percentage,Germany,-2.4,-4.3,-2.6,9.0,1.7,2.5,-0.5,7.2,6.0,5.4,13.0,31.0,23.4,-1.7,-9.0,7.1,8.2,8.7,3.5,4.3,11.4,12.4,23.4,24.2,3.8,-1.0,4.1,13.0,9.7,12.1,16.6,17.8,16.2,24.6,16.9,39.0,15.1,-0.1,5.6,11.5,10.0,9.0,2.5,6.4,8.5,12.5,17.7,21.6,10.9 p,4.7 p,-5.7 p,4.2 p,7.2 p,9.9 p,5.2 p,6.6 p,12.0 p,13.8 p,13.8 p
Monthly,Percentage,Denmark,-2.1,-7.0,-3.9,6.4,-0.9,0.8,2.2,1.5,4.2,1.8,5.5,10.6,10.8,-7.3,-12.1,-2.3,5.8,6.1,8.2,12.4,11.1,13.9,14.0,17.9,10.5 p,6.8 p,6.3 p,10.6 p,4.8 p,10.9 p,10.6 p,14.1 p,7.4 p,12.8 p,7.2 p,23.2 p,11.9 p,-1.8 p,0.9 p,9.4 p,6.7 p,5.2 p,7.9 p,4.4 p,7.6 p,9.9 p,13.3 p,19.0 p,11.0 p,1.9 p,-5.6 p,4.2 p,3.0 p,5.1 p,7.2 p,8.0 p,8.9 p,9.1 p,8.7 p
Monthly,Percentage,Estonia,-9.5,-5.7,-0.9,5.0,1.2,1.9,3.6,4.1,7.3,0.7,5.8,13.6,12.0,8.3,29.6,26.9,13.1,19.1,13.8,9.3,19.6,25.7,38.9,16.3,4.9,20.2,14.4,3.2,1.9,15.9,11.6,9.0,14.4,6.5,12.4,19.8,9.2,-7.8,-7.3,3.2,0.4,10.0,-1.4,-1.8,-1.7,6.8,9.7,19.3,11.8 p,0.2 p,-3.5 p,1.4 p,-1.7 p,5.9 p,-2.6 p,3.7 p,3.5 p,10.8 p,9.2 p
Monthly,Percentage,Greece,0.3,6.1,7.2,0.9,3.0,-1.9,5.2,6.1,9.9,3.8,27.6,19.5,-7.8,-2.8,16.1,24.8,21.4,12.8,21.3,34.3,24.9,18.0,31.3,32.3,19.9,20.3,25.0,21.4,12.8,6.8,23.3,18.9,10.8,7.2,9.5,10.9,4.7,7.8,4.8,3.0,5.4,-2.7,17.4,4.8,9.5,1.6,-0.4,8.4,0.2 p,-1.9 p,-4.4 p,-5.2 p,3.1 p,6.7 p,22.7 p,9.8 p,11.1 p,3.6 p,8.3 p
