Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Number,Austria,8511000 e,8581500 e,8711500 e,8752500 e,8802000 e,8842000 e,8897000 e,8926000 e,8967500 e,9087000 e,9132500 e
Annual,Number,Belgium,11203992.0,11258434.0,11289853 b,11365834.0,11413058.0,11467923.0,11549888.0,11566041.0,11631136.0,11754004 e,11832049 e
Annual,Number,Bulgaria,7245677.0,7202198.0,7153784.0,7101859.0,7050034.0,7000039.0,6951482.0,6916548.0,6838937.0,6498567 b,6445481.0
Annual,Number,Cyprus,858000 e,847008 e,848319 e,854802 e,864236 e,875898 e,888005 e,896000 e,904700 e,920701 e,933505 e
Annual,Number,Czechia,10398697.0,10419743 e,10445783 e,10467628 e,10493154 e,10528984 e,10557001 e,10574153 e,10545457 b,10833385 be,10916836 e
Annual,Number,Germany including former GDR,80704691.0,81089331 e,82064489 e,82437641 be,82719022 e,82940663 e,83100961 e,83120520 e,83203320 e,84311244 e,83399432 be
Annual,Number,Denmark,5621607.0,5653357 e,5700917 e,5743947 e,5774877 e,5799763 e,5816443 e,5833883 e,5864667 e,5921952 e,5954471 e
Annual,Number,Euro area - 19 countries  (2015-2022),338270039 e,339160633 e,340472701 be,341390052 be,342177328 e,342671916 e,343526388 e,343074378 be,343600422 be,346452616 be,347062375 be
Annual,Number,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,350303510 be,350924342 be
Annual,Number,Estonia,1315819.0,1313271.0,1315944 b,1315635.0,1319133.0,1324820.0,1328976.0,1330068.0,1331796.0,1365884.0,1374687.0
Annual,Number,Greece,10992783 e,10846979 e,10793526 e,10757293 e,10738928 e,10722287 e,10709739 e,10682547 e,10603810 e,10415585 e,10401302 e
Annual,Number,Spain,46507760 e,46439864 e,46438422 e,46528966 e,46659302 e,46934632 e,47329981.0,47394223 e,47432805 e,48063694 b,48630010 e
Annual,Number,European Union - 27 countries (from 2020),443265700 e,444173840 e,445519516 be,446346533 be,447036565 e,447470672 e,448285127 e,447562291 be,447533143 be,450473252 be,451028881 be
Annual,Number,Finland,5451270 e,5471753.0,5465408 e,5499447 e,5501930 e,5512119 e,5521292 e,5527493 e,5541241 e,5593070 e,5619851 e
Annual,Number,France,66076909.0,66352469.0,66661621.0,67024633.0,67221943.0,67028048.0,67098824.0,67439614.0,67842582 e,68070697 e,68401997 e
Annual,Number,Croatia,4246809.0,4225316.0,4190669.0,4154213.0,4105493.0,4076246.0,4058165.0,4036355.0,3862305 b,3850894.0,3861967.0
Annual,Number,Hungary,9877365.0,9855571.0,9830485.0,9797561.0,9778371.0,9772756.0,9769526.0,9730772.0,9689010.0,9599744 b,9584627.0
Annual,Number,Ireland,4604029 e,4625885 e,4664156 e,4774833 b,4830392.0,4904240 e,4964440 e,5006324 e,5060004 e,5194336 e,5351681 e
Annual,Number,Italy,61152798 e,61438480 e,61302519 e,61219113 e,61166142 e,61068437 e,60897891 e,59862348 e,59607184 e,59691110 e,59685948 e
Annual,Number,Lithuania,2943472.0,2921262.0,2888558.0,2847904.0,2808901.0,2794184.0,2794090.0,2795680.0,2805998.0,2857279.0,2885891.0
Annual,Number,Luxembourg,549680 e,562958 e,576249 e,589370 be,600124 e,612179 e,623962 e,633347 e,643648 e,658278 e,670093 e
Annual,Number,Latvia,2001468.0,1986096.0,1968957.0,1950116.0,1934379.0,1919968.0,1907675.0,1893223.0,1875757.0,1883008.0,1871882.0
Annual,Number,Malta,425384.0,429344.0,434403.0,440433 e,475701 e,493559 e,514564.0,516100.0,520971.0,542051 b,563443.0
Annual,Number,Netherlands,17082000 e,17155169.0,17235349 e,17220721 e,17321110 e,17423013 e,17549457 e,17617840 e,17734036 e,17956453 e,18089177 e
Annual,Number,Poland,38018000 e,38005614.0,37967209.0,37972964.0,37976687.0,37972812.0,37958138.0,37840001.0,37654247.0,37723532 b,37565715.0
Annual,Number,Portugal,10427301 e,10374822 e,10341330 e,10309573 e,10291027.0,10276617.0,10295909.0,10298252.0,10352042 b,10516621.0,10639726.0
Annual,Number,Romania,19942642.0,19861408 e,19759968 e,19638309 e,19523621 e,19405156 e,19317984 e,19186201 e,19038098 e,19051562 e,19064409 e
Annual,Number,Sweden,9644864.0,9790000 e,9998000 e,10080000 e,10157000 e,10243000 e,10330000 e,10370000 e,10440000 e,10541000 e,10573000 e
Annual,Number,Slovenia,2061085.0,2062874.0,2064188.0,2065895.0,2066880.0,2080908.0,2095861.0,2108977 b,2107180.0,2116972.0,2123949.0
Annual,Number,Slovakia,5400598 e,5403134 e,5407910 e,5435343 be,5443120 e,5450421 e,5457873 e,5459781 e,5434712 e,5454629 e,5455252 e
Annual,Number,United Kingdom,64105654 e,64767115 e,65341183 e,65808573 e,66238007 e,66647112 e,:,:,:,:,:
