Time frequency,Means testing,Category of schemes,Pension type,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,All schemes,Disability pension,Total,Person,Albania,:,:,:,:,:,:,:,70175.0,70501.0,69648.0,68179.0,67167.0
Annual,Total,All schemes,Disability pension,Total,Person,Austria,285205.0,280682.0,276223.0,258941.0,240205.0,233957.0,227350.0,219777.0,212534.0,204837.0,192817.0,182003.0
Annual,Total,All schemes,Disability pension,Total,Person,Bosnia and Herzegovina,:,:,82877.0,78724.0,70134.0,70032.0,65240.0,59377.0,54088.0,50734.0,59915.0,56444.0
Annual,Total,All schemes,Disability pension,Total,Person,Belgium,665835.0,687140.0,709392.0,732378.0,761370.0,791485.0,807358.0,828982.0,863023.0,892386.0,920964.0,942181.0
Annual,Total,All schemes,Disability pension,Total,Person,Bulgaria,270285.0,274925.0,281392.0,281061.0,279049.0,278027.0,275966.0,273117.0,260706.0,253950.0,248962.0,247874.0
Annual,Total,All schemes,Disability pension,Total,Person,Switzerland,342721 e,336781 e,332376 e,324104 e,312814 e,308300 e,303252 e,298786 e,295506 e,292308 e,292409 e,289462 e
Annual,Total,All schemes,Disability pension,Total,Person,Cyprus,2137.0,2111.0,2069.0,2669.0,3148.0,7177.0,10349.0,10835.0,11083.0,10920.0,11216.0,12135.0
Annual,Total,All schemes,Disability pension,Total,Person,Czechia,406185.0,401189.0,396497.0,390994.0,391988.0,395370.0,392974.0,388697.0,384143.0,380284.0,377088.0,385699.0
Annual,Total,All schemes,Disability pension,Total,Person,Germany,716029 e,705775 e,692769 e,703249 e,685068 e,676065 e,650440 e,640889 e,622452 e,597394 e,590461 e,575241 e
Annual,Total,All schemes,Disability pension,Total,Person,Denmark,69263 e,70390 e,69753 e,68340 e,66354 e,64682 e,63185 e,62433 e,61691 e,64627 e,66314 e,69540.0
Annual,Total,All schemes,Disability pension,Total,Person,Euro area – 20 countries (from 2023),9344467 p,9275631 p,9223351 e,9248668 e,9258661 e,9291177 e,9335974 e,9284758 e,10597894 e,10618845 e,10576756 p,10230968 p
Annual,Total,All schemes,Disability pension,Total,Person,Estonia,93617.0,98260.0,98246.0,99595.0,101881.0,102223.0,98738.0,101343.0,105535.0,106430.0,106894.0,105926.0
Annual,Total,All schemes,Disability pension,Total,Person,Greece,138093.0,114633.0,114376.0,127279.0,132562.0,126797.0,122178.0,121612.0,117576.0,113064.0,108173 p,105692 p
Annual,Total,All schemes,Disability pension,Total,Person,Spain,1159408.0,1158433.0,1150969.0,1150766.0,1158363.0,1167681.0,1172621.0,1174471.0,1177152.0,1158801.0,1158219.0,1149087.0
Annual,Total,All schemes,Disability pension,Total,Person,European Union - 27 countries (from 2020),12728862 p,12214646 p,12067839 e,11999352 e,11909989 e,11826624 e,11781273 e,11600851 e,12818309 e,12759926 e,12708780 p,12309734 p
Annual,Total,All schemes,Disability pension,Total,Person,Finland,260453.0,250703.0,241872.0,232475.0,221952.0,214046.0,206048.0,201211.0,197477.0,193567.0,187819.0,182482.0
Annual,Total,All schemes,Disability pension,Total,Person,France,2403000 p,2454000 p,2450000.0,2465000.0,2492000.0,2507980.0,2584396.0,2505441 e,3728479.0,3763837.0,3771096.0,3447252.0
Annual,Total,All schemes,Disability pension,Total,Person,Croatia,217435 e,208767 e,198285 e,181663 e,169513 e,159222 e,148445 e,138253 e,126739 e,116612 e,107368 e,99291 e
Annual,Total,All schemes,Disability pension,Total,Person,Hungary,305323.0,:,:,0.0,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Disability pension,Total,Person,Ireland,154154.0,153293.0,160860.0,167689.0,175498.0,183017.0,192679.0,199779.0,206059.0,212885.0,214080.0,215253.0
Annual,Total,All schemes,Disability pension,Total,Person,Iceland,17909.0,18404.0,18954.0,19465.0,19992.0,20656.0,21228.0,21853.0,22554.0,23226.0,23371.0,23800.0
Annual,Total,All schemes,Disability pension,Total,Person,Italy,1496892.0,1432752.0,1424196.0,1426503.0,1437208.0,1448798.0,1452201.0,1537405.0,1618685.0,1599649.0,1581753.0,1583993.0
Annual,Total,All schemes,Disability pension,Total,Person,Lithuania,173802.0,170709.0,170190.0,170785.0,166849.0,166349.0,168082.0,166451.0,166275.0,160678.0,149096.0,148485.0
