Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,From 25 to 34 years,Albania,:,:,:,:,:,:,:,:,:,:,:,1.8,:,:,:,:
Annual,Percentage,From 25 to 34 years,Austria,:,:,:,14.8,:,:,:,14.1,:,:,:,13.0,:,:,:,:
Annual,Percentage,From 25 to 34 years,Belgium,3.6,3.6,3.4,3.5,3.0,2.4,1.7,1.1,1.7,2.1,2.7,3.4,3.8 p,3.4 p,3 p,2.9 p
Annual,Percentage,From 25 to 34 years,Bulgaria,9.6,10.0,11.1,11.1,11.6,13.9,13.2,13.7,15.6,15.3,15.5,15.8,16 p,14.6 p,14.1 p,14.9 p
Annual,Percentage,From 25 to 34 years,Switzerland,:,6.8 d,6.7 d,6.6,7.8,7.7,7.8,7.6,8.5,8.4,9.1,7.4,7.4 p,7.2 p,6.4 p,6.6 p
Annual,Percentage,From 25 to 34 years,Cyprus,:,11.0,9.4,-0.6,-0.7,-0.8,-0.9,-0.9,0.3,1.6,2.9,4.2,4.3 p,4.2 p,4.4 p,4.6 p
Annual,Percentage,From 25 to 34 years,Czechia,:,19.6,18.0,13.3,14.2,13.3,12.5,12.9,13.3 d,13.4 d,13.6 d,13.6 d,13.4 d,11.2 d,10 d,12.3 dp
Annual,Percentage,From 25 to 34 years,Germany,:,:,:,11.5,:,:,:,11.9,:,:,:,9.9,:,:,:,8.2 b
Annual,Percentage,From 25 to 34 years,Denmark,:,14.9,13.8,14.2,12.8,13.3,12.1,11.7,11.1,10.9,10.8,11.1,10.9,10.9,11.1,11.1
Annual,Percentage,From 25 to 34 years,Estonia,:,:,:,:,:,:,:,:,:,:,:,19.8,:,:,:,:
Annual,Percentage,From 25 to 34 years,Greece,:,:,:,3.0,:,:,:,2.1,:,:,:,1.6,:,:,:,:
Annual,Percentage,From 25 to 34 years,Spain,11.6,10.3,10.0,8.7,10.4,11.8,9.9,6.6,7.0,6.7,5.0,4.6,1.0,1.3,2.3,2.3 p
Annual,Percentage,From 25 to 34 years,Finland,:,15.6,14.8,14.1,13.3,13.3,13.1,11.6,10.9,11.0,10.9,10.1,10.0,9.9,10.0,9.5 p
Annual,Percentage,From 25 to 34 years,France,:,:,7.9,9.0,8.8,8.4,8.9,8.4,8.9,9.5,10.1,10.7,10.7 p,9.8 p,8.8 p,7.9 p
Annual,Percentage,From 25 to 34 years,Croatia,:,:,:,1.1,:,:,-3.4,1.7,:,7.3,9.3,8.9,8.9 p,10.3 p,8.5 p,5.2 p
Annual,Percentage,From 25 to 34 years,Hungary,11.2,10.2,8.9,8.1,8.9,12.6,9.6,10.2,9.1,10.5,12.4 b,11.4,16.1 b,14.8,14.3,13.6
Annual,Percentage,From 25 to 34 years,Ireland,:,3.0,3.3,3.6,1.7,1.3,3.0,2.5,0.4 p,2 p,3 p,5.7,5.1 p,4.3 p,6.6 p,5.6
Annual,Percentage,From 25 to 34 years,Iceland,17.7,14.2,11.4,11.6,11.0,9.8,12.9,9.6,9.8,7.1,7.0,6.8,7.7 p,6.2,4.1,3.8
Annual,Percentage,From 25 to 34 years,Italy,1.3,2.8,2.7,3.9,6.6,6.6,4.2,6.2,4.8 p,5.1 p,4.3 p,5.8,4.6 p,4.3 p,4.9 p,2.4 p
Annual,Percentage,From 25 to 34 years,Lithuania,22.6,20.3,13.9,9 b,9.8,10.7,11.5,13.1,16.5,17.0,14.5,13.1,12.9 p,14.0 p,13 p,13.5 p
Annual,Percentage,From 25 to 34 years,Luxembourg,1.1,-0.4,-1.8,-3.2,:,:,:,-5.0,:,:,:,-8.9,:,:,:,:
Annual,Percentage,From 25 to 34 years,Latvia,:,:,:,15.8,:,:,:,14.7,16.4 d,17.2 d,18.8 d,18.7 d,19.8 p,21.2 p,19.1 p,20.9 p
Annual,Percentage,From 25 to 34 years,Montenegro,:,:,:,:,:,:,:,1.8,:,:,:,:,:,:,:,:
Annual,Percentage,From 25 to 34 years,North Macedonia,:,:,:,:,:,:,:,5.3,:,:,:,:,:,:,:,:
Annual,Percentage,From 25 to 34 years,Malta,1.9,3.0,4.1,5.1,3.5,5.2,6.6,5.8,7.6,8.2,7.9,9.5,7.2 p,5.8,6.4,7.1
Annual,Percentage,From 25 to 34 years,Netherlands,7.0,6.8,5.8,4.3,3.2,1.8,0.0,-0.8,1.1,0.8,0.8,1.1,1.9 p,1.7 p,1.3 p,1.4 p
Annual,Percentage,From 25 to 34 years,Norway,:,11.1,10.0,9.7,9.6,7.9,8.5,8.3,9.5,8.2,7.9,8.0,6.7 dp,6.8 dp,7.9 dp,8.3 dp
Annual,Percentage,From 25 to 34 years,Poland,13.8,10.8,7.8,4.8,5.6,6.3,8.1 p,9.8,9.2,8.6,8.4,11.0,9.1,7.2,8.0,8.8
Annual,Percentage,From 25 to 34 years,Portugal,3.6,4.7,4.2,6.1,6.2,5.7,4.5,5.3,7.2,5.7,5.4,4.7,9.0 p,9.3 p,9.7 p,9.1 p
Annual,Percentage,From 25 to 34 years,Romania,5.4 d,5.2 d,5.1 d,2.6,2.2,1.7,1.5,1.1,2.9 e,4.8 e,6.6 e,8.4,8.1 e,8.1 e,8.1 e,8.1 e
Annual,Percentage,From 25 to 34 years,Serbia,:,:,:,:,:,:,:,6.9,:,:,:,9.6,:,:,:,:
Annual,Percentage,From 25 to 34 years,Sweden,:,11.6,10.1,10.2,9.9,10.0,9.4,9.2,9.5,8.6,8.4,8.0,7.4,7.0,7.1,7.2
Annual,Percentage,From 25 to 34 years,Slovenia,-0.3,-1.2,-5.5,-4.0,-1.2,1.4,3.8,6.3,7.4,7.6,8.7,10.3,9.7 p,5.4 p,6.4 p,10.6 p
Annual,Percentage,From 25 to 34 years,Slovakia,:,19.2,17.5,16.2,15.1,15.3,13.2,13.2,14.5,13.4,15.7,15.9,14.1,11.5,12.6,14.1
Annual,Percentage,From 25 to 34 years,Türkiye,:,:,:,:,:,:,:,-12.3,:,:,:,:,:,:,:,:
Annual,Percentage,From 25 to 34 years,United Kingdom,8.9,9.1,7.6,10.2 b,7.2,8.8,7.2,8.5,9.7,11.0,11.6,10.0,:,:,:,:
Annual,Percentage,From 35 to 44 years,Albania,:,:,:,:,:,:,:,:,:,:,:,7.9,:,:,:,:
Annual,Percentage,From 35 to 44 years,Austria,:,:,:,25.2,:,:,:,22.0,:,:,:,18.9,:,:,:,:
Annual,Percentage,From 35 to 44 years,Belgium,9.9,9.9,9.7,9.7,8.8,7.7,6.7,5.7,5.6,5.4,5.3,5.4,5.4 p,4.9 p,4.5 p,4.4 p
Annual,Percentage,From 35 to 44 years,Bulgaria,18.4,18.5,19.4,19.2,19.3,20.9,19.9,19.9,20.9,19.8,19.3,18.8,18.9 p,17.6 p,17.2 p,18 p
Annual,Percentage,From 35 to 44 years,Switzerland,:,18.2 d,18.1 d,17.1,16.0,15.8,16.0,15.7,17.5,17.0,17.7,16.2,16.2 p,16.0 p,15.3 p,15.4 p
Annual,Percentage,From 35 to 44 years,Cyprus,:,24.6,23.6,13.0,12.3,11.9,11.4,10.8,9.4,8.4,7.6,7.2,7.3 p,7.8 p,8.7 p,9.7 p
Annual,Percentage,From 35 to 44 years,Czechia,:,32.7,32.6,29.7,30.0,29.2,28.5,28.3,28.1 d,27.1 d,26.2 d,25 d,23.7 d,21.1 d,20 d,21.5 dp
Annual,Percentage,From 35 to 44 years,Germany,:,:,:,23.6,:,:,:,21.9,:,:,:,18.7,:,:,:,16.6 b
Annual,Percentage,From 35 to 44 years,Denmark,:,19.7,19.0,19.0,18.6,18.5,18.0,17.6,16.6,16.3,16.1,16.1,14.9,14.2,14.3,14.2
Annual,Percentage,From 35 to 44 years,Estonia,:,:,:,:,:,:,:,:,:,:,:,25.7,:,:,:,:
Annual,Percentage,From 35 to 44 years,Greece,:,:,:,10.9,:,:,:,8.4,:,:,:,9.0,:,:,:,:
Annual,Percentage,From 35 to 44 years,Spain,16.7,15.8,15.8,13.1,15.4,15.9,15.9,11.5,10.1,11.9,10.4,9.7,7.6,6.9,6.2,6.2 p
Annual,Percentage,From 35 to 44 years,Finland,:,21.8,21.8,21.3,20.5,20.4,19.8,19.6,18.7,18.5,18.1,17.4,17.2,16.5,15.9,15.8 p
Annual,Percentage,From 35 to 44 years,France,:,:,13.2,13.7,13.7,13.3,13.6,13.2,12.9,13.1,13.3,13.5,13.1 p,12.6 p,11.8 p,11.4 p
Annual,Percentage,From 35 to 44 years,Croatia,:,:,:,10.0,:,:,9.3,13.4,:,11.9,14.0,12.7,12.8 p,14.1 p,12.4 p,11.6 p
Annual,Percentage,From 35 to 44 years,Hungary,22.4,24.3,23.0,22.9,23.2,25.0,21.3,19.9,19.2,19.7,21.2 b,20.3,22.8 b,22.2,22.2,22.4
Annual,Percentage,From 35 to 44 years,Ireland,:,15.1,12.7,14.1,13.3,11.9,12.1,12.0,12.8 p,12.9 p,13 p,15.0,14.0 p,12.9 p,15.4 p,9.1
Annual,Percentage,From 35 to 44 years,Iceland,30.8,25.1,20.7,20.4,22.1,22.1,22.5,18.8,18.6,18.1,18.0,16.2,14.2 p,11.6,10.1,8.8
Annual,Percentage,From 35 to 44 years,Italy,7.0,5.8,6.2,4.8,5.7,7.4,9.0,6.3,5.6 p,5.7 p,6.2 p,4.8,4.6 p,3.3 p,4.7 p,3.7 p
Annual,Percentage,From 35 to 44 years,Lithuania,25.0,25.0,19.1,17.2 b,16.5,17.0,17.5,18.8,20.0,19.4,19.8,18.0,16.9 p,17.5 p,16.8 p,16.6 p
Annual,Percentage,From 35 to 44 years,Luxembourg,6.9,6.8,6.6,6.5,:,:,:,0.5,:,:,:,-3.9,:,:,:,:
Annual,Percentage,From 35 to 44 years,Latvia,:,:,:,18.6,:,:,:,22.7,24 d,23.5 d,22.9 d,21.8 d,23.1 p,23.8 p,22.3 p,24.8 p
Annual,Percentage,From 35 to 44 years,Montenegro,:,:,:,:,:,:,:,6.6,:,:,:,:,:,:,:,:
Annual,Percentage,From 35 to 44 years,North Macedonia,:,:,:,:,:,:,:,9.0,:,:,:,:,:,:,:,:
Annual,Percentage,From 35 to 44 years,Malta,4.7,8.6,7.6,10.2,10.2,11.4,12.2,13.2,14.4,15.3,15.1,15.4,14.3 p,12.3,12.3,11.1
Annual,Percentage,From 35 to 44 years,Netherlands,18.5,18.4,17.6,16.4,16.1,15.2,14.3,14.1,10.9,10.4,10.3,10.4,8.6 p,8.0 p,7.6 p,7.5 p
Annual,Percentage,From 35 to 44 years,Norway,:,17.5,16.7,16.5,16.1,14.8,15.0,14.2,15.6,13.4,12.0,10.8,12.8 dp,13.1 dp,14.2 dp,14.4 dp
Annual,Percentage,From 35 to 44 years,Poland,18.0,15.0,12.0,9.0,10.1,11.2,12.2 p,13.1,12.5,11.8,11.7,13.6,11.5,9.4,11.3,13.1
Annual,Percentage,From 35 to 44 years,Portugal,12.5,11.8,11.7,15.6,13.8,13.8,11.4,12.0,13.9,12.6,10.9,9.8,11.4 p,11.5 p,11.9 p,12.9 p
Annual,Percentage,From 35 to 44 years,Romania,12.3 d,12.2 d,12.1 d,10.5,9.4,8.5,7.6,6.7,6.1 e,5.6 e,5.1 e,4.5,4.5 e,4.4 e,4.4 e,4.4 e
Annual,Percentage,From 35 to 44 years,Serbia,:,:,:,:,:,:,:,9.3,:,:,:,13.0,:,:,:,:
Annual,Percentage,From 35 to 44 years,Sweden,:,18.6,17.4,16.9,17.5,17.4,16.7,15.7,15.6,14.8,13.2,12.6,12.4,11.4,12.0,11.8
Annual,Percentage,From 35 to 44 years,Slovenia,7.4,7.3,2.3,3.9,5.9,7.5,8.9,9.1,10.6,10.6,10.8,12.0,10.6 p,6.5 p,7.1 p,11.5 p
Annual,Percentage,From 35 to 44 years,Slovakia,:,26.0,29.5,27.5,26.2,26.9,24.3,25.8,24.6,24.2,24.4,24.0,22.3,20.1,19.8,20.7
Annual,Percentage,From 35 to 44 years,Türkiye,:,:,:,:,:,:,:,-6.8,:,:,:,:,:,:,:,:
Annual,Percentage,From 35 to 44 years,United Kingdom,22.9,23.9,22.7,26.6 b,22.7,25.6,22.1,21.5,21.4,21.6,20.1,18.6,:,:,:,:
Annual,Percentage,From 45 to 54 years,Albania,:,:,:,:,:,:,:,:,:,:,:,10.8,:,:,:,:
Annual,Percentage,From 45 to 54 years,Austria,:,:,:,28.5,:,:,:,26.7,:,:,:,25.3,:,:,:,:
Annual,Percentage,From 45 to 54 years,Belgium,12.1,12.1,11.9,11.9,10.8,9.8,8.7,7.6,7.1,6.3,5.7,5.4,5.2 p,4.7 p,4.4 p,4.3 p
Annual,Percentage,From 45 to 54 years,Bulgaria,13.3,14.5,16.5,17.5,17.4,18.8,17.6,17.5,18.5,17.3,16.8,16.2,16.4 p,15.0 p,14.6 p,15.4 p
Annual,Percentage,From 45 to 54 years,Switzerland,:,22.9 d,22.9 d,22.4,22.6,22.5,22.6,22.5,23.3,23.1,23.7,23.9,23.9 p,23.7 p,23 p,23.2 p
Annual,Percentage,From 45 to 54 years,Cyprus,:,37.4,38.2,29.0,28.1,27.3,25.7,25.1,22.4,20.1,17.6,15.1,14.8 p,14.6 p,14.3 p,13.8 p
Annual,Percentage,From 45 to 54 years,Czechia,:,26.9,27.1,21.2,22.9,24.0,23.8,24.4,24.5 d,23.5 d,23.4 d,22.8 d,22.0 d,19.6 d,18.6 d,21.4 dp
Annual,Percentage,From 45 to 54 years,Germany,:,:,:,27.2,:,:,:,28.4,:,:,:,25.6,:,:,:,23.6 b
Annual,Percentage,From 45 to 54 years,Denmark,:,19.5,19.4,19.8,19.6,20.0,19.5,19.3,18.4,18.5,18.4,18.4,17.6,17.2,17.1,16.8
Annual,Percentage,From 45 to 54 years,Estonia,:,:,:,:,:,:,:,:,:,:,:,22.4,:,:,:,:
Annual,Percentage,From 45 to 54 years,Greece,:,:,:,18.4,:,:,:,14.5,:,:,:,9.8,:,:,:,:
Annual,Percentage,From 45 to 54 years,Spain,18.8,17.6,18.8,18.8,19.6,20.5,19.6,19.0,16.6,16.8,15.8,13.8,12.2,12.1,11.7,11.7 p
Annual,Percentage,From 45 to 54 years,Finland,:,23.2,23.0,22.8,20.9,20.7,19.9,20.6,20.2,20.2,20.2,20.7,20.3,19.8,19.4,19.1 p
Annual,Percentage,From 45 to 54 years,France,:,:,20.0,19.5,19.5,19.6,19.4,19.2,18.9,19.1,19.4,19.6,18.8 p,18.2 p,16.9 p,16.2 p
Annual,Percentage,From 45 to 54 years,Croatia,:,:,:,9.1,:,:,9.0,13.6,:,15.5,18.7,18.5,18.6 p,19.8 p,18.2 p,15.6 p
Annual,Percentage,From 45 to 54 years,Hungary,17.9,19.5,20.4,21.4,21.4,23.6,23.8,17.6,16.2,15.8,18 b,14.7,19.1 b,18.3,19.6,19.7
Annual,Percentage,From 45 to 54 years,Ireland,:,16.5,19.5,17.8,19.6,19.6,19.6,18.7,23.8 p,23.3 p,23.1 p,10.0,9.4 p,8.7 p,9 p,12.0
Annual,Percentage,From 45 to 54 years,Iceland,27.4,26.1,23.3,22.7,22.2,23.0,24.9,24.9,26.7,23.5,21.8,20.2,20.8 p,17.1,14.9,13.8
Annual,Percentage,From 45 to 54 years,Italy,1.0,1.2,4.1,6.1,6.3,7.6,9.1,7.8,7.4 p,6.4 p,8.6 p,7.5,6.4 p,5.9 p,6.7 p,6.2 p
Annual,Percentage,From 45 to 54 years,Lithuania,23.4,22.6,16.4,12.5 b,10.2,10.5,10.8,11.3,11.3,10.9,12.9,10.9,9.8 p,11.0 p,9.5 p,10.4 p
Annual,Percentage,From 45 to 54 years,Luxembourg,15.6,15.3,14.9,14.6,:,:,:,9.7,:,:,:,6.6,:,:,:,:
Annual,Percentage,From 45 to 54 years,Latvia,:,:,:,12.7,:,:,:,14.6,17.1 d,17.2 d,18.1 d,17.5 d,17.8 p,19.0 p,16.4 p,19.5 p
