Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Private ownership,Albania,:,:,:,:,:,:,:,:,:,:,:,12.5,:,:,:,:
Annual,Percentage,Private ownership,Austria,:,:,:,24.6,:,:,:,22.6,:,:,:,20.9,:,:,:,:
Annual,Percentage,Private ownership,Belgium,14.1,14.1,13.9,13.9,12.8,11.8,10.6,9.6,9.6,9.1,9.0,9.0,8.9 p,8.5 p,8.1 p,8.1 p
Annual,Percentage,Private ownership,Bulgaria,10.6,11.5,11.9,11.6,11.2,12.9,12.8,12.5,13.3,12.0,12.2,11.9,13.1 p,12.3 p,13.6 p,13.3 p
Annual,Percentage,Private ownership,Switzerland,:,21.7 d,21.6 d,21.1,18.4,18.3,18.4,18.1,18.6,18.2,18.6,19.4,19.4 p,19.2 p,18.6 p,18.7 p
Annual,Percentage,Private ownership,Cyprus,:,27.5,26.8,25.3,24.9,24.1,23.8,23.5,22.8,21.8,21.0,20.1,19.6 p,19.5 p,19.6 p,19.5 p
Annual,Percentage,Private ownership,Czechia,:,26.1,26.5,23.3,23.3,23.4,23.1,23.5,23.4 d,22.5 d,22.3 d,21.9 d,21.6 d,20.3 d,19.5 d,20.5 dp
Annual,Percentage,Private ownership,Germany,:,26.2 p,25.8 p,25.8,25.7,25.4,25.1,25.3,24.6,24.1,23.1,22.8,22.9,22.6,22.1,19.9 b
Annual,Percentage,Private ownership,Denmark,:,16.1,16.6,14.0,18.3,17.5,16.2,16.1,14.9,15.5,14.8,14.0,13.9,13.7,13.7,13.2
Annual,Percentage,Private ownership,Estonia,:,:,:,:,:,:,:,:,:,:,:,23.1,:,:,:,:
Annual,Percentage,Private ownership,Greece,:,:,:,17.3,:,:,:,16.4,:,:,:,17.2,:,:,:,:
Annual,Percentage,Private ownership,Spain,20.4,18.8,19.6,20.3,21.4,21.9,21.1,17.8,18.7,18.5,17.0,16.2,13.9,13.4,12.8,12.8 p
Annual,Percentage,Private ownership,Finland,:,19.7,20.2,19.2,17.6,18.3,17.9,17.6,17.4,17.7,16.8,16.5,16.6,16.8,16.4,15.4 p
Annual,Percentage,Private ownership,France,:,:,:,16.4,:,:,:,15.3,:,:,:,17.4,:,:,:,:
Annual,Percentage,Private ownership,Croatia,:,:,:,6.3,:,:,8.9,9.9,:,10.7,12.4,14.0,14.3 p,15.6 p,13.9 p,13.9 p
Annual,Percentage,Private ownership,Hungary,17.1,17.2,15.8,16.2,15.3,16.3,15.0,15.6,13.4,15.0,17.3 b,15.9,16.0 b,15.6,16.9,17.8
Annual,Percentage,Private ownership,Ireland,:,21.4,19.9,21.6,20.4,19.2,19.5,19.7,:,:,:,20.0,:,:,:,17.6
Annual,Percentage,Private ownership,Iceland,24.8,22.4,20.1,17.8,17.6,16.8,17.2,16.3,16.6,15.6,15.0,16.0,14.8 p,11.7,13.7,13.5
Annual,Percentage,Private ownership,Italy,17.6,17.1,17.6,17.5,17.7,18.2,19.9,19.6,19 p,17.9 p,20.7 p,17.7,17.0 p,16.5 p,15.5 p,15.4 p
Annual,Percentage,Private ownership,Lithuania,25.2,23.5,20.5,11.6 b,16.1,16.2,16.0,16.6,17.7,18.1,16.4,15.1,14.4 p,15.7 p,14.3 p,13.1 p
Annual,Percentage,Private ownership,Luxembourg,15.1,13.0,10.9,10.9,:,:,:,12.7,:,:,:,10.3,:,:,:,:
Annual,Percentage,Private ownership,Latvia,16.1,14.8,15.9,15.8,13.2,12.7,12.8,14.3,15.7,17.2,18.0,16.9,19.5 p,20.9 p,15.5 p,18.1 p
Annual,Percentage,Private ownership,Montenegro,:,:,:,:,:,:,:,5.1,:,:,:,:,:,:,:,:
Annual,Percentage,Private ownership,Malta,11.1,15.5,12.0,11.9,:,:,:,:,:,:,:,15.7,:,:,:,:
Annual,Percentage,Private ownership,Netherlands,19.7,19.3,18.8,18.0,23.9,23.8,24.0,24.7,22.4,22.7,22.8,22.9,20.4 p,19.8 p,19.2 p,18.7 p
Annual,Percentage,Private ownership,Norway,:,20.2,19.7,19.3,18.6,17.4,17.5,17.7,18.2,16.6,15.4,14.2,16.7 dp,16.5 dp,18.0 dp,17.7 dp
Annual,Percentage,Private ownership,Poland,23.2,21.2,19.2,17.2,16.7,16.1,17 p,17.9,16.8,15.7,15.4,15.7,14.4,13.0,13.5,14.0
Annual,Percentage,Private ownership,Portugal,21.4,22.7,21.9,24.1,23.0,25.6,21.1,22.8,21.2,19.4,17.7,16.0,14.7 p,14.0 p,13.5 p,12.8 p
Annual,Percentage,Private ownership,Romania,12.3 d,11.6 d,8.5 d,4.9,3.0,3.9,3.1,4.6,6.2 e,7.2 e,7.6 e,10.2,11.5 e,10.0 e,10.2 e,8.6 e
Annual,Percentage,Private ownership,Serbia,:,:,:,:,:,:,:,9.2,:,:,:,10.1,:,:,:,:
Annual,Percentage,Private ownership,Sweden,:,14.8,13.8,13.1,13.7,13.4,12.8,12.4,12.4,12.3,11.9,11.5,10.3,10.0,10.1,9.9
Annual,Percentage,Private ownership,Slovenia,13.3,12.2,8.5,8.9,9.7,9.5,9.7,9.8,8.7,9.9,11.1,12.4,11.1 p,8.6 p,10.8 p,10.8 p
