Time frequency,Unit of measure,Quantile,Working time,Geopolitical entity (reporting)\Time,2010.0
Annual,Euro,Median,Full-time,Austria,33882.0
Annual,Euro,Median,Full-time,Belgium,39732.0
Annual,Euro,Median,Full-time,Bulgaria,3458.0
Annual,Euro,Median,Full-time,Switzerland,57727.0
Annual,Euro,Median,Full-time,Cyprus,21957.0
Annual,Euro,Median,Full-time,Czechia,10634.0
Annual,Euro,Median,Full-time,Germany,36219.0
Annual,Euro,Median,Full-time,Denmark,49989.0
Annual,Euro,Median,Full-time,Euro area - 13 countries (2007),29941.0
Annual,Euro,Median,Full-time,Euro area - 16 countries (2009-2010),29763.0
Annual,Euro,Median,Full-time,Euro area - 17 countries (2011-2013),29672.0
Annual,Euro,Median,Full-time,Estonia,8681.0
Annual,Euro,Median,Full-time,Greece,22244.0
Annual,Euro,Median,Full-time,Spain,23492.0
Annual,Euro,Median,Full-time,European Union - 15 countries (1995-2004),30917.0
Annual,Euro,Median,Full-time,European Union - 25 countries (2004-2006),27716.0
Annual,Euro,Median,Full-time,European Union - 27 countries (2007-2013),26565.0
Annual,Euro,Median,Full-time,European Union - 28 countries (2013-2020),26430.0
Annual,Euro,Median,Full-time,Finland,34550.0
Annual,Euro,Median,Full-time,France,28343.0
Annual,Euro,Median,Full-time,Croatia,10165.0
Annual,Euro,Median,Full-time,Hungary,7314.0
Annual,Euro,Median,Full-time,Ireland,37704.0
Annual,Euro,Median,Full-time,Iceland,29158.0
Annual,Euro,Median,Full-time,Italy,27796.0
Annual,Euro,Median,Full-time,Lithuania,5827.0
Annual,Euro,Median,Full-time,Luxembourg,40389.0
Annual,Euro,Median,Full-time,Latvia,6639.0
Annual,Euro,Median,Full-time,North Macedonia,5087.0
Annual,Euro,Median,Full-time,Malta,17325.0
Annual,Euro,Median,Full-time,Netherlands,38638.0
Annual,Euro,Median,Full-time,Norway,51938.0
Annual,Euro,Median,Full-time,Poland,8527.0
Annual,Euro,Median,Full-time,Portugal,12599.0
Annual,Euro,Median,Full-time,Romania,4391.0
Annual,Euro,Median,Full-time,Sweden,34171.0
Annual,Euro,Median,Full-time,Slovenia,17705.0
Annual,Euro,Median,Full-time,Slovakia,8406.0
Annual,Euro,Median,Full-time,Türkiye,6011.0
Annual,Euro,Median,Full-time,United Kingdom,30345.0
Annual,Euro,Tenth percentile,Full-time,Austria,19776.0
Annual,Euro,Tenth percentile,Full-time,Belgium,28317.0
Annual,Euro,Tenth percentile,Full-time,Bulgaria,1857.0
Annual,Euro,Tenth percentile,Full-time,Switzerland,38105.0
Annual,Euro,Tenth percentile,Full-time,Cyprus,11895.0
