Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2014.0
Annual,Euro,Private ownership,Austria,41400.0
Annual,Euro,Private ownership,Belgium,45592.0
Annual,Euro,Private ownership,Bulgaria,5690.0
Annual,Euro,Private ownership,Switzerland,70998.0
Annual,Euro,Private ownership,Cyprus,23339.0
Annual,Euro,Private ownership,Czechia,12583.0
Annual,Euro,Private ownership,Germany,40132.0
Annual,Euro,Private ownership,Denmark,57111.0
Annual,Euro,Private ownership,Euro area - 17 countries (2011-2013),36390.0
Annual,Euro,Private ownership,Euro area - 18 countries (2014),36250.0
Annual,Euro,Private ownership,Euro area - 19 countries  (2015-2022),36004.0
Annual,Euro,Private ownership,Estonia,13811.0
Annual,Euro,Private ownership,Greece,21671.0
Annual,Euro,Private ownership,Spain,26475.0
Annual,Euro,Private ownership,European Union - 27 countries (2007-2013),33621.0
Annual,Euro,Private ownership,European Union - 28 countries (2013-2020),33541.0
Annual,Euro,Private ownership,Finland,46698.0
Annual,Euro,Private ownership,France,35807.0
Annual,Euro,Private ownership,Croatia,12422.0
Annual,Euro,Private ownership,Hungary,10560.0
Annual,Euro,Private ownership,Ireland,43695.0
Annual,Euro,Private ownership,Iceland,47373.0
Annual,Euro,Private ownership,Italy,33764.0
Annual,Euro,Private ownership,Lithuania,8840.0
Annual,Euro,Private ownership,Luxembourg,55752.0
Annual,Euro,Private ownership,Latvia,11214.0
Annual,Euro,Private ownership,Montenegro,8332.0
Annual,Euro,Private ownership,North Macedonia,6045.0
Annual,Euro,Private ownership,Malta,21002.0
Annual,Euro,Private ownership,Netherlands,43394.0
Annual,Euro,Private ownership,Norway,58290.0
Annual,Euro,Private ownership,Poland,11341.0
Annual,Euro,Private ownership,Portugal,15822.0
Annual,Euro,Private ownership,Romania,6409.0
Annual,Euro,Private ownership,Serbia,6494.0
Annual,Euro,Private ownership,Sweden,46889.0
Annual,Euro,Private ownership,Slovenia,21566.0
Annual,Euro,Private ownership,Slovakia,12483.0
Annual,Euro,Private ownership,Türkiye,9978.0
Annual,Euro,Private ownership,United Kingdom,39161.0
Annual,Euro,Public ownership,Austria,49235.0
Annual,Euro,Public ownership,Belgium,46303.0
Annual,Euro,Public ownership,Bulgaria,5944.0
Annual,Euro,Public ownership,Switzerland,81807.0
Annual,Euro,Public ownership,Cyprus,32621.0
Annual,Euro,Public ownership,Czechia,12324.0
Annual,Euro,Public ownership,Germany,45900.0
Annual,Euro,Public ownership,Denmark,51391.0
Annual,Euro,Public ownership,Euro area - 17 countries (2011-2013),38559.0
Annual,Euro,Public ownership,Euro area - 18 countries (2014),38142.0
Annual,Euro,Public ownership,Euro area - 19 countries  (2015-2022),37607.0
Annual,Euro,Public ownership,Estonia,12656.0
Annual,Euro,Public ownership,Greece,23381.0
Annual,Euro,Public ownership,Spain,33066.0
Annual,Euro,Public ownership,European Union - 27 countries (2007-2013),33767.0
Annual,Euro,Public ownership,European Union - 28 countries (2013-2020),33550.0
Annual,Euro,Public ownership,Finland,41489.0
Annual,Euro,Public ownership,France,37486.0
Annual,Euro,Public ownership,Croatia,13800.0
Annual,Euro,Public ownership,Hungary,9847.0
Annual,Euro,Public ownership,Ireland,54750.0
Annual,Euro,Public ownership,Iceland,40191.0
Annual,Euro,Public ownership,Italy,36412.0
Annual,Euro,Public ownership,Lithuania,8788.0
Annual,Euro,Public ownership,Luxembourg,74339.0
Annual,Euro,Public ownership,Latvia,9971.0
Annual,Euro,Public ownership,Montenegro,9308.0
Annual,Euro,Public ownership,North Macedonia,7704.0
Annual,Euro,Public ownership,Malta,24095.0
Annual,Euro,Public ownership,Netherlands,41787.0
Annual,Euro,Public ownership,Norway,59851.0
Annual,Euro,Public ownership,Poland,12123.0
Annual,Euro,Public ownership,Portugal,23483.0
Annual,Euro,Public ownership,Romania,7430.0
Annual,Euro,Public ownership,Serbia,7563.0
Annual,Euro,Public ownership,Sweden,41621.0
Annual,Euro,Public ownership,Slovenia,24156.0
Annual,Euro,Public ownership,Slovakia,11165.0
Annual,Euro,Public ownership,Türkiye,23397.0
Annual,Euro,Public ownership,United Kingdom,39800.0
Annual,National currency,Private ownership,Euro area - 17 countries (2011-2013),36390.0
Annual,National currency,Private ownership,Euro area - 18 countries (2014),36250.0
Annual,National currency,Private ownership,Euro area - 19 countries  (2015-2022),36004.0
Annual,National currency,Private ownership,European Union - 27 countries (2007-2013),33621.0
Annual,National currency,Private ownership,European Union - 28 countries (2013-2020),33541.0
Annual,National currency,Public ownership,Euro area - 17 countries (2011-2013),38559.0
Annual,National currency,Public ownership,Euro area - 18 countries (2014),38142.0
Annual,National currency,Public ownership,Euro area - 19 countries  (2015-2022),37607.0
Annual,National currency,Public ownership,European Union - 27 countries (2007-2013),33767.0
Annual,National currency,Public ownership,European Union - 28 countries (2013-2020),33550.0
