Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2006.0
Annual,Euro,Private ownership,Austria,2281.0
Annual,Euro,Private ownership,Belgium,2640.0
Annual,Euro,Private ownership,Bulgaria,188.0
Annual,Euro,Private ownership,Cyprus,1635.0
Annual,Euro,Private ownership,Czechia,731.0
Annual,Euro,Private ownership,Germany,2709.0
Annual,Euro,Private ownership,Denmark,3335.0
Annual,Euro,Private ownership,Euro area - 16 countries (2009-2010),2266.0
Annual,Euro,Private ownership,Estonia,658.0
Annual,Euro,Private ownership,Greece,1473.0
Annual,Euro,Private ownership,Spain,1642.0
Annual,Euro,Private ownership,European Union - 25 countries (2004-2006),2300.0
Annual,Euro,Private ownership,European Union - 27 countries (2007-2013),2208.0
Annual,Euro,Private ownership,Finland,2657.0
Annual,Euro,Private ownership,France,2435.0
Annual,Euro,Private ownership,Hungary,624.0
Annual,Euro,Private ownership,Ireland,3097.0
Annual,Euro,Private ownership,Iceland,3345.0
Annual,Euro,Private ownership,Italy,2032.0
Annual,Euro,Private ownership,Lithuania,478.0
Annual,Euro,Private ownership,Luxembourg,3192.0
Annual,Euro,Private ownership,Latvia,459.0
Annual,Euro,Private ownership,Malta,1231.0
Annual,Euro,Private ownership,Netherlands,2633.0
Annual,Euro,Private ownership,Norway,3888.0
Annual,Euro,Private ownership,Poland,648.0
Annual,Euro,Private ownership,Portugal,1016.0
Annual,Euro,Private ownership,Romania,298.0
Annual,Euro,Private ownership,Sweden,2965.0
Annual,Euro,Private ownership,Slovenia,1091.0
Annual,Euro,Private ownership,Slovakia,543.0
Annual,Euro,Private ownership,Türkiye,597.0
Annual,Euro,Private ownership,United Kingdom,3254.0
Annual,Euro,Public ownership,Austria,2744.0
Annual,Euro,Public ownership,Belgium,3005.0
Annual,Euro,Public ownership,Bulgaria,219.0
Annual,Euro,Public ownership,Cyprus,2609.0
Annual,Euro,Public ownership,Czechia,706.0
Annual,Euro,Public ownership,Germany,3126.0
Annual,Euro,Public ownership,Denmark,3242.0
Annual,Euro,Public ownership,Euro area - 16 countries (2009-2010),2546.0
Annual,Euro,Public ownership,Estonia,548.0
Annual,Euro,Public ownership,Greece,2136.0
Annual,Euro,Public ownership,Spain,2166.0
Annual,Euro,Public ownership,European Union - 25 countries (2004-2006),2375.0
Annual,Euro,Public ownership,European Union - 27 countries (2007-2013),2242.0
Annual,Euro,Public ownership,Finland,2406.0
Annual,Euro,Public ownership,France,2855.0
Annual,Euro,Public ownership,Hungary,641.0
Annual,Euro,Public ownership,Ireland,4144.0
Annual,Euro,Public ownership,Iceland,3325.0
Annual,Euro,Public ownership,Italy,2305.0
Annual,Euro,Public ownership,Lithuania,461.0
Annual,Euro,Public ownership,Luxembourg,4361.0
Annual,Euro,Public ownership,Latvia,477.0
Annual,Euro,Public ownership,Malta,1355.0
Annual,Euro,Public ownership,Netherlands,2423.0
Annual,Euro,Public ownership,Norway,4097.0
Annual,Euro,Public ownership,Poland,712.0
Annual,Euro,Public ownership,Portugal,1849.0
Annual,Euro,Public ownership,Romania,428.0
Annual,Euro,Public ownership,Sweden,2703.0
Annual,Euro,Public ownership,Slovenia,1439.0
Annual,Euro,Public ownership,Slovakia,487.0
Annual,Euro,Public ownership,Türkiye,1029.0
Annual,Euro,Public ownership,United Kingdom,3378.0
