Time frequency,Unit of measure,Size classes in number of employees,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Albania,:,:,:,46.25,39.75
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,29.89,35.24,34.55,34.86,34.07
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Bosnia and Herzegovina,:,:,:,:,31.19
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,12.81,13.02,6.89,29.65,33.41
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,26.06,40.74,36.41,37.39,44.88
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,:,33.92,25.85,26.21,26.52
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,33.94,34.41,35.12,34.46,39.82
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,39.09,40.87,43.29,34.89,30.66
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,38.46,54.63,50.38,50.37,45.06
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,16.2,20.11,24.48,28.23,28.96
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Euro area - 17 countries (2011-2013),23.12,27.94,26.53,26.41,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Euro area - 18 countries (2014),:,:,:,26.45,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Euro area - 19 countries  (2015-2022),:,:,26.61,26.49,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,39.98,44.06,37.06,35.48,34.86
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,20.7,18.25,35.57,28.29,26.09
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Spain,18.02,22.35,22.45,22.32,21.0
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",European Union - 27 countries (2007-2013),26.54,29.09,28.71,26.95,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",European Union - 27 countries (from 2020),25.15,28.38,28.04,27.07,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",European Union - 28 countries (2013-2020),:,29.15,28.26,:,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Finland,8.23,11.54,10.83,12.13,19.99
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",France,14.46,11.94,17.74,16.67,21.35
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Croatia,:,42.1,52.91,40.11,39.18
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Hungary,36.74,40.26,36.25,38.71,50.87
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Ireland,32.03,30.89,34.73,38.17,35.83
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,22.75,16.28,14.06,22.73,9.76
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,16.13,20.85,16.58,15.16,15.27
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,44.15,44.14,41.45,46.25,34.83
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,26.82,33.72,27.57,27.59,37.12
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,45.75,42.59,37.91,38.1,36.08
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Montenegro,:,:,61.79,:,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",North Macedonia,:,55.38,42.17,28.64,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,22.0,28.37,26.64,27.32,26.92
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Netherlands,36.46,36.57,34.73,36.29,35.7
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Norway,15.94,18.34,20.87,20.48,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Poland,39.3,44.92,41.53,40.68,36.55
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Portugal,30.83,25.3,20.27,5.97,3.19
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Romania,43.89,49.17,42.23,30.74,45.09
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Serbia,:,:,47.05,35.3,45.04
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Sweden,3.06,4.19,4.86,8.71,9.62
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Slovenia,39.28,39.98,40.02,36.7,22.87
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Slovakia,52.18,51.49,53.72,48.8,54.47
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",Türkiye,0.28,0.43,0.36,1.37,:
Annual,Percentage,10 employees or more,"Less than primary, primary and lower secondary education (levels 0-2)",United Kingdom,46.02,34.63,32.71,26.64,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Albania,:,:,:,33.96,26.32
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Austria,11.84,12.39,12.24,12.98,12.33
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bosnia and Herzegovina,:,:,:,:,21.88
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,7.91,7.37,5.37,20.29,24.96
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,23.88,27.91,24.02,29.86,37.58
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Switzerland,:,10.35,7.04,7.64,7.57
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,28.51,33.56,27.66,28.99,31.5
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,17.03,19.18,20.02,16.03,14.55
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,16.25,19.13,23.36,21.13,19.31
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,7.23,7.55,7.03,7.4,8.97
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area - 17 countries (2011-2013),12.8,14.16,18.18,16.97,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area - 18 countries (2014),:,:,:,17.08,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area - 19 countries  (2015-2022),:,:,18.49,17.27,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,27.78,30.85,28.03,27.5,28.21
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,21.6,19.23,29.17,25.29,25.58
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,12.99,15.27,17.01,15.41,15.62
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 27 countries (2007-2013),17.87,19.16,20.86,18.84,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 27 countries (from 2020),15.45,17.19,19.62,18.1,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 28 countries (2013-2020),:,19.21,20.98,:,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,6.58,8.38,7.96,7.5,8.48
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,7.12,6.45,10.43,9.75,10.41
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Croatia,:,25.01,30.79,22.57,23.55
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,24.85,21.34,20.93,10.98,11.56
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,27.44,25.56,29.69,29.56,27.97
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,5.45,6.86,7.31,5.46,2.52
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,7.83,8.5,8.29,7.57,9.27
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,39.01,39.39,33.28,32.79,25.19
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,12.15,9.84,9.97,10.24,14.03
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,37.84,35.53,33.47,31.91,32.22
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Montenegro,:,:,35.35,:,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),North Macedonia,:,37.89,30.22,18.0,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,7.84,10.43,13.28,15.4,16.67
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,13.84,15.19,18.73,19.24,17.34
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,4.73,4.9,6.2,7.0,:
Annual,Percentage,10 employees or more,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,25.46,31.55,31.97,30.55,27.9
