Time frequency,Unit of measure,Size classes in number of employees,Type of employment contract,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Albania,:,:,:,:,1.95
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Austria,:,:,:,:,14.89
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Bosnia and Herzegovina,:,:,:,:,3.83
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Belgium,:,:,:,:,14.7
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Bulgaria,:,:,:,:,3.13
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Switzerland,:,:,:,:,32.82
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Cyprus,:,:,:,:,7.88
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Czechia,:,:,:,:,7.02
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Germany,:,:,:,:,15.22
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Denmark,:,:,:,:,26.93
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Estonia,:,:,:,:,9.09
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Greece,:,:,:,:,7.0
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Spain,:,:,:,:,11.49
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Finland,:,:,:,:,16.84
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,France,:,:,:,:,13.33
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Croatia,:,:,:,:,5.03
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Hungary,:,:,:,:,4.03
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Ireland,:,:,:,:,16.46
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Iceland,:,:,:,:,20.04
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Italy,:,:,:,:,10.42
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Lithuania,:,:,:,:,8.78
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Luxembourg,:,:,:,:,16.25
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Latvia,:,:,:,:,6.31
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Malta,:,:,:,:,9.22
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Netherlands,:,:,:,:,14.08
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Poland,:,:,:,:,5.57
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Portugal,:,:,:,:,5.49
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Romania,:,:,:,:,5.55
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Serbia,:,:,:,:,3.7
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Sweden,:,:,:,:,16.26
Annual,Euro,10 employees or more,Limited duration except apprentice and trainee,Slovenia,:,:,:,:,8.25
