Time frequency,Size classes in number of employees,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,10 employees or more,Females,Euro,Albania,:,:,:,1.77,2.63
Annual,10 employees or more,Females,Euro,Austria,9.75,11.11,12.28,13.5,15.78
Annual,10 employees or more,Females,Euro,Bosnia and Herzegovina,:,:,:,:,4.77
Annual,10 employees or more,Females,Euro,Belgium,13.76,15.74,16.87,17.21,23.74
Annual,10 employees or more,Females,Euro,Bulgaria,0.79,1.45,1.64,2.38,4.05
Annual,10 employees or more,Females,Euro,Switzerland,:,21.78,27.01,28.99,35.16
Annual,10 employees or more,Females,Euro,Cyprus,7.09,7.9,7.7,7.8,8.62
Annual,10 employees or more,Females,Euro,Czechia,3.15,4.14,4.12,5.67,7.59
Annual,10 employees or more,Females,Euro,Germany,13.19,13.79,14.28,15.83,18.21
Annual,10 employees or more,Females,Euro,Denmark,19.37,23.19,24.24,25.92,28.29
Annual,10 employees or more,Females,Euro,Euro area - 17 countries (2011-2013),11.31,12.37,13.26,13.75,:
Annual,10 employees or more,Females,Euro,Euro area - 18 countries (2014),:,:,:,13.68,:
Annual,10 employees or more,Females,Euro,Euro area - 19 countries  (2015-2022),:,:,13.07,13.57,:
Annual,10 employees or more,Females,Euro,Estonia,2.54,3.59,4.32,5.95,8.63
Annual,10 employees or more,Females,Euro,Greece,6.94,8.4,8.0,7.0,7.0
Annual,10 employees or more,Females,Euro,Spain,7.25,8.44,8.91,9.31,10.32
Annual,10 employees or more,Females,Euro,European Union - 27 countries (2007-2013),10.56,11.16,12.16,12.68,:
Annual,10 employees or more,Females,Euro,European Union - 27 countries (from 2020),9.92,10.99,11.83,12.39,:
Annual,10 employees or more,Females,Euro,European Union - 28 countries (2013-2020),:,11.15,12.19,:,:
Annual,10 employees or more,Females,Euro,Finland,12.53,14.61,15.93,16.32,18.1
Annual,10 employees or more,Females,Euro,France,12.55,13.03,14.12,14.36,16.22
Annual,10 employees or more,Females,Euro,Croatia,:,4.81,4.97,5.15,6.65
Annual,10 employees or more,Females,Euro,Hungary,2.59,3.2,3.46,4.24,5.45
Annual,10 employees or more,Females,Euro,Ireland,15.4,17.33,19.04,17.27,19.7
Annual,10 employees or more,Females,Euro,Iceland,14.72,10.58,13.8,22.37,24.77
Annual,10 employees or more,Females,Euro,Italy,10.52,11.46,12.03,12.43,12.96
Annual,10 employees or more,Females,Euro,Lithuania,2.0,2.62,2.97,4.26,8.69
Annual,10 employees or more,Females,Euro,Luxembourg,15.3,17.98,18.6,20.67,25.73
Annual,10 employees or more,Females,Euro,Latvia,1.87,2.7,3.11,4.48,6.54
Annual,10 employees or more,Females,Euro,Montenegro,:,:,3.45,:,:
Annual,10 employees or more,Females,Euro,North Macedonia,:,2.52,2.14,2.44,:
Annual,10 employees or more,Females,Euro,Malta,6.48,7.32,8.3,9.47,10.42
Annual,10 employees or more,Females,Euro,Netherlands,11.86,14.56,15.02,15.92,18.25
Annual,10 employees or more,Females,Euro,Norway,20.12,24.31,27.05,25.32,:
Annual,10 employees or more,Females,Euro,Poland,2.99,3.89,4.07,4.72,6.62
Annual,10 employees or more,Females,Euro,Portugal,4.39,4.62,4.7,5.11,5.97
Annual,10 employees or more,Females,Euro,Romania,1.32,1.84,2.02,3.68,5.58
Annual,10 employees or more,Females,Euro,Serbia,:,:,2.6,2.76,4.33
Annual,10 employees or more,Females,Euro,Sweden,13.57,15.1,17.59,17.39,18.55
Annual,10 employees or more,Females,Euro,Slovenia,5.28,7.32,7.21,7.77,10.12
Annual,10 employees or more,Females,Euro,Slovakia,2.25,3.62,4.04,5.15,7.15
Annual,10 employees or more,Females,Euro,Türkiye,1.69,2.21,2.31,2.4,:
Annual,10 employees or more,Females,Euro,United Kingdom,13.08,11.54,13.2,13.64,:
Annual,10 employees or more,Males,Euro,Albania,:,:,:,1.69,2.39
Annual,10 employees or more,Males,Euro,Austria,12.82,14.23,15.32,16.52,18.96
Annual,10 employees or more,Males,Euro,Bosnia and Herzegovina,:,:,:,:,4.87
Annual,10 employees or more,Males,Euro,Belgium,14.6,16.84,17.62,18.67,23.94
Annual,10 employees or more,Males,Euro,Bulgaria,0.8,1.59,1.7,2.44,4.04
Annual,10 employees or more,Males,Euro,Switzerland,:,25.64,31.34,33.39,39.7
Annual,10 employees or more,Males,Euro,Cyprus,10.33,10.32,8.99,8.92,9.77
Annual,10 employees or more,Males,Euro,Czechia,3.86,4.95,4.94,6.65,8.85
Annual,10 employees or more,Males,Euro,Germany,16.33,16.88,17.26,18.66,20.71
Annual,10 employees or more,Males,Euro,Denmark,22.82,26.8,27.36,29.07,31.78
Annual,10 employees or more,Males,Euro,Euro area - 17 countries (2011-2013),12.97,14.14,15.18,15.52,:
Annual,10 employees or more,Males,Euro,Euro area - 18 countries (2014),:,:,:,15.46,:
Annual,10 employees or more,Males,Euro,Euro area - 19 countries  (2015-2022),:,:,15.01,15.36,:
Annual,10 employees or more,Males,Euro,Estonia,3.56,4.79,5.86,7.3,10.37
Annual,10 employees or more,Males,Euro,Greece,8.43,9.67,8.0,7.0,8.0
Annual,10 employees or more,Males,Euro,Spain,8.65,10.31,10.65,10.64,11.56
Annual,10 employees or more,Males,Euro,European Union - 27 countries (2007-2013),12.28,12.96,14.06,14.51,:
Annual,10 employees or more,Males,Euro,European Union - 27 countries (from 2020),11.44,12.58,13.51,13.98,:
Annual,10 employees or more,Males,Euro,European Union - 28 countries (2013-2020),:,12.95,14.09,:,:
Annual,10 employees or more,Males,Euro,Finland,15.53,17.95,19.25,19.27,21.27
Annual,10 employees or more,Males,Euro,France,13.92,14.48,15.73,16.29,17.46
Annual,10 employees or more,Males,Euro,Croatia,:,4.9,4.85,5.54,6.96
Annual,10 employees or more,Males,Euro,Hungary,2.7,3.56,3.7,4.52,6.08
Annual,10 employees or more,Males,Euro,Ireland,18.2,19.28,21.57,18.61,20.85
Annual,10 employees or more,Males,Euro,Iceland,17.18,11.83,14.88,23.88,25.88
Annual,10 employees or more,Males,Euro,Italy,11.17,12.11,12.77,12.73,13.11
Annual,10 employees or more,Males,Euro,Lithuania,2.31,2.77,3.27,4.64,8.92
Annual,10 employees or more,Males,Euro,Luxembourg,15.88,17.77,18.27,19.24,23.14
Annual,10 employees or more,Males,Euro,Latvia,2.05,3.13,3.75,5.43,7.91
Annual,10 employees or more,Males,Euro,Montenegro,:,:,3.39,:,:
Annual,10 employees or more,Males,Euro,North Macedonia,:,2.47,2.23,2.73,:
Annual,10 employees or more,Males,Euro,Malta,6.62,7.56,8.63,10.35,10.22
Annual,10 employees or more,Males,Euro,Netherlands,13.64,16.49,16.3,17.14,19.73
Annual,10 employees or more,Males,Euro,Norway,22.66,26.88,29.12,27.31,:
Annual,10 employees or more,Males,Euro,Poland,3.26,4.13,4.48,5.17,7.08
Annual,10 employees or more,Males,Euro,Portugal,4.91,5.46,5.55,5.68,6.46
Annual,10 employees or more,Males,Euro,Romania,1.45,2.02,2.04,3.79,5.51
Annual,10 employees or more,Males,Euro,Serbia,:,:,2.67,2.85,4.54
Annual,10 employees or more,Males,Euro,Sweden,15.22,16.88,19.56,19.11,20.15
Annual,10 employees or more,Males,Euro,Slovenia,5.6,7.14,7.41,8.24,10.75
Annual,10 employees or more,Males,Euro,Slovakia,2.79,4.22,4.76,6.17,8.33
Annual,10 employees or more,Males,Euro,Türkiye,1.74,2.23,2.46,2.64,:
Annual,10 employees or more,Males,Euro,United Kingdom,16.97,14.56,16.49,16.89,:
Annual,10 employees or more,Total,Euro,Albania,:,:,:,1.73,2.47
Annual,10 employees or more,Total,Euro,Austria,11.65,12.96,14.02,15.27,17.65
Annual,10 employees or more,Total,Euro,Bosnia and Herzegovina,:,:,:,:,4.83
Annual,10 employees or more,Total,Euro,Belgium,14.27,16.42,17.32,17.97,23.84
Annual,10 employees or more,Total,Euro,Bulgaria,0.8,1.52,1.67,2.4,4.05
Annual,10 employees or more,Total,Euro,Switzerland,:,23.95,29.46,31.44,37.64
Annual,10 employees or more,Total,Euro,Cyprus,8.81,9.19,8.35,8.39,9.31
Annual,10 employees or more,Total,Euro,Czechia,3.56,4.59,4.56,6.17,8.23
Annual,10 employees or more,Total,Euro,Germany,14.83,15.39,15.67,17.23,19.39
Annual,10 employees or more,Total,Euro,Denmark,20.95,24.71,25.52,27.24,29.83
Annual,10 employees or more,Total,Euro,Euro area - 17 countries (2011-2013),12.22,13.29,14.25,14.68,:
Annual,10 employees or more,Total,Euro,Euro area - 18 countries (2014),:,:,:,14.61,:
Annual,10 employees or more,Total,Euro,Euro area - 19 countries  (2015-2022),:,:,14.08,14.51,:
Annual,10 employees or more,Total,Euro,Estonia,2.91,4.09,4.91,6.52,9.38
Annual,10 employees or more,Total,Euro,Greece,7.67,9.06,8.0,7.0,8.0
