Time frequency,Sex,Age class,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,27.4 b,28.1,28.9,29.7,30.1,31.1,31.3,31.8 b,32.5,33.6
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,:,:,:,:,:,:,:,14.2,14.2,14.7
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,32.6 b,32.7,33.2,35.6 b,36.0,36.0,37.6,39.7 b,40.2,39.1
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,23.6 b,24.1,24.4,24.5,24.8,24.7 b,25.8,26.1 b,26.3,26.7
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,32.9 b,34.2,35.4,36.8,37.7,38.6,39.3,39.2 b,39.0,40.2
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,36.4 b,36.4,37.6,38.1,39.4,40.5,41.0,42.8 b,44.0,46.0
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,19.1 b,19.8,20.6,21.4,21.7,21.6,22.1,23.4 b,23.5,23.5
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Germany,23.2 b,23.8,24.4,24.8,25.2,26.0,27.2 b,28.0 b,27.9,29.0
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Denmark,29.4 b,30.2,31.1 b,32.2 b,32.6,33.4,33.7,34.8 b,35.0,35.5
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Euro area – 20 countries (from 2023),25.2 b,25.8,26.4,27.0,27.8,28.7,29.8,30.5 b,30.9,31.5
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Estonia,32.6 b,32.0,33.1,33.6,34.1,34.7,35.2,36.0 b,36.7,36.0
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Greece,24.6 b,25.4,26.4,27.2,27.7,27.8,28.5,30.1 b,30.5,29.9
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Spain,31.7 b,32.1,32.7,33.2,34.0,35.1,36.0,36.2 b,36.5,37.1
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),24.5 b,25.2,25.7,26.4,27.2,28.0,29.0,29.7 b,30.2,30.9
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Finland,34.7 b,35.5,35.9,36.4,37.3,38.5,39.8,35.5 b,35.9,35.7
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),France,29.8 b,30.5,30.9,31.4,32.8,33.8,35.3,36.3 b,36.9,37.6
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Croatia,18.9 b,19.9,20.1,20.7,21.9,22.1,22.3,22.3 b,22.8,24.9
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Hungary,20.2 b,20.9,20.6,20.9,21.8 b,22.5,23.6,25.5 b,25.6,25.8
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Ireland,38.0 b,39.0,39.5,40.4 b,40.5,40.7,42.8,45.4 b,46.1,46.6
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Iceland,30.2 b,31.7,33.4,35.3,36.5,37.7,36.8 b,35.8 b,36.4,37.5
Annual,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),Italy,15.0 b,15.5,15.7,16.5,17.2 b,17.5,17.8,17.8 b,18.1,19.2
