Time frequency,Sex,Age class,Training,Activity and employment status,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Austria,9.3,8.7,8.9,8.4,8.4,8.3,9.5,9.4 b,9.1,9.4
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Belgium,14.1,14.4,13.0,12.6 b,12.0,11.8,12.0,10.1 b,9.2,9.6
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Bulgaria,24.0,22.2,22.4,18.9,18.1,16.6 b,18.0,17.4 b,14.8,13.8
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Switzerland,7.7,7.3,7.5,7.2,6.6,6.2,6.3,:,:,7.7
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Cyprus,19.5,18.5,18.0,17.6,14.9,14.7,15.2,15.0 b,14.4,13.9
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Czechia,12.1,11.8,11.1,10.0,9.5,9.8,11.0,10.9 b,11.4 b,10.1
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Germany,8.7,8.5,8.9,8.5,7.9,7.6,9.1 b,9.5 b,8.8,8.8
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Denmark,8.0,8.5,8.4 b,9.8 b,9.6,9.6,10.2,8.4 b,7.9,8.6
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Estonia,13.8,13.2,14.1,11.6,12.1,10.6,11.9,11.2 b,10.6,9.6
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Greece,26.7,24.1,22.2,21.3,19.5,17.7,18.7,17.3 b,15.4,16.0
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Spain,20.7 b,19.4,18.1,16.4,15.3,14.9,17.3,14.2 bd,12.7 d,12.3 d
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,European Union - 27 countries (from 2020),15.7,15.2,14.5,13.7,13.1,12.5,13.8,13.1 b,11.7,11.2
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Finland,11.8,12.4,11.7,10.9,10.1,9.5,10.3,9.3 b,9.5,9.4
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,France,14.1 b,14.7,14.3,13.8,13.6,13.0,14.0,12.8 bd,12.0 d,12.3 d
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Croatia,21.7,19.8,19.4,17.9,15.5,14.3,14.5,14.9 b,13.1,11.8
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Hungary,16.4,15.1 b,14.1,13.3,12.8 b,13.1,14.7,11.7 b,10.7,10.9
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Ireland,17.8,16.5,14.5,12.8 b,11.6,11.4,14.2,9.8 b,8.6,8.5
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Iceland,6.9,5.3,4.6,4.1,5.4,5.8,7.1 b,7.3 b,5.4,5.8
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Italy,26.2,25.7,24.3,24.1,23.2 b,22.1,23.5,23.1 b,19.0,16.1
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Lithuania,12.9,11.8,10.7,10.2,9.3,10.9,13.0,12.7 b,10.7,13.5
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Luxembourg,6.5,7.6 b,6.8,6.6,7.5,6.5,7.7,8.8 b,7.4,8.5
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Latvia,15.2,13.8,13.3,12.3,11.6,10.3,11.9,12.1 b,11.3,10.0
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Montenegro,22.5,23.4,22.3,21.4,21.0,21.3,26.6,:,:,:
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,North Macedonia,31.9,32.5,31.3,31.1,29.8,24.5,26.2,:,:,:
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Malta,11.6,11.8,9.4,8.8 b,7.4,8.5,9.7,10.5 b,7.6,7.6
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Netherlands,7.6,6.7,6.3,5.9,5.7,5.7,5.7,3.9 b,4.2,4.7
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Norway,7.1,7.0,7.1,6.4,6.5,6.4,6.6,7.4 b,6.8,6.4
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Poland,15.5,14.6,13.8,12.9,12.1 b,11.4 b,12.3,13.2 b,10.7,9.1
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Portugal,14.6,13.1,12.7,10.6,9.5,9.1,11.0,9.7 b,8.5,8.9
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Romania,19.9,20.9,20.2,17.8,17.0,16.8,16.6,20.3 b,19.8,19.3
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Serbia,25.5 b,24.6,22.3,21.7,20.1,19.0,20.0,19.1 b,15.4,15.2
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Sweden,7.8,7.4,7.1,6.8,6.9 b,6.3,7.2,6.1 b,5.6,5.7
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Slovenia,12.9,12.3,10.9,9.3,8.8,8.8,9.2,7.3 b,8.4,7.8 b
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Slovakia,18.2,17.2,15.9,16.0,14.6,14.5,15.2,14.2 b,12.3 b,11.2
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Türkiye,28.4 b,27.9,27.8,27.5,27.6,29.5,32.0,28.4 b,27.2,25.8
Annual,Total,From 15 to 29 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,United Kingdom,13.4,12.7,12.3,11.4,11.7,11.4,:,:,:,:
