Time frequency,Education indicator,Unit of measure,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Austria,98.48,100.0,101.3,101.95,100.07,101.68,103.48,106.54,109.07,113.48,119.25,120.01,121.03
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Belgium,102.25,: u,118.02,121.6,121.24,123.87,125.32,130.01,134.2,145.15,144.1,147.60 d,149.64
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Bulgaria,95.94,100.0,99.38,110.63,121.17,139.08,142.94,144.81,148.09,179.64,175.31,157.49,149.59
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Switzerland,:,: u,105.1,111.59,114.59,113.92,116.29,115.52,110.81,114.73,121.89,122.41,125.8
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Cyprus,95.49 d,100.00 d,114.78 d,129.43 d,147.08 d,140.91 d,150.27 d,157.95 d,164.34 d,182.59 d,192.11 d,193.05 d,192.63 d
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Czechia,96.57,100.0,105.95,114.21,123.45,125.57,130.09,150.91,146.47,145.89,155.08,154.88,167.26
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Germany,97.9,100.0,101.95,106.78,106.76,105.35,104.77,105.27,110.42,113.44,119.15,124.44,126.08
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Denmark,94.53 d,100.00 d,102.48 d,102.93 d,102.05,105.62,106.54,105.78,105.33 d,102.74 d,110.27 d,112.71 d,113.06 d
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Estonia,100.94 d,100.00 d,92.22,102.51,106.87,105.86,114.16,120.93,130.58,148.94,137.49,132.37,132.07
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Greece,91.81 d,100.00 d,107.57 d,113.73 d,119.93 d,134.85 d,147.21,:,:,:,:,:,:
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Spain,97.41,100.0,102.48,105.63,109.49,112.39,115.77,121.6,128.23,137.48,143.62,142.33,137.8
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Finland,98.19,100.0,105.27,109.96,115.97,120.55,121.77,124.72,125.41,130.04,132.78,137.92,140.13
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,France,92.78 d,100.0,100.35,100.51,101.72,102.27,101.77,103.08,105.56,105.61,107.33,108.56,107.14
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Croatia,:,:,:,:,: d,: d,: d,: d,: d,: d,: d,:,:
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Hungary,100.34,100.0,114.88,127.8,145.72,140.6,146.56,151.7,147.7,143.68,134.46,129.89,127.09
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Ireland,71.46,100.0,105.4,111.97,118.51,132.74,142.21,150.16,164.88 d,183.72,195.1,192.24,188.67
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Iceland,95.38 d,100.00 d,111.57 d,121.59 d,141.28 d,147.85 d,161.09 d,167.65 d,173.28 d,179.99 d,173.74 d,162.23,161.30 d
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Italy,94.83,100.0,108.91,104.05,106.81,104.9,102.44,110.95,102.94,108.85,105.9,103.24,98.97
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Lithuania,103.63,100.0,106.48,112.88,110.03,118.82,121.01,128.79,136.11,147.28,144.93,140.12,143.36
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Luxembourg,:,:,: d,: d,: d,: d,: d,: d,: d,: d,:,:,:
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Latvia,95.58,100.0,111.72,109.51,99.69,99.43,109.9,121.86,132.39,144.96,116.85,102.39,107.72
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,North Macedonia,:,:,:,:,: d,: d,: d,: d,:,:,:,:,:
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Malta,:,100.0,98.49,99.78,106.6,110.73,161.78,162.63,162.2,156.07,141.18,184.22,223.22
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Netherlands,94.6,100.0,104.07,106.91,112.36,115.55,118.41,121.86,122.59,128.91,134.23,137.04,137.21
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Norway,104.76 d,100.00 d,108.58 d,116.33 d,117.02 d,119.61 d,115.30 d,109.69 d,115.58 d,111.20 d,123.69 d,118.01,115.79
Annual,"Index of total public expenditure on education in constant prices (2000 = 100), for all levels of education combined",Index,Poland,93.96 d,100.00 d,112.26 d,113.64 d,116.70 d,124.15 d,130.10 d,132.83 d,132.72,144.34,146.96,154.95,154.86
