Time frequency,Education or training field,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2003.0,2006.0,2009.0,2012.0,2015.0,2018.0,2022.0
Annual,Mathematics,Females,Percentage,Albania,:,:,:,66.3,60.3,51.2,40.6,70.7
Annual,Mathematics,Females,Percentage,Austria,:,18.4,22.9,:,21.2,24.8,21.7,27.1
Annual,Mathematics,Females,Percentage,Belgium,:,15.7,17.1,21.4,19.3,21.2,21.0,24.8
Annual,Mathematics,Females,Percentage,Bulgaria,:,:,51.7,46.0,42.3,40.6,43.6,52.0
Annual,Mathematics,Females,Percentage,Switzerland,:,15.7,14.9,14.7,13.1,16.1,17.5,:
Annual,Mathematics,Females,Percentage,Cyprus,:,:,:,:,41.2,40.9,33.8,49.0
Annual,Mathematics,Females,Percentage,Czechia,:,18.1,21.3,23.2,22.7,21.3,20.0,25.2
Annual,Mathematics,Females,Percentage,Germany,:,21.4,22.2,20.2,18.7,19.3,21.0,30.7
Annual,Mathematics,Females,Percentage,Denmark,:,17.4,15.3,19.4,18.6,14.2,14.3,21.1
Annual,Mathematics,Females,Percentage,Estonia,:,:,11.4,13.5,10.4,10.4,10.3,14.7
Annual,Mathematics,Females,Percentage,Greece,:,41.9,32.1,32.2,36.9,34.6,34.6,48.2
Annual,Mathematics,Females,Percentage,Spain,:,23.4,25.1,26.1,25.1,24.0,24.8,28.1
Annual,Mathematics,Females,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,30.0
Annual,Mathematics,Females,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,23.2,:,:
Annual,Mathematics,Females,Percentage,Finland,:,6.2,6.0,7.6,10.4,11.2,13.1,22.2
Annual,Mathematics,Females,Percentage,France,:,16.5,22.5,23.4,22.4,23.1,21.3,28.9
Annual,Mathematics,Females,Percentage,Croatia,:,:,30.5,34.7,31.0,33.9,31.9,32.8
Annual,Mathematics,Females,Percentage,Hungary,:,23.9,21.6,22.9,28.5,28.7,26.5,30.8
Annual,Mathematics,Females,Percentage,Ireland,:,18.7,17.4,21.1,18.7,15.8,15.7,19.6
Annual,Mathematics,Females,Percentage,Iceland,:,11.5,15.3,16.1,19.7,22.8,18.0,33.6
Annual,Mathematics,Females,Percentage,Italy,:,34.0,35.7,26.4,26.7,25.8,25.1,31.7
Annual,Mathematics,Females,Percentage,Japan,:,12.4,14.4,12.0,11.2,11.6,11.3,10.9
Annual,Mathematics,Females,Percentage,South Korea,:,11.0,8.7,7.0,9.1,13.0,14.4,:
Annual,Mathematics,Females,Percentage,Lithuania,:,:,23.1,24.5,24.3,24.1,23.8,27.6
Annual,Mathematics,Females,Percentage,Luxembourg,:,23.4,24.6,25.7,28.7,26.7,28.2,:
Annual,Mathematics,Females,Percentage,Latvia,:,23.1,21.5,22.1,18.3,19.9,17.4,22.3
