Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Per thousand inhabitants,Albania,:,:,:,:,:,:,:,:,:,: d,: d
Annual,Per thousand inhabitants,Austria,:,25.1,25.3,26.0,26.2,26.0,25.7,25.2,25.3,26.4,26.9
Annual,Per thousand inhabitants,Belgium,:,66.6,50.8,54.9,48.2,46.9,44.8,45.5,43.0 bd,37.6,39.6
Annual,Per thousand inhabitants,Bulgaria,:,18.9 e,36.8,21.2 d,20.9,21.4,23.6,22.3,20.8,20.4,20.9
Annual,Per thousand inhabitants,Switzerland,:,17.7,18.2,18.3,18.4,18.6,18.8,19.3,19.6,20.3,21.0
Annual,Per thousand inhabitants,Cyprus,:,14.6,29.0,23.1,26.5,30.7,31.8,33.1,37.1,41.0,39.7
Annual,Per thousand inhabitants,Czechia,:,15.1,: d,: d,: d,: d,12.9,12.5,12.9,13.4,: d
Annual,Per thousand inhabitants,Germany,3.0,12.4,12.9,14.6 d,15.3 d,15.6 d,16.3 d,18.0,18.4 bd,19.4,20.1
Annual,Per thousand inhabitants,Denmark,:,39.2,39.7,40.9,39.2,38.7,37.8,36.6,37.1,37.1,38.5
Annual,Per thousand inhabitants,Estonia,:,29.3,:,30.4 d,30.0 d,30.6 d,31.3 d,33.1 d,34.6 d,36.6 d,36.6
Annual,Per thousand inhabitants,Greece,:,18.3,18.3 d,32.6,38.3,43.3,45.7,49.8,51.7,56.3,60.5
Annual,Per thousand inhabitants,Spain,:,28.3,28.4 d,29.1,28.9,29.2,29.8,30.6,30.4,33.6,34.2
Annual,Per thousand inhabitants,Finland,:,78.7,139.3,80.1,81.2,84.6,87.8,82.4,82.8,84.7,90.9
Annual,Per thousand inhabitants,France,:,7.3,7.4 e,7.5 d,7.7 d,7.6 d,7.8,7.8 e,7.6,7.5,7.7
Annual,Per thousand inhabitants,Croatia,:,7.2,13.2,7.3,7.4,8.0,8.6,9.0,9.3,9.5,10.0
Annual,Per thousand inhabitants,Hungary,:,20.1 e,18.6,17.3,16.8,19.5,19.7,19.1,19.7,19.2,21.2
Annual,Per thousand inhabitants,Ireland,:,23.1 d,25.7 d,32.9 d,35.0 d,34.1 d,60.4 d,39.5,38.7,39.0,36.9
Annual,Per thousand inhabitants,Iceland,:,73.6,122.7,68.6,65.4,59.9,58.1,57.2,58.6,71.5,71.3
Annual,Per thousand inhabitants,Italy,:,10.1,17.2,9.9,8.7,11.3,12.0 d,13.3,15.0,15.2,16.4
Annual,Per thousand inhabitants,Liechtenstein,:,15.8,30.1,13.4,12.9,11.1,13.8,15.1,15.4,15.7,17.4
Annual,Per thousand inhabitants,Lithuania,:,19.0,33.5,19.4,20.1,21.7,21.2,19.3,17.9,17.6,17.2
Annual,Per thousand inhabitants,Luxembourg,:,6.1,11.2,6.9,7.2,7.1,7.9,7.0,7.6,7.6,7.7
Annual,Per thousand inhabitants,Latvia,:,18.7,17.9,20.7,22.4,24.6,26.0,26.3,25.9,26.7,26.4
Annual,Per thousand inhabitants,Montenegro,:,:,:,:,: d,: d,5.4,5.6,6.8,6.9,:
Annual,Per thousand inhabitants,North Macedonia,:,6.6,9.2,5.8,: d,5.3,5.3 d,4.3,: d,: d,: d
Annual,Per thousand inhabitants,Malta,:,9.8,9.6,10.8,11.7,12.8,14.8,17.2,19.4,22.1 bd,22.3
Annual,Per thousand inhabitants,Netherlands,:,13.7,12.4,27.0,24.9,29.9,27.5,28.3 e,29.3 e,29.7 e,:
Annual,Per thousand inhabitants,Norway,:,38.0,37.1,36.8,38.6,39.3,40.3,41.6,42.2,45.5,49.1
Annual,Per thousand inhabitants,Poland,:,20.7 d,19.0 d,17.0 d,15.6 d,15.8 d,16.1 e,16.4 e,16.2 de,16.6 de,18.2 de
Annual,Per thousand inhabitants,Portugal,:,22.6,18.3,19.2,19.2,20.9,22.5,22.1,20.7,22.1,24.4
Annual,Per thousand inhabitants,Romania,:,7.9,: d,: d,0.2,0.0 d,0.0 d,: d,: d,0.0 d,20.4
Annual,Per thousand inhabitants,Serbia,:,5.8,11.4,6.1,6.4,6.8,7.2,7.6,7.6,8.1,8.8
Annual,Per thousand inhabitants,Sweden,:,66.7,111.4,71.1,72.8,77.1,81.4,79.4,82.8,86.3,87.6
Annual,Per thousand inhabitants,Slovenia,:,:,:,9.5 d,9.5 d,10.4 d,10.4,10.3,10.6,11.4,11.5
Annual,Per thousand inhabitants,Slovakia,:,15.5,13.6,12.4,10.8,10.6,10.1,10.3,10.3,10.7,11.2
Annual,Per thousand inhabitants,Türkiye,:,36.7 e,44.2 e,52.5,61.6,63.5,68.6,75.8,81.6,90.2,95.4
Annual,Per thousand inhabitants,United Kingdom,:,37.0,33.6,33.0 d,33.3 d,34.2 d,30.9 d,31.1 d,:,:,:
