Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Females,Percentage,Austria,:,:,53.8,53.7,53.5,54.1,54.6,55.4,55.5,57.2
Annual,Females,Percentage,Belgium,:,:,50.9 d,50.9 d,: bd,: d,: d,50.9 bd,50.5 d,59.1 d
Annual,Females,Percentage,Bulgaria,:,:,51.0,49.4,48.5,48.2,48.3,48.5,48.4,49.4
Annual,Females,Percentage,Switzerland,:,:,24.7,25.1,24.8,24.8,24.9,25.3,25.6,25.7
Annual,Females,Percentage,Cyprus,:,:,50.9,52.2,55.1,55.7,56.6,56.4,52.7,53.2
Annual,Females,Percentage,Czechia,:,:,46.1,46.6,46.5,46.0,45.7,45.6,45.2,45.3
Annual,Females,Percentage,Germany,:,:,66.5,65.9,65.1,65.3,65.7,66.4,66.2,66.8
Annual,Females,Percentage,Denmark,:,:,79.4,78.1,76.5,77.2,76.1,76.2,75.6,75.3
Annual,Females,Percentage,Estonia,:,:,63.7,64.3,64.2,64.5,63.5,63.5,63.8,64.9
Annual,Females,Percentage,Greece,:,:,:,:,:,26.1 d,40.4 d,:,:,:
Annual,Females,Percentage,Spain,:,:,66.8,67.2,67.7,68.7,69.6,70.9,68.1,71.1
Annual,Females,Percentage,European Union - 27 countries (from 2020),:,:,56.6 d,56.9 d,56.8 d,56.5 d,57.3 d,57.9 d,57.3 d,58.4 d
Annual,Females,Percentage,European Union - 28 countries (2013-2020),:,:,57.2 d,57.5 d,56.8 d,56.4 d,57.2 d,:,:,:
Annual,Females,Percentage,Finland,:,:,58.0,61.9,62.7,65.0,67.7,70.0,69.7,67.2
Annual,Females,Percentage,France,:,:,53.5,53.8,54.1,54.4 p,54.5 p,54.6 p,54.3 p,54.4 p
Annual,Females,Percentage,Croatia,:,:,48.7,50.0,55.5,55.3,56.7,57.9,57.9,60.3
Annual,Females,Percentage,Hungary,:,:,48.0,48.2,47.8,48.4,48.7,49.2,49.1,48.8
Annual,Females,Percentage,Ireland,:,:,:,:,: d,66.2 b,65.5,62.0,51.4,56.3
Annual,Females,Percentage,Iceland,:,:,72.7,73.1,73.3,73.5,73.8,72.3,72.2,71.9
Annual,Females,Percentage,Italy,:,:,51.5,51.7,51.2,51.0,51.6,52.0,50.0,51.0
Annual,Females,Percentage,Liechtenstein,:,:,:,:,28.4,24.1,24.0,23.5,23.4,25.5
Annual,Females,Percentage,Lithuania,:,:,59.0,59.9,60.9,62.6,64.2,65.5,67.3,72.7
Annual,Females,Percentage,Luxembourg,:,:,44.1,44.0,44.6,44.8,45.6,45.7,45.5,46.1
Annual,Females,Percentage,Latvia,:,:,64.1,64.1,64.9,66.0,67.8,68.8,70.2,71.7
Annual,Females,Percentage,Montenegro,:,:,:,36.5,:,:,:,:,:,:
Annual,Females,Percentage,North Macedonia,:,:,20.6,24.0,23.8,26.9,28.1,19.7,23.7,30.1
Annual,Females,Percentage,Malta,:,:,42.7,42.0 d,40.4 d,40.2 d,40.5 d,40.9 d,39.4 d,40.3 dp
