Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Females,Percentage,Albania,:,:,:,:,:,:,5.78,5.13 d
Annual,Females,Percentage,Austria,1.22,1.85,1.43,1.28,1.27,1.18,1.11,1.68
Annual,Females,Percentage,Belgium,1.92,1.96,1.11,1.05,1.07,1.08 bd,1.25,1.24
Annual,Females,Percentage,Bulgaria,6.03,7.54,8.66,8.88,9.35,10.18,10.48,11.17
Annual,Females,Percentage,Switzerland,1.0,1.13,1.12,1.04,1.06,0.87,0.96,1.03
Annual,Females,Percentage,Cyprus,1.9,2.25,0.87,0.15,0.0,0.0,0.0,0.0
Annual,Females,Percentage,Czechia,: d,: d,: d,0.72,1.39,1.95,0.0,0.0
Annual,Females,Percentage,Germany,0.82 d,1.54 d,1.12 d,1.00 d,1.01,0.97 bd,0.14,0.94
Annual,Females,Percentage,Denmark,0.64,0.82,0.67,0.69,0.55,0.48,0.57,0.82
Annual,Females,Percentage,Estonia,2.08 d,2.21 d,2.30 d,2.10 d,1.99 d,2.10 d,2.01 d,1.61
Annual,Females,Percentage,Greece,4.03,4.71,3.8,3.86,3.33,3.3,2.63,0.97
Annual,Females,Percentage,Spain,2.69,2.85,2.74,2.57,2.47,2.56,2.51,2.35
Annual,Females,Percentage,European Union - 27 countries (from 2020),2.14 d,2.39 d,2.27 d,2.22,2.07,1.99,1.79,2.08
Annual,Females,Percentage,Finland,1.17,0.81,0.62,0.72,0.79,1.11,1.29,1.69
Annual,Females,Percentage,France,1.88,1.49,1.18,0.96 p,0.51 p,0.00 p,0.00 p,0.07 p
Annual,Females,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Females,Percentage,Hungary,2.51,2.92,3.24,3.95,4.56,4.74,5.45,4.91
Annual,Females,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,Females,Percentage,Iceland,1.21,0.86,0.72,0.92,0.74,1.07,1.1,1.36
Annual,Females,Percentage,Italy,1.82,2.06,2.14,2.24 d,1.25,1.26,1.98,2.38
Annual,Females,Percentage,Liechtenstein,6.94,7.75,25.78,6.55,4.88,3.52,4.5,3.86
Annual,Females,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Females,Percentage,Luxembourg,2.93,2.11,3.31,2.93,3.55,2.42,4.06,1.17
Annual,Females,Percentage,Latvia,1.61,1.31,0.79,0.72,1.47,1.26,0.9,1.02
Annual,Females,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,Females,Percentage,North Macedonia,: d,: d,: d,8.67 d,10.77,: d,: d,: d
Annual,Females,Percentage,Malta,0.7,0.12,0.21,0.74,1.05,1.48,1.94,2.00 p
Annual,Females,Percentage,Netherlands,0.13,0.13,0.22,0.23,0.18 e,0.17 e,0.20 e,0.27
Annual,Females,Percentage,Norway,0.21,0.37,0.46,0.55,0.45,0.59,0.46,0.46
Annual,Females,Percentage,Poland,4.31 d,4.68 d,4.81 d,4.80 e,4.66 e,4.39 e,3.93,2.72 de
Annual,Females,Percentage,Portugal,0.14,0.35,0.66,0.72,0.0,0.0,0.0,0.00 p
Annual,Females,Percentage,Romania,8.93,9.59 d,10.54 d,11.38 d,11.78 d,12.01 d,12.37 d,16.03
Annual,Females,Percentage,Serbia,0.01,1.08,1.65,1.87,2.17,2.63,2.64,2.2
Annual,Females,Percentage,Sweden,0.92,0.51,0.22,0.63,0.81,0.6,0.51,0.52
Annual,Females,Percentage,Slovenia,2.15 d,2.37 d,1.72 d,1.35,1.13,0.96,1.49,1.18
Annual,Females,Percentage,Slovakia,3.98,4.18,4.41,4.43,4.41,4.37,3.96,3.12
Annual,Females,Percentage,Türkiye,50.85,49.4,48.84,0.0,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Albania,:,:,:,:,:,:,0.83,0.0
Annual,Males,Percentage,Austria,1.45,1.86,1.3,1.13,1.06,1.09,0.98,1.6
Annual,Males,Percentage,Belgium,1.36,1.41,0.68,0.75,0.7,0.85 bd,1.02,1.11
Annual,Males,Percentage,Bulgaria,5.36,7.13,8.1,8.46,8.75,9.7,10.25,11.06
Annual,Males,Percentage,Switzerland,0.66,0.7,0.66,0.71,0.75,0.72,0.69,0.62
Annual,Males,Percentage,Cyprus,1.83,2.37,0.04,0.0,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Czechia,: d,: d,: d,0.74,1.38,1.96,0.0,0.0
Annual,Males,Percentage,Germany,1.27 d,2.51 d,1.74 d,1.72 d,1.66,1.73 bd,1.17,1.89
Annual,Males,Percentage,Denmark,0.8,0.96,0.75,0.65,0.6,0.52,0.56,0.79
Annual,Males,Percentage,Estonia,2.24 d,2.20 d,2.26 d,2.24 d,2.13 d,2.15 d,1.84 d,1.51
Annual,Males,Percentage,Greece,2.59,3.48,3.54,3.45,3.07,3.44,2.17,1.02
Annual,Males,Percentage,Spain,3.02,3.18,3.21,3.21,3.21,3.23,3.04,2.61
Annual,Males,Percentage,European Union - 27 countries (from 2020),2.26 d,2.65 d,2.43 d,2.42,2.25 d,2.23,2.07,2.37
Annual,Males,Percentage,Finland,1.09,0.77,0.75,0.71,0.55,1.48,1.24,1.75
Annual,Males,Percentage,France,2.14,1.62,1.13,0.96 p,0.42 p,0.00 p,0.00 p,0.34 p
Annual,Males,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Hungary,2.53,2.8,2.99,3.85,4.2,4.36,5.3,4.66
Annual,Males,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Iceland,0.6,0.78,0.66,1.24,1.11,1.09,1.0,1.22
Annual,Males,Percentage,Italy,1.52,1.82,1.95,2.07 d,1.1,1.12,1.89,2.23
Annual,Males,Percentage,Liechtenstein,1.75,1.76,0.0,1.43,0.0,1.88,1.51,2.59
Annual,Males,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Luxembourg,5.48,4.16,5.21,4.75,4.17,2.91,3.83,2.04
Annual,Males,Percentage,Latvia,2.1,2.13,1.77,1.22,2.0,2.06,1.72,1.65
Annual,Males,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,Males,Percentage,North Macedonia,: d,: d,: d,8.49 d,10.55,: d,: d,: d
Annual,Males,Percentage,Malta,0.06,0.17,0.48,0.38,0.35,1.05,0.5,1.23 p
Annual,Males,Percentage,Netherlands,0.38,0.43,0.56,0.54,0.49 e,0.53 e,0.53 e,0.59
Annual,Males,Percentage,Norway,0.29,0.26,0.05,0.18,0.32,0.37,0.32,0.46
Annual,Males,Percentage,Poland,4.35 d,4.73 d,4.98 d,4.83 e,4.69 e,4.45 e,4.01,2.81 de
Annual,Males,Percentage,Portugal,0.37,0.68,0.67,0.78,0.0,0.0,0.0,0.00 p
Annual,Males,Percentage,Romania,8.31,9.49 d,10.23 d,11.12 d,11.22 d,11.83 d,12.04 d,15.71
Annual,Males,Percentage,Serbia,0.09,1.54,1.46,1.61,1.99,2.95,2.47,1.93
Annual,Males,Percentage,Sweden,0.7,0.0,0.0,0.11,0.59,0.53,0.33,0.43
Annual,Males,Percentage,Slovenia,2.61 d,2.62 d,2.21 d,1.42,1.39,1.16,1.73,1.41
Annual,Males,Percentage,Slovakia,4.16,4.33,4.54,4.7,4.73,4.77,4.43,3.23
Annual,Males,Percentage,Türkiye,51.01,49.56,48.89,0.0,0.0,0.0,0.0,0.0
