Time frequency,Unit of measure,Expenditure and investment,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Percentage,Capital expenditure,Austria,4.0,4.5,4.9,5.5,6.2,6.7,7.1,6.8,6.8,7.2
Annual,Percentage,Capital expenditure,Belgium,4.4,5.7,5.0,5.1,5.6,5.1,5.4,5.3,5.1,4.7
Annual,Percentage,Capital expenditure,Bulgaria,5.9,7.3,8.7,5.6,3.6,4.5,4.8,5.9,4.5,5.8
Annual,Percentage,Capital expenditure,Switzerland,:,9.2,10.1,10.4,10.7 d,:,:,:,:,:
Annual,Percentage,Capital expenditure,Cyprus,5.7,3.5,2.8,4.1,6.1,7.7,4.2,3.4,3.0,3.4
Annual,Percentage,Capital expenditure,Czechia,9.3,9.8,11.1,11.4,8.0,8.5,12.7,11.1,9.3,10.1
Annual,Percentage,Capital expenditure,Germany,7.5,7.3,7.0,6.8,6.7,6.9,7.5,8.4 d,9.5 d,9.5 d
Annual,Percentage,Capital expenditure,Denmark,: d,: d,:,:,9.1,6.7,6.8,7.0,7.4,6.7
Annual,Percentage,Capital expenditure,Estonia,0.0,13.4 d,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Capital expenditure,Greece,9.9,10.9,10.8,11.9,11.9,11.6,12.2,13.5,:,:
Annual,Percentage,Capital expenditure,Spain,7.7,5.9,5.4,5.4,4.6,5.2,5.2,5.4,5.5,6.1
Annual,Percentage,Capital expenditure,European Union - 27 countries (from 2020),:,:,:,:,:,7.5 d,9.2 d,8.9 d,8.9 d,7.7 d
Annual,Percentage,Capital expenditure,European Union - 28 countries (2013-2020),:,:,:,:,:,7.4 d,9.1 d,8.8 d,:,:
Annual,Percentage,Capital expenditure,Finland,6.0,5.8,6.3,8.9,8.9,9.1,8.6,10.6,11.5,10.3
Annual,Percentage,Capital expenditure,France,8.7,8.7,8.2,7.8,7.4,7.6,7.8,8.5,8.0,8.7
Annual,Percentage,Capital expenditure,Croatia,: d,3.4,3.8,:,:,: d,: d,6.9,8.5,6.1
Annual,Percentage,Capital expenditure,Hungary,3.9,4.5,: d,4.2 e,6.1,8.5,10.5,9.9,10.1,7.8
Annual,Percentage,Capital expenditure,Ireland,5.1,5.8,6.2,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Capital expenditure,Iceland,6.1,5.5 d,6.4,5.8,4.9,4.8,6.3,5.9 d,4.7 d,5.3
Annual,Percentage,Capital expenditure,Italy,4.1 d,5.4,4.8,5.0,3.6,2.0,2.8,5.1,5.3,5.2
Annual,Percentage,Capital expenditure,Liechtenstein,: d,: d,: d,: d,: d,:,:,:,:,:
Annual,Percentage,Capital expenditure,Lithuania,12.5 d,: d,14.3,12.7,7.0,5.5,6.4,5.8,11.8,7.4
Annual,Percentage,Capital expenditure,Luxembourg,:,12.5,11.8,9.8,6.9,8.9,10.1,11.2,9.6,10.9
Annual,Percentage,Capital expenditure,Latvia,12.4 d,12.6,17.9,15.6,9.3,11.4,15.5,15.1,15.1,11.9
Annual,Percentage,Capital expenditure,Malta,12.8,12.1,12.1,14.2,15.5,10.3,12.8,13.7,15.3,11.8
Annual,Percentage,Capital expenditure,Netherlands,12.3,12.2,12.1,11.4,10.8,10.9,10.6,10.8,11.1,11.5
Annual,Percentage,Capital expenditure,Norway,: d,11.1,11.1,12.4,12.8,13.4,13.3,12.9,13.3,12.2
Annual,Percentage,Capital expenditure,Poland,7.7,: d,7.3 d,7.4,5.2,6.5,8.6,7.0,6.6,6.5
Annual,Percentage,Capital expenditure,Portugal,9.1 d,3.6,2.9 d,4.7 d,2.5,3.5,3.8,3.2,3.1,3.7
Annual,Percentage,Capital expenditure,Romania,7.0,5.4,4.3,4.3,4.8,4.0,4.7,5.0,5.1,6.0
Annual,Percentage,Capital expenditure,Serbia,:,: d,:,:,:,5.2,:,:,:,:
Annual,Percentage,Capital expenditure,Sweden,5.7,5.1,5.2,5.1,4.9,4.2,4.3,4.6,4.7,6.0
Annual,Percentage,Capital expenditure,Slovenia,7.6,12.0,12.3,8.2,13.3,6.9,8.4,7.0,7.8,7.7
Annual,Percentage,Capital expenditure,Slovakia,:,6.8,6.6,14.6,5.2,5.5,6.0,6.2,5.8,5.8
Annual,Percentage,Capital expenditure,Türkiye,: d,:,:,15.2,14.2,12.6,14.1,9.0,8.6,9.6
Annual,Percentage,Capital expenditure,United Kingdom,2.7,2.7,2.6,2.5 b,2.3,2.5,8.8,8.2,:,:
Annual,Percentage,Current expenditure,Austria,96.0,95.5,95.1,94.5,93.8,93.3,92.9,93.2,93.2,92.8
Annual,Percentage,Current expenditure,Belgium,95.6,94.3,95.0,94.9,94.4,94.9,94.6,94.7,94.9,95.3
Annual,Percentage,Current expenditure,Bulgaria,94.1,92.7,91.3,94.4,96.4,95.5,95.2,94.1,95.5,94.2
Annual,Percentage,Current expenditure,Switzerland,:,90.8,89.9,89.6,89.3 d,:,:,:,:,:
Annual,Percentage,Current expenditure,Cyprus,94.3,96.5,97.2,95.9,93.9,92.3,95.8,96.6,97.0,96.6
Annual,Percentage,Current expenditure,Czechia,90.7,90.2,88.9,88.6,92.0,91.5,87.3,88.9,90.7,89.9
Annual,Percentage,Current expenditure,Germany,92.5,92.7,93.0,93.2,93.3,93.1,92.5,91.6 d,90.5 d,90.5 d
Annual,Percentage,Current expenditure,Denmark,90.8,:,:,:,90.9,93.3,93.2,93.0,92.6,93.3
Annual,Percentage,Current expenditure,Estonia,0.0,86.6 d,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Current expenditure,Greece,90.1,89.1,89.2,88.1,88.1,88.4,87.8,86.5,:,:
Annual,Percentage,Current expenditure,Spain,92.3,94.1,94.6,94.6,95.4,94.8,94.8,94.6,94.5,93.9
Annual,Percentage,Current expenditure,European Union - 27 countries (from 2020),:,:,:,:,:,92.5 d,90.8 d,91.1 d,91.1 d,92.3 d
Annual,Percentage,Current expenditure,European Union - 28 countries (2013-2020),:,:,:,:,:,92.6 d,90.9 d,91.2 d,:,:
Annual,Percentage,Current expenditure,Finland,94.0,94.2,93.7,91.1,91.1,90.9,91.4,89.5,88.5,89.7
Annual,Percentage,Current expenditure,France,91.3,91.3,91.8,92.2,92.6,92.4,92.2,91.5,92.0,91.3
