Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Early childhood education,Percentage,Austria,38.0,39.6,40.0,40.8,40.8,41.7,42.0,42.0,48.2,48.8
Annual,Early childhood education,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,2.2,:,:,:
Annual,Early childhood education,Percentage,Belgium,:,:,34.2 d,34.7 d,37.8 d,:,:,:,:,42.2
Annual,Early childhood education,Percentage,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Early childhood education,Percentage,Switzerland,63.0,63.8,63.6,66.5,66.9,73.6,73.6,74.2,73.8,73.3
Annual,Early childhood education,Percentage,Cyprus,4.8,4.7,6.6,7.3,5.5,4.6,6.0,2.0,3.8,3.8
Annual,Early childhood education,Percentage,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Early childhood education,Percentage,Germany,61.1,60.4,60.5,60.6,60.3,60.4,60.5,60.5,60.4,60.7
Annual,Early childhood education,Percentage,Denmark,:,: d,:,:,:,32.9,32.9,33.8,32.3,34.4
Annual,Early childhood education,Percentage,Estonia,12.7,16.7,16.2,13.8,13.3,12.3,11.4,11.5,11.2,11.1
Annual,Early childhood education,Percentage,Greece,:,:,:,:,:,:,1.1 d,:,:,:
Annual,Early childhood education,Percentage,Spain,12.1,13.9,14.5,15.3,15.2,16.4,17.9,15.8,14.4,15.2
Annual,Early childhood education,Percentage,European Union - 27 countries (from 2020),:,:,:,34.6 d,34.9 d,44.4 d,34.6 d,34.3 d,:,:
Annual,Early childhood education,Percentage,European Union - 28 countries (2013-2020),:,:,:,33.5 d,36.4 d,46.4 d,36.1 d,:,:,:
Annual,Early childhood education,Percentage,France,14.8,16.8,14.3 d,14.0 d,14.0 d,13.7 d,12.5 d,12.3 d,11.8 d,11.7 d
Annual,Early childhood education,Percentage,Croatia,2.1,1.9,1.8,2.1,3.3,2.9,3.2,3.0,2.3,2.1
Annual,Early childhood education,Percentage,Hungary,:,:,2.5,2.7,2.8,2.6,2.9,3.5,4.9,5.2
Annual,Early childhood education,Percentage,Ireland,:,: d,:,:,:,0.0,0.0 d,0.0,0.0,0.0
Annual,Early childhood education,Percentage,Iceland,35.6,34.1,32.9,32.0,31.7,32.4,32.2,32.3,32.5,31.3
Annual,Early childhood education,Percentage,Italy,12.0,:,12.0,12.7,13.2,13.6,13.7,13.9,13.6,14.7
