Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Austria,:,-0.39,-1.84,-1.59,-0.58,-0.75,-1.52,4.1,2.68,-0.17,7.23,-12.45
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Belgium,:,27.05,20.11,16.65,-2.69,-7.97,-3.94,-5.26,3.01,1.74,4.67,-18.71
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Cyprus,:,-12.47,-3.74,-0.97,-11.76,-5.56,-13.82,-13.14,-12.18,-13.2,6.44,-19.85
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Czechia,:,-9.78,9.64,2.2,6.45,-8.08,-9.89,13.41,2.15,20.0,-11.4,10.89
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Germany,:,-0.51,2.6,0.8,-1.6,3.31,-0.85,1.16,-1.02,-1.03,5.17,-20.41
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Denmark,:,59.58,0.98,0.99,0.22,-0.69,-0.59,:,-0.25,2.05,-1.82,-10.73
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Greece,:,11.38,8.87,-2.47,-7.85,-1.65,-31.28,-7.72,-21.59,-9.55,10.56,-30.34
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Spain,:,15.86,-9.38,-2.94,7.93,-0.13,3.48,0.78,-1.15,-7.13,-0.98,-11.28
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Finland,:,2.11,-1.05,-6.38,-5.13,0.53,10.41,-4.08,1.17,-0.7,0.87,-6.62
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),France,:,5.24,2.53,1.97,0.93,3.83,-0.11,1.92,1.88,4.41,-3.31,-9.66
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Croatia,:,15.96,27.52,-16.55,77.59,2.91,-0.47,-22.99,28.62,-59.81,36.31,-32.31
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Hungary,:,12.18,-6.29,17.07,-8.33,-6.25,-10.91,6.12,-4.49,10.07,-1.83,-4.35
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Ireland,:,-2.8,-0.72,:,:,-0.61,7.96,-0.52,-0.52,4.49,5.5,-13.61
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Italy,:,7.8,4.11,2.44,3.85,-0.71,-6.13,-21.99,-1.67,-1.32,-1.92,-15.84
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Lithuania,:,2.6,6.33,10.42,8.63,11.41,3.56,4.09,19.21,-0.52,3.83,-2.85
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Luxembourg,:,-13.44,2.73,0.15,-4.76,-2.2,-4.26,-0.24,-5.56,-4.51,-8.6,-15.31
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Latvia,:,9.57,-1.59,8.06,2.99,6.52,-8.84,17.91,8.23,11.11,1.58,8.81
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Malta,:,14.73,9.38,18.28,-3.63,14.65,21.76,7.66,-8.96,15.48,-7.27,-24.46
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Norway,:,1.96,8.96,-0.52,-0.59,-4.09,2.2,1.95,0.86,-4.12,:,:
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Poland,:,1.04,6.19,-9.71,15.05,0.93,9.26,-0.85,9.4,0.0,-1.56,-0.79
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Portugal,:,-7.24,27.03,23.17,7.49,8.93,-3.11,-2.88,2.61,2.89,-3.14,-7.5
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Romania,:,-50.0,50.0,133.33,-14.29,0.0,83.33,0.0,18.18,38.46,5.56,-15.79
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Sweden,:,1.5,3.63,-1.05,5.7,0.65,-1.03,-0.42,0.72,-0.36,1.89,-11.72
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Slovenia,:,5.5,1.07,-6.92,-24.69,-7.86,0.0,-1.81,-9.98,-1.64,10.44,-5.67
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage change (t/t-1),Slovakia,:,3.06,-0.99,12.0,12.5,-7.94,-19.83,5.38,3.06,-2.97,-4.08,1.06
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Austria,18.01,17.94,17.94,17.33,17.23,17.1,16.84,17.53,18.0,17.97,19.27,16.87
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Belgium,7.32,9.3,9.3,13.03,12.68,11.67,11.21,10.62,10.94,11.13,11.65,9.47
Annual,"Industry, construction and services (except public administration, defense, compulsory social security)",Persons employed - number,Percentage of total,Cyprus,9.78,8.56,8.56,8.16,7.2,6.8,5.86,5.09,4.47,3.88,4.13,3.31
