Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Females,From 15 to 64 years,Armenia,51.5 d,50.9 d,67.4 bd,52.9 bd,53.5,54.9,58.4,57.9,59.3,57.9,57.3,55.6,55.7,50.4 bd,55.6,53.1,51.8,52.2
Annual,Rate,Females,From 15 to 64 years,Azerbaijan,70.4,68.5,67.4,66.3,67.2,67.2,66.4,66.7,66.9,67.6,68.1,68.6,69.1,69.5,68.0,68.8,69.3,69.8
Annual,Rate,Females,From 15 to 64 years,Belarus,81.8 d,82.6 d,83.4 d,85.9 d,86.7 d,87.1 bd,85.8 d,86.0 d,86.0 d,84.9 d,85.5 d,74.6,74.9,74.5,75.1,75.1,:,:
Annual,Rate,Females,From 15 to 64 years,Georgia,58.6,56.4,57.4,57.6,58.9,60.9,61.3,61.7,61.3,62.3,64.7,62.8,65.4,62.7,61.4,49.3 b,49.7,50.9
Annual,Rate,Females,From 15 to 64 years,Moldova,53.7 de,48.5 de,48.1 d,47.7 d,45.3 d,44.4 d,44.9 d,43.6 d,44.1 d,46.2 bd,47.6,47.8,46.9,48.8,46.0 bd,44.1,44.9,46.6
Annual,Rate,Females,From 15 to 64 years,Ukraine,61.7,61.7,62.2,62.4,62.3,62.1,61.8,61.9,62.1,59.8 d,60.4 d,60.4 d,60.7 d,62.1 d,63.2 d,62.2 d,61.9 d,:
Annual,Rate,Females,From 20 to 64 years,Armenia,57.3,55.8,72.5 b,59.3 b,59.4,60.2,63.4,63.1,63.4,62.4,60.8,59.1,54.8,53.6 bd,52.6,56.8,55.7,55.7
Annual,Rate,Females,From 20 to 64 years,Azerbaijan,78.5,76.7,75.6,74.4,75.7,75.3,74.0,73.6,73.2,73.7,73.7,73.9,74.2,74.5,73.0,74.0,74.8,75.7
Annual,Rate,Females,From 20 to 64 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,79.2,79.4,79.2,79.8,79.8,:,:
Annual,Rate,Females,From 20 to 64 years,Georgia,63.8,61.7,63.2,63.2,63.9,66.9,67.3,66.9,66.4,67.0,69.3,67.3,69.1,66.6,65.7,52.8 b,53.4,54.7
Annual,Rate,Females,From 20 to 64 years,Moldova,61.3 d,54.5 d,54.3 d,53.4 d,50.4 d,49.0 d,49.2 d,47.6 d,47.8 d,50.0 bd,51.1,51.1,49.9,52.2,48.9 bd,47.0,48.1,50.0
Annual,Rate,Females,From 20 to 64 years,Ukraine,67.3,67.3,67.6,67.5,67.0,66.6,65.9,65.9,66.0,63.6 d,64.3 d,64.1 d,64.3 d,65.8 d,66.9 d,66.0 d,66.0 d,:
Annual,Rate,Males,From 15 to 64 years,Armenia,76.7 d,75.8 d,81.6 bd,74.0 bd,71.3,75.2,75.3,74.7,74.9,75.3,74.7,74.0,73.1,74.2 bd,80.6,70.9,73.5,74.9
Annual,Rate,Males,From 15 to 64 years,Azerbaijan,77.9,77.0,76.2,74.5,73.0,71.9,71.4,71.8,72.3,72.7,73.0,74.2,74.5,74.6,76.0,76.1,76.3,76.4
Annual,Rate,Males,From 15 to 64 years,Belarus,69.7 d,70.5 d,71.2 d,72.4 d,73.5 d,76.1 bd,78.0 d,76.7 d,77.1 d,78.9 d,78.9 d,80.5,81.2,82.1,81.7,82.1,:,:
Annual,Rate,Males,From 15 to 64 years,Georgia,76.9,75.2,75.1,77.9,79.6,79.1,81.4,82.8,81.9,82.0,82.8,82.4,79.3,78.6,77.7,69.2 b,70.6,72.2
Annual,Rate,Males,From 15 to 64 years,Moldova,54.0 de,53.5 de,51.5 d,51.2 d,50.0 d,48.8 d,49.2 d,47.0 d,48.0 d,51.0 bd,52.6,53.0,52.9,54.1,53.0 bd,51.3,53.5,53.6
Annual,Rate,Males,From 15 to 64 years,Ukraine,71.6,72.2,72.9,73.6,72.4,72.4,73.3,73.9,74.1,72.3 d,72.6 d,72.8 d,73.1 d,73.4 d,74.5 d,73.3 d,72.7 d,:
Annual,Rate,Males,From 20 to 64 years,Armenia,86.2,85.7,90.8 b,84.8 b,81.7,85.8,84.1,83.0,83.2,82.9,81.5,81.4,80.7,80.1 bd,74.2,77.2,80.8,82.0
Annual,Rate,Males,From 20 to 64 years,Azerbaijan,87.2,87.1,86.4,84.1,82.5,81.1,80.2,80.3,80.3,80.1,80.0,80.8,80.9,80.9,82.7,83.1,83.7,84.1
Annual,Rate,Males,From 20 to 64 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,86.1,86.8,87.8,87.4,87.8,:,:
Annual,Rate,Males,From 20 to 64 years,Georgia,84.5,82.8,82.9,85.4,87.0,86.8,88.6,89.7,88.5,88.7,89.2,88.1,84.9,84.5,83.7,74.0 b,76.2,77.9
Annual,Rate,Males,From 20 to 64 years,Moldova,61.8 d,60.0 d,57.7 d,57.1 d,55.6 d,53.6 d,53.9 d,51.4 d,52.1 d,55.5 bd,56.7,57.4,57.1,57.9,57.3 bd,55.5,57.8,57.8
Annual,Rate,Males,From 20 to 64 years,Ukraine,79.0,79.6,80.1,80.5,78.5,78.3,78.9,79.4,79.6,77.5 d,77.8 d,77.8 d,78.0 d,78.3 d,79.4 d,78.4 d,78.2 d,:
Annual,Rate,Total,From 15 to 64 years,Armenia,:,:,73.9 d,62.4 d,61.6 d,64.1 d,66.0 d,65.4 d,66.4 d,65.6,65.1,63.9,63.6,61.6 bd,67.2,61.5,61.8,62.8
Annual,Rate,Total,From 15 to 64 years,Azerbaijan,74.0,72.7,71.7,70.3,70.0,69.5,68.9,69.2,69.5,70.1,70.5,71.4,71.7,72.1,71.9,72.4,72.7,73.0
Annual,Rate,Total,From 15 to 64 years,Belarus,75.6 d,76.4 d,77.1 d,78.9 d,79.9 d,81.4 bd,81.8 d,81.2 d,81.4 d,81.8 d,82.1 d,77.5 b,77.9,78.2,78.3,78.5,:,:
Annual,Rate,Total,From 15 to 64 years,Georgia,67.3,65.3,65.7,67.2,68.6,69.5,70.7,71.6,71.1,71.7,73.4,72.3,72.2,70.5,69.4,59.1 b,59.9,61.2
Annual,Rate,Total,From 15 to 64 years,Moldova,53.8 d,50.9 d,49.5 d,49.0 d,47.7 d,46.5 d,47.0 d,45.3 d,46.0 d,48.5 bd,50.0,50.3,49.8,51.4,49.4 bd,47.6,49.1,49.9
Annual,Rate,Total,From 15 to 64 years,Ukraine,66.4,66.8,67.3,67.8,67.1,67.1,67.3,67.6,67.9,65.8 d,66.3 d,66.4 d,66.7 d,67.6 d,68.7 d,67.5 d,67.2 d,:
Annual,Rate,Total,From 20 to 64 years,Armenia,:,:,80.8,70.7,69.5,71.6,72.6,71.8,72.2,71.4,70.0,69.0,68.6,66.0 bd,62.7,66.3,67.1,67.9
Annual,Rate,Total,From 20 to 64 years,Azerbaijan,82.8,81.7,80.9,79.1,79.0,78.1,77.0,76.9,76.7,76.8,76.8,77.3,77.5,77.7,77.7,78.5,79.1,79.8
Annual,Rate,Total,From 20 to 64 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,82.5,83.0,83.3,83.5,83.7,:,:
Annual,Rate,Total,From 20 to 64 years,Georgia,73.5,71.6,72.4,73.6,74.7,76.3,77.3,77.5,76.9,77.3,78.8,77.3,76.7,75.2,74.5,63.2 b,64.5,65.9
Annual,Rate,Total,From 20 to 64 years,Moldova,61.5 d,57.2 d,55.9 d,55.2 d,52.9 d,51.2 d,51.5 d,49.5 d,49.9 d,52.6 bd,53.8,54.1,53.4,54.9,52.9 bd,51.1,52.8,53.7
Annual,Rate,Total,From 20 to 64 years,Ukraine,72.9,73.1,73.5,73.7,72.5,72.2,72.1,72.4,72.5,70.3 d,70.8 d,70.7 d,70.9 d,71.8 d,72.9 d,72.0 d,71.9 d,:
