Time frequency,Unit of measure,Transport infrastructure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Kilometre,Motorways,Armenia,1500 d,1500 d,1500 d,1730 d,1730 d,1730 d,1730 d,1732 d,1735 d,1803 d,1803 d,1803 d,1803 d,1803 d,1753 d,1753 d,1753 d,1753 d
Annual,Kilometre,Motorways,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Kilometre,Motorways,Belarus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Kilometre,Motorways,Georgia,:,:,28.0,28.0,60.0,69.0,81.0,80.0,80.0,90.0,104.0,164.0,158.0,208.0,208.0,208.0,263.0,:
Annual,Kilometre,Motorways,Ukraine,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15 d,15 d,15 d,15 d,15 d,15 d,15 d,15 d,:
Annual,Kilometre,Other roads,Armenia,6000.0,6000.0,6000.0,6019.0,6019.0,6019.0,6019.0,6057.0,6057.0,5765.0,5767.0,5767.0,5772.0,5772.0,5877.0,5761.0,5790.0,5790.0
Annual,Kilometre,Other roads,Azerbaijan,18799.0,18823.0,18823.0,18902.0,18946.0,18977.0,18986.0,18994.0,19002.0,19016.0,19016.0,19016.0,19016.0,19176.0,19176.0,19228.0,19228.0,18916.0
Annual,Kilometre,Other roads,Belarus,95171.0,95973.0,98237.0,97979.0,99553.0,99444.0,99892.0,100385.0,101030.0,101523.0,101594.0,101921.0,102383.0,102534.0,102776.0,102961.0,:,:
Annual,Kilometre,Other roads,Georgia,20300.0,20300.0,20272.0,18343.0,18548.0,18971.0,18773.0,18865.0,19300.0,19339.0,20449.0,20564.0,20583.0,20534.0,20756.0,20902.0,39781 bd,:
Annual,Kilometre,Other roads,Moldova,9467 d,9467 d,9337 d,9343 d,9344 d,9344 d,9352 d,9352 d,9352 d,9360 d,9373 d,9386 d,9378 d,9446 d,9432 d,9465 d,9472 d,9488 d
Annual,Kilometre,Other roads,Ukraine,169308.0,169089.0,169407.0,169487.0,169480.0,169481.0,169622.0,169679.0,169634.0,163013 d,163009 d,163018 d,163104 d,161909 d,161897 d,162137 d,161818 d,:
