Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Algeria,3525.1 d,4012.8 d,3597.8 d,1533.6 d,5252.2 d,4001.6 d,4245.7 d,5133.6 d,4911.0 d,3432.2 d,3755.5 d,3432.3 d,3470.2 d,6057.0 d,5626.0,4389.5,2764.8,:
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Egypt,16890.4,16222.5,15329.8,16394.6,17138.9,15170.8,16208.5,17753.8,18317.8,18244.8,18232.0,17984.0,17869.0,17585.0,17217.2,17695.4,:,:
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Israel,262.2 d,180.7 d,203.3 d,111.9 d,288.0 d,267.9 d,280.1 d,356.8 d,372.8 d,344.9 d,326.1 d,188.0 d,88.8 d,90.8 d,103.7,135.0,119.3,154.7
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Jordan,102.3 e,61.9 e,53.3 e,47.5 e,60.9 e,87.3 e,83.0 e,84.0 e,102.1 e,77.8,88.8 e,99.0,98.3,81.0,113.9,131.3,124.6,72.6
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Lebanon,394.3,429.6,391.5,383.5,416.5,:,:,:,:,:,149.1 e,182.4 e,168.0 e,:,:,:,192.7 e,:
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Morocco,4227.0 d,9192.8 d,2462.9 d,5277.4 d,10401.9 d,7774.9 d,8604.2 d,5231.6 d,9825.9 d,6897.6 d,11690.2 d,3497.9 d,9719.8 d,10404.7 d,5239.1 d,3246.6 d,10404.0 d,3481.7 dp
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Palestine*,79.1 e,71.2 e,69.7 e,54.1 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Cereals (excluding rice) for the production of grain (including seed),Tunisia,2097.0 d,1610.3 d,1988.4 d,1188.1 d,2533.6 d,1079.6 d,2310.3 d,2273.0 d,1295.1 d,2317.1 d,1307.8 d,:,:,:,:,:,:,:
Annual,Thousand tonnes,Common wheat and spelt,Algeria,846.0 d,915.1 d,790.0 d,297.2 d,952.0 d,796.2 d,715.1 d,1025.1 d,966.7 d,591.9 d,636.8 d,502.5 d,445.5 d,803.2 d,668.1,528.2,334.2,:
Annual,Thousand tonnes,Common wheat and spelt,Israel,213.6,142.8,170.3,85.8,133.0,112.3,122.0,189.5,151.8,173.0,157.0,168.0,70.5,72.2,86.4,116.7,104.5,141.6
Annual,Thousand tonnes,Common wheat and spelt,Jordan,34.4,22.9,21.0 e,7.8 e,12.5 e,22.1 e,19.8 e,19.2 e,28.5 e,27.5,21.9 e,31.2,12.1,16.4,26.4,25.7,25.8,20.9
