Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand hectares,Arable land,Algeria,7511.1,7469.6,7468.5,7489.3,7492.9,7501.5,7501.4,7506.6,7496.7,7469.5,7462.1,7404.2,7470.8,:,:,:,:,:
Annual,Thousand hectares,Arable land,Egypt,3521.6,3532.6,3537.7,3541.5,3688.9,3671.3,3620.2,3695.8,3760.8,3744.9,3820.0,3824.0,3764.0,3860.9,3957.8,3971.7,:,:
Annual,Thousand hectares,Arable land,Libya,:,:,844122.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand hectares,Arable land,Palestine*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,41.9,:
Annual,Thousand hectares,Arable land,Tunisia,:,:,:,:,:,:,:,:,:,:,4920.0,4934.6,:,:,:,:,:,:
Annual,Thousand hectares,Other areas on the farms,Libya,4123.0,:,77666.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand hectares,Other areas on the farms,Palestine*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.8,:
Annual,Thousand hectares,Permanent grassland,Algeria,26.1,25.5,25.5,24.3,24.5,24.7,24.8,24.3,26.6,25.7,25.5,32.0,32.8,32.8,:,40.7,:,:
Annual,Thousand hectares,Permanent grassland,Egypt,960.0,928.0,974.0,900.0,805.0,798.0,812.0,867.0,902.0,919.0,924.0,920.4,925.0,913.7,902.4,905.6,:,:
Annual,Thousand hectares,Permanent grassland,Palestine*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.7,:
Annual,Thousand hectares,Permanent grassland,Tunisia,:,:,:,:,:,:,:,:,:,:,4840.7,4767.6,:,:,:,:,:,:
Annual,Thousand hectares,Permanent crops,Algeria,852.5,908.5,920.6,911.2,906.0,908.8,919.3,923.8,938.6,969.9,1000.3,1013.2,1032.8,:,:,1034.8,:,:
Annual,Thousand hectares,Permanent crops,Jordan,:,:,:,:,:,:,:,:,:,:,:,86.7 e,78.1,78.8,79.7,80.6,81.8,82.6
Annual,Thousand hectares,Permanent crops,Libya,4657.0,:,258425.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand hectares,Permanent crops,Palestine*,114.8 e,113.7 e,116.5 e,117.2 e,:,54.2 b,66.0,:,:,:,:,:,:,:,:,:,71.3,:
Annual,Thousand hectares,Permanent crops,Tunisia,:,:,:,:,:,:,:,:,:,:,2347.2,2371.5,:,:,:,:,:,:
Annual,Thousand hectares,Utilised agricultural area,Algeria,8389.6,8403.6,8414.7,8424.8,8423.3,8435.0,8445.5,8454.6,8461.9,8465.0,8487.9,8449.4,8536.4,8570.0,:,8588.3,:,:
Annual,Thousand hectares,Utilised agricultural area,Israel,:,285.1,293.2,289.2,294.8,283.2,289.2,289.3,292.3,309.8,306.0,304.5,294.9,292.4,288.3,289.9,287.0,282.5
Annual,Thousand hectares,Utilised agricultural area,Jordan,285.8 e,252.2 e,261.5 e,261.5 e,265.5 e,260.8 e,261.3 e,267.1 e,294.8 e,278.6,271.3 e,297.9 e,281.9,281.9,281.9,281.9,281.9,281.9
Annual,Thousand hectares,Utilised agricultural area,Lebanon,:,:,:,:,:,:,231.0,:,:,:,260.2 e,259.4 e,261.4 e,:,:,:,271.4 e,:
Annual,Thousand hectares,Utilised agricultural area,Libya,15329.0,17764.0,:,:,7721.0,1267.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand hectares,Utilised agricultural area,Morocco,8988.3,8946.6,8959.8,8980.6,9002.6,8988.3,9103.8,9042.5,9796.9,7514.9,8328.5,9100.0,9069.0,7555.5,6637.9,:,:,:
Annual,Thousand hectares,Utilised agricultural area,Palestine*,183.3 e,182.6 e,183.5 e,185.4 e,:,91.2,103.5,:,:,:,:,:,:,:,:,:,113.9,:
Annual,Thousand hectares,Utilised agricultural area,Tunisia,9304.6,9289.1,9288.7,9286.4,9273.4,9279.5,9278.6,9275.4,10452.7,10452.9,10449.3,10449.3,:,:,:,:,:,:
Annual,Thousand hectares,Wooded areas,Algeria,1169.4 d,1187.6 d,1197.0 d,1126.4 d,1087.7 d,1071.0 d,1056.3 d,1101.1 d,1458.1 d,1457.5 d,1938.9 d,2036.1 d,2436.6 d,2646.6,:,2647.1,:,:
Annual,Thousand hectares,Wooded areas,Palestine*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.3,:
Annual,Thousand hectares,Wooded areas,Tunisia,:,:,:,:,:,:,:,:,:,:,692.2,742.1,:,:,:,:,:,:
