Time frequency,Unit of measure,Aquatic environment,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Tonnes live weight,Brackish water,Algeria,14.0,14.6,25.8,77.4,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Brackish water,Israel,669.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Brackish water,Jordan,250.0,250.0,40.0 bd,350.0 d,350.0,350.0,370.0,380.0,385.0,400.0,400.0,350.0,380.0,400.0,430.0,400.0,380.0,400.0
Annual,Tonnes live weight,Brackish water,Lebanon,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Brackish water,Palestine*,0.0 e,0.0 e,0.0 e,0.0 e,:,:,:,32.0 e,16.0 e,0.0 e,0.0 e,0.0 e,0.0 e,0.0 e,:,:,:,:
Annual,Tonnes live weight,Brackish water,Tunisia,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Freshwater,Algeria,330.0,258.4,335.0,2695.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Freshwater,Egypt,83803.0,104976.0,97710.0,79688.0,87335.0,84648.0,89712.0,66623.0,67671.0,66060.0,69704.0,73484.0,77732.0,73739.0,77376.0,79533.0,:,:
Annual,Tonnes live weight,Freshwater,Israel,18539.0,19491.0,19168.0,17731.0,18442.0,17907.0,18061.0,17338.0,18594.0,16764.0,16068.0,14707.5,14484.1,13347.1,13029.8,11116.3,9843.9,8835.6
Annual,Tonnes live weight,Freshwater,Jordan,311.0,320.0,313.0 d,381.6,440.6,486.1,586.0,661.0,705.0,298.0,949.0,1119.0,1225.0,1329.8,1935.4,2054.0,2152.0,2585.0
Annual,Tonnes live weight,Freshwater,Lebanon,700.0 e,750.0 e,1100.0 e,1600.0,1700.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Freshwater,Morocco,790.0,870.0,1195.0,290.0,310.0,340.0,270.0,280.0,540.0,650.0,580.0,630.0,660.0 e,733.3 e,733.3 e,:,:,:
Annual,Tonnes live weight,Freshwater,Palestine*,10.0 e,17.0 e,27.0 e,65.0 e,100.0 e,158.0 e,115.0 e,147.0 e,99.0 e,34.0 e,36.0 e,30.0 e,65.0,149.0 d,90.0,86.0,77.0,:
Annual,Tonnes live weight,Freshwater,Tunisia,1093.0,1087.0,1084.0,1096.0,1191.0,1123.0,878.0,970.0,995.0,1034.0,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Seawater,Algeria,24.0,16.0,44.0,8.5,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Seawater,Israel,3196.0,2724.0,2251.0,2261.0,1003.0,1007.0,1456.0,2241.0,2618.0,2644.0,2496.0,2496.0,2496.0,2579.0,2691.0,3519.1,2574.9,2502.4
Annual,Tonnes live weight,Seawater,Lebanon,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Seawater,Morocco,1467.0,291.0,441.0,214.0,272.0,332.0,279.0,412.5,433.0,468.0,470.0,510.0,596.0,600.0,895.0,812.0,1133.0,:
Annual,Tonnes live weight,Seawater,Palestine*,3.0 e,5.0 e,10.0 e,5.0 e,15.0 e,122.0 e,74.0 e,90.0 e,169.0 e,150.0 e,220.0 e,250.0 e,435.0,450.0 d,540.0,514.0,620.0,:
Annual,Tonnes live weight,Seawater,Tunisia,1834.0,1869.0,2368.0,2641.0,3502.0,4322.0,6010.0,8228.0,10969.0,10930.0,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Total,Algeria,368.0,289.0,404.8,2780.9,2163.0,1759.0,2250.0,2648.0,2193.0,2411.0,1327.0,1960.0,4200.0,5100.0,4735.0,5463.0,4788.0,5525.0
Annual,Tonnes live weight,Total,Egypt,539747.0,595029.0,635516.0,693815.0,705490.0,919585.0,986820.0,1017738.0,1097544.0,1136091.0,1174831.0,1370660.0,1451841.0,1561457.0,1641949.0,1591896.0,:,:
Annual,Tonnes live weight,Total,Israel,22404.0,22215.0,21419.0,19992.0,19445.0,18914.0,19517.0,19579.0,21212.0,19408.0,18564.0,17203.5,16980.1,15926.1,15720.8,14635.4,12418.8,11338.0
Annual,Tonnes live weight,Total,Jordan,561.0,570.0,353.0,731.6,790.6,836.1,956.0,1041.0,1090.0,698.0,1349.0,1469.0,1605.0,1729.8,2365.4,2454.0,2532.0,2985.0
Annual,Tonnes live weight,Total,Lebanon,700.0 e,750.0 e,1100.0 e,1600.0,1700.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Tonnes live weight,Total,Morocco,2257.0,1161.0,1636.0,504.0,582.0,672.0,549.0,692.5,973.0,1118.0,1050.0,1140.0,1199.4 e,1333.3 e,1333.3 e,:,:,:
Annual,Tonnes live weight,Total,Palestine*,13.0 e,22.0 e,37.0 e,70.0 e,115.0 e,280.0 e,189.0 e,269.0 e,284.0 e,184.0 e,256.0 e,280.0 e,500.0,599.0 d,630.0,600.0,697.0,:
Annual,Tonnes live weight,Total,Tunisia,2927.0,2956.0,3452.0,3737.0,4693.0,5445.0,7238.0 i,9198.0,11964.0,11682.0,:,:,:,:,:,:,:,:
