Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of total,"Agriculture, forestry and fishing",Algeria,8.2 d,8.0 d,8.0 d,7.0 d,10.1 d,9.0 d,8.6 d,9.4 d,10.6 d,11.1 d,12.1 d,12.7,12.2,12.3,12.8,14.3,12.6,:,:
Annual,Percentage of total,"Agriculture, forestry and fishing",Egypt,14.9 d,14.1 d,14.1 d,13.2 d,13.6 d,14.0 d,14.5 d,11.0 d,10.9 d,11.2 d,11.3 d,11.9 d,11.7 d,:,:,:,:,:,:
Annual,Percentage of total,"Agriculture, forestry and fishing",Israel,2.1,2.0,2.0,2.0,2.4,2.1,2.1,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.3,:
Annual,Percentage of total,"Agriculture, forestry and fishing",Jordan,2.8 de,2.6 de,2.5 de,2.9 e,3.2 e,3.6 e,3.5 e,3.3 e,3.6 e,4.0 e,4.4 e,4.5 e,4.4,4.4,4.4,4.6,4.8,:,:
Annual,Percentage of total,"Agriculture, forestry and fishing",Lebanon,4.0,4.8,5.4,4.9,4.5,4.3,4.1,4.1,4.3,4.3,3.5,2.9,3.0,3.4,3.3,8.3,:,:,:
Annual,Percentage of total,"Agriculture, forestry and fishing",Morocco,:,:,:,:,:,:,:,:,:,11.4,13.2,11.5,12.4,12.6,12.1,11.9,13.4,11.4,:
Annual,Percentage of total,"Agriculture, forestry and fishing",Palestine*,8.3 e,10.7 e,8.4 e,10.5 e,10.4 e,8.9 e,8.5 e,8.4 e,7.8 e,8.0 e,7.4 e,7.5 e,7.0 e,7.0,7.0,7.1,6.6,6.0,6.2 f
Annual,Percentage of total,"Agriculture, forestry and fishing",Tunisia,10.1 d,10.2 d,9.4 d,8.5 d,9.3 d,8.1 d,9.0 d,9.5 d,9.4 d,9.8 d,9.9,9.2,9.7,10.6,10.5 d,11.3,10.9 p,:,:
Annual,Percentage of total,Industry (except construction),Algeria,53.3 d,54.1 d,51.8 d,53.1 d,39.8 d,42.7 d,43.0 d,41.4 d,37.2 d,34.4 d,25.3 d,23.8,26.1,28.7,26.2,21.0,28.9,:,:
Annual,Percentage of total,Industry (except construction),Egypt,30.4 d,32.4 d,30.7 d,31.9 d,31.4 d,31.3 d,31.4 d,32.1 d,32.1 d,32.1 d,29.2 d,25.1 d,26.3 d,:,:,:,:,:,:
Annual,Percentage of total,Industry (except construction),Israel,16.5,16.7,17.1,16.5,15.6,15.7,15.2,15.3,14.5,14.0,14.4,13.5,12.7,12.9,12.8,13.3,12.0,12.6,:
Annual,Percentage of total,Industry (except construction),Jordan,20.6 de,20.8 de,23.1 de,26.5 e,24.1 e,22.9 e,23.8 e,22.7 e,22.5 e,22.4 e,25.2 e,21.7 e,21.6,21.3,21.3,20.9,20.7,:,:
Annual,Percentage of total,Industry (except construction),Lebanon,12.6,12.4,12.5,12.8,12.2,11.5,10.9,10.9,11.1,11.0,11.7,12.0,11.7,10.9,10.6,13.7,:,:,:
Annual,Percentage of total,Industry (except construction),Morocco,:,:,:,:,:,:,:,:,:,22.0,22.4,22.1,21.8,22.0,22.2,22.8,22.9,22.2,:
Annual,Percentage of total,Industry (except construction),Palestine*,15.3 e,11.1 e,10.6 e,13.5 e,13.2 e,14.1 e,13.1 e,13.6 e,13.6 e,12.8 e,11.7 e,12.0 e,13.6 e,13.2,13.1,13.0,11.9,12.1,10.8 f
Annual,Percentage of total,Industry (except construction),Tunisia,24.2 d,24.9 d,26.8 d,29.3 d,26.0 d,26.5 d,26.7 d,26.5 d,25.7 d,24.3 d,21.4,20.9,20.6,20.8,20.0 d,19.1,20.4 p,:,:
Annual,Percentage of total,Construction,Algeria,8.0 d,8.4 d,9.4 d,9.2 d,11.8 d,11.2 d,9.7 d,9.9 d,10.6 d,11.2 d,12.0 d,12.3,12.1,11.9,12.7,13.3,12.1,:,:
Annual,Percentage of total,Construction,Egypt,4.0 d,4.1 d,4.2 d,4.3 d,4.4 d,4.6 d,4.6 d,4.1 d,4.3 d,4.2 d,4.8 d,5.4 d,5.7 d,:,:,:,:,:,:
Annual,Percentage of total,Construction,Israel,4.8,4.8,5.0,5.0,4.8,5.1,5.4,5.7,5.8,5.6,5.6,5.6,5.8,6.0,6.0,5.7,5.9,6.3,:
Annual,Percentage of total,Construction,Jordan,4.3 de,4.0 de,61.5 de,60.3 de,59.0 e,3.3 e,3.0 e,3.1 e,3.1 e,3.1 e,3.1 e,3.0 e,2.9,2.8,2.8,2.7,2.7,:,:
Annual,Percentage of total,Construction,Lebanon,3.9,3.9,4.5,4.6,5.2,3.9,4.9,5.9,6.6,6.3,5.3,5.2,4.3,3.8,2.6,2.6,:,:,:
Annual,Percentage of total,Construction,Morocco,:,:,:,:,:,:,:,:,:,6.4,6.2,6.6,6.6,6.2,6.0,6.2,5.9,6.1,:
Annual,Percentage of total,Construction,Palestine*,4.2 e,4.2 e,4.0 e,2.7 e,4.8 e,6.2 e,7.7 e,7.2 e,8.2 e,5.2 e,4.8 e,5.1 e,5.3 e,5.9,5.6,4.1,4.7,4.5,4.7 f
Annual,Percentage of total,Construction,Tunisia,5.0 d,4.9 d,4.7 d,4.6 d,4.7 d,4.6 d,4.8 d,4.6 d,4.6 d,4.7 d,5.7,5.6,5.2,5.1,5.0 d,4.2,4.3 p,:,:
Annual,Percentage of total,Services,Algeria,30.4 d,29.5 d,30.9 d,30.6 d,38.3 d,37.1 d,38.7 d,39.3 d,41.6 d,43.3 d,50.6 d,51.2,49.5,47.0,48.3,51.4,46.4,:,:
Annual,Percentage of total,Services,Egypt,50.7 d,49.4 d,51.0 d,50.6 d,50.6 d,50.1 d,49.5 d,52.8 d,52.7 d,52.5 d,54.7 d,57.6 d,56.3 d,:,:,:,:,:,:
Annual,Percentage of total,Services,Israel,76.6,76.4,75.9,76.4,77.2,77.1,77.3,77.3,78.0,78.8,78.4,79.3,79.9,79.6,79.8,79.5,80.7,79.8,:
Annual,Percentage of total,Services,Jordan,61.5 de,60.3 de,59.0 de,56.2 e,57.0 e,56.5 e,56.4 e,57.6 e,57.6 e,57.4 e,57.5 e,58.0 e,57.6,57.8,58.5,59.1,58.0,:,:
Annual,Percentage of total,Services,Lebanon,79.5,78.9,77.6,77.7,78.1,80.3,80.1,79.1,78.0,78.5,79.5,79.9,81.0,81.9,83.5,75.4,:,:,:
Annual,Percentage of total,Services,Morocco,:,:,:,:,:,:,:,:,:,60.2,58.2,59.7,59.2,59.2,59.7,59.2,57.9,60.3,:
Annual,Percentage of total,Services,Palestine*,72.2 e,73.9 e,77.0 e,73.3 e,71.6 e,70.8 e,70.7 e,70.8 e,70.4 e,74.1 e,76.2 e,75.3 e,74.2 e,73.9,74.3,75.8,76.8,77.4,78.3 f
Annual,Percentage of total,Services,Tunisia,60.7 d,60.1 d,59.1 d,57.7 d,60.0 d,60.8 d,59.5 d,59.4 d,60.3 d,61.2 d,63.0,64.3,64.5,63.5,64.5 d,65.3,64.4 p,:,:
