Time frequency,Unit of measure,Land use,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Square kilometre,Land area - total,Israel,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0,21643.0
Annual,Square kilometre,Land area - total,Jordan,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88770.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0,88778.0
Annual,Square kilometre,Land area - total,Palestine*,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6020.0 e,6025.0,6025.0,6025.0,6025.0,6025.0 p,6025.0 p
Annual,Square kilometre,Total area,Algeria,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,:,:,:,:
Annual,Square kilometre,Total area,Egypt,1009449.9 i,1009449.9 i,1009449.9 i,:,:,1001450.0 i,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Square kilometre,Total area,Israel,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0,22072.0
Annual,Square kilometre,Total area,Jordan,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0
Annual,Square kilometre,Total area,Lebanon,10452.0,10452.0,10452.0,10452.0,10452.0,10452.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Square kilometre,Total area,Morocco,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,:
Annual,Square kilometre,Total area,Tunisia,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,:,:,:,:,:,:,:,:,:,:
