Time frequency,Demographic indicator,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Women per 100 men,Andorra,96.0,96.3,:,:,:,:,:,96.4,:,:,:,:
Annual,Women per 100 men,Albania,99.0,98.4,97.9,97.5,97.2,97.9,99.5,100.2,100.3,100.7,101.4,102.0
Annual,Women per 100 men,Armenia,105.9,:,:,109.2,109.8,110.5,111.1,111.5,111.9,111.9,:,:
Annual,Women per 100 men,Austria,105.2,105.0,104.7,104.4,103.6,103.4,103.3,103.3,103.3,103.2,102.9,103.0
Annual,Women per 100 men,Azerbaijan,101.5,101.3,101.1,100.9,100.7,100.6,100.4,100.3,100.2,100.2,100.1,101.0
Annual,Women per 100 men,Bosnia and Herzegovina,104.7,104.7,:,:,:,:,:,:,:,:,:,:
Annual,Women per 100 men,Belgium,103.6,103.5,103.5,103.4,103.1,103.1,103.0,102.9,102.8,102.7,102.6,102.6
Annual,Women per 100 men,Bulgaria,105.4,105.8,106.0,106.3,106.5,106.8,107.1,107.4,107.7,107.9,107.9,108.0
Annual,Women per 100 men,Belarus,115.2,115.2,115.1,115.0,114.9,114.7,114.7,114.6,:,:,:,:
Annual,Women per 100 men,Switzerland,102.8,102.6,102.4,102.2,102.0,101.7,101.7,101.7,101.6,101.5,101.4,101.3
Annual,Women per 100 men,Cyprus,105.7,105.7,105.5,105.7,105.6,105.2,105.0,104.7,104.4,104.7,105.1,105.0
Annual,Women per 100 men,Czechia,103.7,103.6,103.6,103.6,103.5,103.4,103.3,103.1,102.8,103.0 b,102.9,104.0
Annual,Women per 100 men,Germany,104.8,104.5,104.2 b,103.8,102.8,102.8,102.7,102.7,102.7,102.7,102.7,103.0
Annual,Women per 100 men,Denmark,101.7,101.6,101.5,101.3,101.1,101.0,101.0,101.0,101.0,101.0,100.9,101.2
Annual,Women per 100 men,Euro area - 19 countries  (2015-2022),105.3 b,105.2,105.2 be,105.1 be,104.8,104.8 b,104.7,104.6 b,104.5,104.5,104.3 p,104.4 p
Annual,Women per 100 men,Euro area – 20 countries (from 2023),:,:,105.2 be,105.1 be,104.9,104.8 b,104.7,104.6 b,104.6,104.5,104.4 p,104.4 p
Annual,Women per 100 men,Estonia,114.4,114.3,114.0,113.9 b,113.4,113.0,112.4,111.8,111.2,110.8,110.3,111.0
Annual,Women per 100 men,Greece,104.4,105.1,105.7,106.1,106.4,106.2,106.2,105.9,105.5,105.5,104.5 b,104.6
Annual,Women per 100 men,Spain,102.7,103.0,103.3,103.4,103.5,103.7,103.8,103.8,103.9,103.9,103.9,104.0
Annual,Women per 100 men,European Union - 27 countries (from 2020),105.3 b,105.3,105.2 be,105.2 be,104.9 e,104.9 be,104.8 e,104.7 b,104.6 e,104.6 b,104.5 ep,104.6 ep
Annual,Women per 100 men,Finland,103.6,103.5,103.4,103.3,103.1,102.9,102.8,102.6,102.5,102.4,102.3,102.1
Annual,Women per 100 men,France,106.5 b,106.5,106.5 b,106.6,106.6,106.7,106.8 p,106.7,106.7,106.6,106.6 p,106.5 p
Annual,Women per 100 men,Metropolitan France,106.4,106.4,:,:,:,:,:,:,:,:,:,:
Annual,Women per 100 men,Georgia,109.8,:,109.7,109.7,109.1,108.7,108.2,107.9,107.6,107.6,108.4,108.3
Annual,Women per 100 men,Croatia,107.3,107.3,107.7,107.9,108.1,108.5,108.7,108.5,107.9,107.7,107.4,106.8
Annual,Women per 100 men,Hungary,110.2 b,110.0,109.7,109.4,109.0,108.8,108.5,108.1,107.8,107.7,107.6,107.6
Annual,Women per 100 men,Ireland,101.9,102.0,102.0,102.2,102.1,102.1,102.0,101.9,102.0,101.9,102.1,102.4
Annual,Women per 100 men,Iceland,99.3,99.4,99.4,99.2,98.8,97.8,96.2,95.3,94.8,95.1,94.9,93.9
Annual,Women per 100 men,Italy,106.6,106.5,106.4,106.3,106.1,105.9,105.6,105.3 b,105.3,105.2,104.8,104.7
Annual,Women per 100 men,Liechtenstein,102.2,101.9,101.8,101.4,101.6,101.7,101.8,101.7,101.6,101.6,101.6,101.5
Annual,Women per 100 men,Lithuania,117.1,117.2,117.3,117.4,117.4,117.5,117.4,117.1,116.2,115.4,114.8,113.9
Annual,Women per 100 men,Luxembourg,100.5 b,100.1,99.8,99.7,99.3,99.1 b,99.0,98.9,98.8,98.7,98.5,98.8
Annual,Women per 100 men,Latvia,118.7,118.4,118.3,118.0,117.7,117.7,117.4,117.0,116.5,116.3,115.8,115.9
Annual,Women per 100 men,Moldova,108.0,107.9,107.9,107.9,108.0 e,107.8 e,108.4 e,109.2 e,109.4 e,109.5 e,110.6 e,111.6 ep
Annual,Women per 100 men,Montenegro,102.5,102.4,102.3,102.3,102.2,102.2,102.2,102.2,102.2,102.3,102.4,102.4
