Time frequency,Unit of measure,Forestry indicators,Geopolitical entity (reporting)\Time,1990.0,2000.0,2010.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Thousand hectares,Forest,Austria,3775.67,3838.14,3863.2,3881.19,3884.79,3888.38,3891.97,3895.56,3899.15
Annual,Thousand hectares,Forest,Bosnia and Herzegovina,2210.0,2111.65,2102.66,2160.5,2176.51,2187.91,2187.91,2187.91,2187.91
Annual,Thousand hectares,Forest,Belgium,677.4,667.3,689.87,689.3,689.3,689.3,689.3,689.3,689.3
Annual,Thousand hectares,Forest,Bulgaria,3327.0,3375.0,3737.0,3833.0,3841.0,3854.0,3867.0,3880.0,3893.0
Annual,Thousand hectares,Forest,Switzerland,1153.5,1196.18,1234.72,1251.91,1255.35,1258.79,1262.23,1265.67,1269.11
Annual,Thousand hectares,Forest,Czechia,2629.42,2637.29,2657.38,2668.39,2669.85,2671.66,2673.47,2675.28,2677.09
Annual,Thousand hectares,Forest,Germany,11300.0,11354.0,11409.0,11419.0,11419.0,11419.0,11419.0,11419.0,11419.0
Annual,Thousand hectares,Forest,Denmark,531.44,571.6,586.49,624.68,624.66,625.6,626.56,627.5,628.44
Annual,Thousand hectares,Forest,Estonia,2205.9,2238.89,2336.02,2421.01,2421.25,2438.4,2438.4,2438.4,2438.4
Annual,Thousand hectares,Forest,Greece,3298.55,3600.23,3901.8,3901.8,3901.8,3901.8,3901.8,3901.8,3901.8
Annual,Thousand hectares,Forest,Spain,13904.66,17093.93,18545.34,18551.18,18555.24,18559.3,18563.59,18567.88,18572.17
Annual,Thousand hectares,Forest,Finland,21875.33,22445.64,22242.0,22409.0,22409.0,22409.0,22409.0,22409.0,22409.0
Annual,Thousand hectares,Forest,France,14436.0,15288.0,16419.0,16836.0,16919.4,17002.8,17086.2,17169.6,17253.0
Annual,Thousand hectares,Forest,Croatia,1850.0,1885.0,1920.0,1922.0,1924.12,1931.61,1934.11,1936.61,1939.11
Annual,Thousand hectares,Forest,Hungary,1813.9,1921.17,2046.39,2060.82,2058.73,2057.27,2055.92,2054.47,2053.01
Annual,Thousand hectares,Forest,Ireland,461.64,630.36,720.38,754.67,762.35,770.02,774.02,778.02,782.02
Annual,Thousand hectares,Forest,Italy,7589.75,8369.25,9028.04,9297.08,9350.89,9404.7,9458.51,9512.32,9566.13
Annual,Thousand hectares,Forest,Liechtenstein,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
Annual,Thousand hectares,Forest,Lithuania,1945.0,2020.0,2170.0,2187.0,2190.0,2196.0,2198.0,2200.0,2201.0
Annual,Thousand hectares,Forest,Luxembourg,85.8,86.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7
Annual,Thousand hectares,Forest,Latvia,3173.0,3241.0,3372.12,3391.44,3395.31,3399.18,3403.05,3406.92,3410.79
Annual,Thousand hectares,Forest,Malta,0.35,0.35,0.35,0.35,0.38,0.42,0.46,0.46,0.46
Annual,Thousand hectares,Forest,Netherlands,345.33,359.5,373.48,364.83,365.76,366.7,367.63,368.57,369.5
Annual,Thousand hectares,Forest,Norway,12132.0,12113.0,12102.0,12141.0,12148.8,12156.6,12164.4,12172.2,12180.0
Annual,Thousand hectares,Forest,Poland,8882.0,9059.0,9329.0,9420.0,9435.0,9447.0,9459.0,9471.0,9483.0
Annual,Thousand hectares,Forest,Portugal,3399.0,3281.0,3252.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
Annual,Thousand hectares,Forest,Romania,6371.0,6366.0,6515.0,6900.96,6929.05,6929.05,6929.05,6929.05,6929.05
Annual,Thousand hectares,Forest,Sweden,28063.0,28163.0,28073.0,27980.0,27980.0,27980.0,27980.0,27980.0,27980.0
Annual,Thousand hectares,Forest,Slovenia,1188.0,1233.0,1247.0,1248.0,1245.97,1243.93,1241.9,1239.86,1237.83
Annual,Thousand hectares,Forest,Slovakia,1902.48,1901.41,1917.91,1921.75,1923.37,1925.9,1925.9,1925.9,1925.9
Annual,Thousand hectares,Forest,United Kingdom,2778.0,2954.0,3059.0,3155.0,3159.0,3164.0,3173.0,3182.0,3190.0
Annual,Thousand hectares,Other wooded land,Austria,117.67,116.71,134.21,132.23,131.84,131.44,131.04,130.64,130.24
Annual,Thousand hectares,Other wooded land,Bosnia and Herzegovina,500.0,685.99,675.6,636.64,637.13,625.37,625.37,625.37,625.37
Annual,Thousand hectares,Other wooded land,Belgium,20.7,27.1,32.8,32.9,32.9,32.9,32.9,32.9,32.9
Annual,Thousand hectares,Other wooded land,Bulgaria,130.0,104.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Annual,Thousand hectares,Other wooded land,Switzerland,61.52,66.16,70.63,72.77,73.2,73.63,74.06,74.49,74.92
Annual,Thousand hectares,Other wooded land,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Other wooded land,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Other wooded land,Denmark,136.0,136.0,46.9,44.08,44.39,42.53,40.67,38.81,36.95
Annual,Thousand hectares,Other wooded land,Estonia,196.23,153.71,108.04,99.9,95.94,94.44,94.44,94.44,94.44
Annual,Thousand hectares,Other wooded land,Greece,3210.9,2922.88,2634.72,2634.72,2634.72,2634.72,2634.72,2634.72,2634.72
Annual,Thousand hectares,Other wooded land,Spain,12079.4,10431.42,9250.07,9403.94,9398.59,9394.7,9390.41,9386.12,9381.82
Annual,Thousand hectares,Other wooded land,Finland,925.9,823.48,789.0,746.0,746.0,746.0,746.0,746.0,746.0
Annual,Thousand hectares,Other wooded land,France,2038.0,1804.0,739.0,791.0,801.4,811.8,822.2,832.6,843.0
Annual,Thousand hectares,Other wooded land,Croatia,277.0,415.0,554.0,569.0,612.53,609.09,612.09,615.09,618.09
Annual,Thousand hectares,Other wooded land,Hungary,0.0,0.0,0.0,153.0,163.8,173.0,182.1,191.3,200.0
Annual,Thousand hectares,Other wooded land,Ireland,49.27,49.27,47.68,58.2,61.97,65.74,65.74,65.74,65.74
Annual,Thousand hectares,Other wooded land,Italy,1533.33,1649.78,1760.62,1813.24,1823.76,1834.28,1844.8,1855.32,1865.84
Annual,Thousand hectares,Other wooded land,Liechtenstein,0.5,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Annual,Thousand hectares,Other wooded land,Lithuania,80.0,83.0,84.0,62.1,58.5,62.1,62.1,62.1,62.1
Annual,Thousand hectares,Other wooded land,Luxembourg,2.8,2.4,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Annual,Thousand hectares,Other wooded land,Latvia,115.0,123.0,113.8,110.8,110.2,109.6,109.0,108.4,107.8
Annual,Thousand hectares,Other wooded land,Malta,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07
Annual,Thousand hectares,Other wooded land,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
