Time frequency,Wood products,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Austria,514.9,465.78
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Cyprus,0.0,0.0
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Germany,1046 e,946 e
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Estonia,25.0,25.0
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,France,100 e,100 e
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Croatia,0.0,0.0
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Iceland,0.0,0.0
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Latvia,:,0.7 e
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Poland,0 e,5 e
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Romania,0.27 e,0.0
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Slovenia,:,0.0
Annual,Cross-laminated timber (CLT or X-Lam),Thousand cubic metres,Slovakia,16.5,101.02
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Austria,2063.14,1991.45
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Cyprus,0.0,0.0
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Germany,1289 e,1166 e
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Estonia,586.98,560.0
Annual,Glued-laminated timber (glulam),Thousand cubic metres,France,200 e,200 e
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Croatia,0.0,0.0
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Iceland,0.0,0.0
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Latvia,:,59.46 e
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Norway,44.9,42.38
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Poland,100 e,105 e
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Romania,132.94 e,108.42 p
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Slovenia,:,12.0
Annual,Glued-laminated timber (glulam),Thousand cubic metres,Slovakia,41.5,31.15
Annual,Glulam and cross laminated timber,Thousand cubic metres,Austria,2578.04,2457.23
Annual,Glulam and cross laminated timber,Thousand cubic metres,Belgium,631.1,820.22
Annual,Glulam and cross laminated timber,Thousand cubic metres,Cyprus,0.0,0.0
Annual,Glulam and cross laminated timber,Thousand cubic metres,Germany,2335 e,2112 e
Annual,Glulam and cross laminated timber,Thousand cubic metres,Estonia,611.98,585.0
Annual,Glulam and cross laminated timber,Thousand cubic metres,France,300 e,300 e
Annual,Glulam and cross laminated timber,Thousand cubic metres,Croatia,0.0,0.0
Annual,Glulam and cross laminated timber,Thousand cubic metres,Iceland,0.0,0.0
Annual,Glulam and cross laminated timber,Thousand cubic metres,Latvia,:,60.16 e
Annual,Glulam and cross laminated timber,Thousand cubic metres,Norway,44.9,42.38
Annual,Glulam and cross laminated timber,Thousand cubic metres,Poland,100 e,110 e
Annual,Glulam and cross laminated timber,Thousand cubic metres,Portugal,0.0,0.0
Annual,Glulam and cross laminated timber,Thousand cubic metres,Romania,133.21 e,108.42 p
Annual,Glulam and cross laminated timber,Thousand cubic metres,Slovenia,:,12.0
Annual,Glulam and cross laminated timber,Thousand cubic metres,Slovakia,58.0,132.17
Annual,I beams,Thousand tonnes,Austria,0 e,0 e
Annual,I beams,Thousand tonnes,Cyprus,0.0,0.0
Annual,I beams,Thousand tonnes,Estonia,0.0,0.0
Annual,I beams,Thousand tonnes,Croatia,0.0,0.0
Annual,I beams,Thousand tonnes,Iceland,0.0,0.0
Annual,I beams,Thousand tonnes,Latvia,:,0 e
Annual,I beams,Thousand tonnes,Poland,200 e,205 e
Annual,I beams,Thousand tonnes,Romania,0.35 e,0.03 p
Annual,I beams,Thousand tonnes,Slovenia,:,0.0
Annual,I beams,Thousand tonnes,Slovakia,1.65,11.2
