Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Cities,Percentage,Austria,41.1
Annual,Cities,Percentage,Belgium,34.4
Annual,Cities,Percentage,Bulgaria,13.9
Annual,Cities,Percentage,Cyprus,45.4
Annual,Cities,Percentage,Czechia,14.5
Annual,Cities,Percentage,Germany,29.3
Annual,Cities,Percentage,Denmark,53.1
Annual,Cities,Percentage,Estonia,32.6
Annual,Cities,Percentage,Greece,42.2
Annual,Cities,Percentage,Spain,30.6
Annual,Cities,Percentage,European Union (aggregate changing according to the context),34.0 e
Annual,Cities,Percentage,Finland,59.1
Annual,Cities,Percentage,France,39.5
Annual,Cities,Percentage,Croatia,30.0
Annual,Cities,Percentage,Hungary,59.9
Annual,Cities,Percentage,Ireland,43.8
Annual,Cities,Percentage,Lithuania,26.7
Annual,Cities,Percentage,Luxembourg,43.2
Annual,Cities,Percentage,Latvia,27.6
Annual,Cities,Percentage,Malta,27.8
Annual,Cities,Percentage,Netherlands,44.5
Annual,Cities,Percentage,Poland,20.5
Annual,Cities,Percentage,Portugal,21.0
Annual,Cities,Percentage,Romania,38.9
Annual,Cities,Percentage,Sweden,55.1
Annual,Cities,Percentage,Slovenia,31.1
Annual,Cities,Percentage,Slovakia,39.9
Annual,Towns and suburbs,Percentage,Austria,35.4
Annual,Towns and suburbs,Percentage,Belgium,27.0
Annual,Towns and suburbs,Percentage,Bulgaria,9.2
Annual,Towns and suburbs,Percentage,Cyprus,25.9
Annual,Towns and suburbs,Percentage,Czechia,23.7
Annual,Towns and suburbs,Percentage,Germany,24.2
Annual,Towns and suburbs,Percentage,Denmark,45.9
Annual,Towns and suburbs,Percentage,Estonia,37.8
Annual,Towns and suburbs,Percentage,Greece,28.8
Annual,Towns and suburbs,Percentage,Spain,25.4
Annual,Towns and suburbs,Percentage,European Union (aggregate changing according to the context),28.6 e
Annual,Towns and suburbs,Percentage,Finland,53.9
Annual,Towns and suburbs,Percentage,France,31.6
Annual,Towns and suburbs,Percentage,Croatia,25.6
Annual,Towns and suburbs,Percentage,Hungary,48.8
Annual,Towns and suburbs,Percentage,Ireland,47.2
Annual,Towns and suburbs,Percentage,Lithuania,24.5
Annual,Towns and suburbs,Percentage,Luxembourg,46.4
Annual,Towns and suburbs,Percentage,Latvia,23.0
Annual,Towns and suburbs,Percentage,Malta,21.7
Annual,Towns and suburbs,Percentage,Netherlands,37.3
Annual,Towns and suburbs,Percentage,Poland,16.9
Annual,Towns and suburbs,Percentage,Portugal,19.4
Annual,Towns and suburbs,Percentage,Romania,43.0
Annual,Towns and suburbs,Percentage,Sweden,49.8
Annual,Towns and suburbs,Percentage,Slovenia,20.4
Annual,Towns and suburbs,Percentage,Slovakia,41.2
Annual,Rural areas,Percentage,Austria,31.4
Annual,Rural areas,Percentage,Belgium,25.1
Annual,Rural areas,Percentage,Bulgaria,10.6
Annual,Rural areas,Percentage,Cyprus,18.0 u
Annual,Rural areas,Percentage,Czechia,21.3
Annual,Rural areas,Percentage,Germany,20.5
Annual,Rural areas,Percentage,Denmark,42.4
Annual,Rural areas,Percentage,Estonia,32.8
Annual,Rural areas,Percentage,Greece,22.6
Annual,Rural areas,Percentage,Spain,25.5
Annual,Rural areas,Percentage,European Union (aggregate changing according to the context),27.3 e
Annual,Rural areas,Percentage,Finland,47.9
Annual,Rural areas,Percentage,France,31.7
Annual,Rural areas,Percentage,Croatia,21.6
Annual,Rural areas,Percentage,Hungary,41.9
Annual,Rural areas,Percentage,Ireland,35.3
Annual,Rural areas,Percentage,Lithuania,23.8
Annual,Rural areas,Percentage,Luxembourg,45.3
Annual,Rural areas,Percentage,Latvia,23.0
Annual,Rural areas,Percentage,Malta,: u
Annual,Rural areas,Percentage,Netherlands,34.9
Annual,Rural areas,Percentage,Poland,12.6
Annual,Rural areas,Percentage,Portugal,17.3
Annual,Rural areas,Percentage,Romania,44.6
Annual,Rural areas,Percentage,Sweden,52.2
Annual,Rural areas,Percentage,Slovenia,20.6
Annual,Rural areas,Percentage,Slovakia,34.7
