Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Austria,25.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Belgium,28.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Bulgaria,12.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Cyprus,23.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Czechia,24.1 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Germany,30.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Denmark,44.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Estonia,38.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Greece,24.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Spain,20.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,European Union (aggregate changing according to the context),27.8 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Finland,43.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,France,24.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Croatia,15.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Hungary,52.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Ireland,40.5 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Lithuania,34.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Luxembourg,38.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Latvia,30.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Montenegro,10.4 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Malta,21.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Netherlands,28.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Poland,17.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Portugal,18.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Romania,53.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Serbia,18.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Sweden,50.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovenia,17.4 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovakia,41.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Kosovo*,10.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Austria,35.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Belgium,27.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Bulgaria,12.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Cyprus,34.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Czechia,21.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Germany,23.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Denmark,46.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Estonia,33.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Greece,33.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Spain,29.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,European Union (aggregate changing according to the context),29.1 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Finland,60.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,France,32.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Croatia,24.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Hungary,48.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Ireland,42.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Lithuania,26.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Luxembourg,47.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Latvia,25.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Montenegro,12.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,25.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,38.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,16.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,19.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,40.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Serbia,16.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,52.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,22.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,39.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Kosovo*,9.7
Annual,Tertiary education (levels 5-8),Percentage,Austria,42.7
Annual,Tertiary education (levels 5-8),Percentage,Belgium,31.0
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,11.0
Annual,Tertiary education (levels 5-8),Percentage,Cyprus,42.5
Annual,Tertiary education (levels 5-8),Percentage,Czechia,13.1
Annual,Tertiary education (levels 5-8),Percentage,Germany,25.6
Annual,Tertiary education (levels 5-8),Percentage,Denmark,50.3
Annual,Tertiary education (levels 5-8),Percentage,Estonia,31.0
Annual,Tertiary education (levels 5-8),Percentage,Greece,44.4
Annual,Tertiary education (levels 5-8),Percentage,Spain,34.5
Annual,Tertiary education (levels 5-8),Percentage,European Union (aggregate changing according to the context),34.0 e
Annual,Tertiary education (levels 5-8),Percentage,Finland,56.5
Annual,Tertiary education (levels 5-8),Percentage,France,42.4
Annual,Tertiary education (levels 5-8),Percentage,Croatia,29.3
Annual,Tertiary education (levels 5-8),Percentage,Hungary,48.5
Annual,Tertiary education (levels 5-8),Percentage,Ireland,39.5
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,23.1
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,47.8
Annual,Tertiary education (levels 5-8),Percentage,Latvia,24.0
Annual,Tertiary education (levels 5-8),Percentage,Montenegro,11.9 u
Annual,Tertiary education (levels 5-8),Percentage,Malta,27.9
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,50.4
Annual,Tertiary education (levels 5-8),Percentage,Poland,17.4
