Time frequency,Occurence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Adulthood,Percentage,Austria,35.7
Annual,Adulthood,Percentage,Belgium,29.1
Annual,Adulthood,Percentage,Bulgaria,11.9
Annual,Adulthood,Percentage,Cyprus,36.1
Annual,Adulthood,Percentage,Czechia,19.7
Annual,Adulthood,Percentage,Germany,25.6
Annual,Adulthood,Percentage,Denmark,47.5
Annual,Adulthood,Percentage,Estonia,33.1
Annual,Adulthood,Percentage,Greece,36.5
Annual,Adulthood,Percentage,Spain,28.2
Annual,Adulthood,Percentage,European Union (aggregate changing according to the context),30.7 e
Annual,Adulthood,Percentage,Finland,57.1
Annual,Adulthood,Percentage,France,34.5
Annual,Adulthood,Percentage,Croatia,25.3
Annual,Adulthood,Percentage,Hungary,49.1
Annual,Adulthood,Percentage,Ireland,40.7
Annual,Adulthood,Percentage,Italy,31.7 d
Annual,Adulthood,Percentage,Lithuania,25.2
Annual,Adulthood,Percentage,Luxembourg,45.4
Annual,Adulthood,Percentage,Latvia,25.1
Annual,Adulthood,Percentage,Montenegro,11.7
Annual,Adulthood,Percentage,Malta,24.4
Annual,Adulthood,Percentage,Netherlands,41.2
Annual,Adulthood,Percentage,Poland,16.7
Annual,Adulthood,Percentage,Portugal,19.7
Annual,Adulthood,Percentage,Romania,42.2
Annual,Adulthood,Percentage,Serbia,17.5
Annual,Adulthood,Percentage,Sweden,52.5
Annual,Adulthood,Percentage,Slovenia,22.5
Annual,Adulthood,Percentage,Slovakia,: u
Annual,Adulthood,Percentage,Kosovo*,10.3
Annual,Last 12 months,Percentage,Austria,2.1
Annual,Last 12 months,Percentage,Belgium,2.7
Annual,Last 12 months,Percentage,Bulgaria,2.9
Annual,Last 12 months,Percentage,Cyprus,4.6 u
Annual,Last 12 months,Percentage,Czechia,1.6 u
Annual,Last 12 months,Percentage,Germany,2.3
Annual,Last 12 months,Percentage,Denmark,4.0
Annual,Last 12 months,Percentage,Estonia,2.4
Annual,Last 12 months,Percentage,Greece,3.5
Annual,Last 12 months,Percentage,Spain,2.3
Annual,Last 12 months,Percentage,European Union (aggregate changing according to the context),3.3 e
Annual,Last 12 months,Percentage,Finland,4.4
Annual,Last 12 months,Percentage,France,2.6
Annual,Last 12 months,Percentage,Croatia,4.7
Annual,Last 12 months,Percentage,Hungary,5.0
Annual,Last 12 months,Percentage,Ireland,4.0 u
Annual,Last 12 months,Percentage,Italy,4.3 d
Annual,Last 12 months,Percentage,Lithuania,1.3 u
Annual,Last 12 months,Percentage,Luxembourg,5.3
Annual,Last 12 months,Percentage,Latvia,2.1
Annual,Last 12 months,Percentage,Montenegro,: u
Annual,Last 12 months,Percentage,Malta,1.8
Annual,Last 12 months,Percentage,Netherlands,3.7
Annual,Last 12 months,Percentage,Poland,: u
Annual,Last 12 months,Percentage,Portugal,1.7
Annual,Last 12 months,Percentage,Romania,9.3
Annual,Last 12 months,Percentage,Serbia,1.6
Annual,Last 12 months,Percentage,Sweden,5.0
Annual,Last 12 months,Percentage,Slovenia,2.0 u
Annual,Last 12 months,Percentage,Slovakia,: u
Annual,Last 12 months,Percentage,Kosovo*,0.5 u
Annual,Last 5 years,Percentage,Austria,8.9
Annual,Last 5 years,Percentage,Belgium,8.7
Annual,Last 5 years,Percentage,Bulgaria,5.9
Annual,Last 5 years,Percentage,Cyprus,13.9
Annual,Last 5 years,Percentage,Czechia,6.5
Annual,Last 5 years,Percentage,Germany,7.6
Annual,Last 5 years,Percentage,Denmark,14.0
Annual,Last 5 years,Percentage,Estonia,8.8
Annual,Last 5 years,Percentage,Greece,10.7
Annual,Last 5 years,Percentage,Spain,7.7
Annual,Last 5 years,Percentage,European Union (aggregate changing according to the context),9.8 e
Annual,Last 5 years,Percentage,Finland,14.9
Annual,Last 5 years,Percentage,France,8.8
Annual,Last 5 years,Percentage,Croatia,8.2
Annual,Last 5 years,Percentage,Hungary,15.2
Annual,Last 5 years,Percentage,Ireland,14.5
Annual,Last 5 years,Percentage,Italy,11.1 d
Annual,Last 5 years,Percentage,Lithuania,5.5
Annual,Last 5 years,Percentage,Luxembourg,14.6
Annual,Last 5 years,Percentage,Latvia,5.7
Annual,Last 5 years,Percentage,Montenegro,5.2
Annual,Last 5 years,Percentage,Malta,7.6
Annual,Last 5 years,Percentage,Netherlands,13.0
Annual,Last 5 years,Percentage,Poland,: u
Annual,Last 5 years,Percentage,Portugal,4.8
Annual,Last 5 years,Percentage,Romania,19.3
Annual,Last 5 years,Percentage,Serbia,5.2
Annual,Last 5 years,Percentage,Sweden,15.9
Annual,Last 5 years,Percentage,Slovenia,6.4
Annual,Last 5 years,Percentage,Slovakia,: u
Annual,Last 5 years,Percentage,Kosovo*,2.6 u
