Time frequency,Country/region of birth,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,EU-countries except reporting country,Percentage,Austria,39.7
Annual,EU-countries except reporting country,Percentage,Belgium,29.1
Annual,EU-countries except reporting country,Percentage,Bulgaria,: u
Annual,EU-countries except reporting country,Percentage,Cyprus,52.0
Annual,EU-countries except reporting country,Percentage,Czechia,: u
Annual,EU-countries except reporting country,Percentage,Germany,51.3 u
Annual,EU-countries except reporting country,Percentage,Denmark,49.4
Annual,EU-countries except reporting country,Percentage,Estonia,: u
Annual,EU-countries except reporting country,Percentage,Greece,42.4
Annual,EU-countries except reporting country,Percentage,Spain,33.5
Annual,EU-countries except reporting country,Percentage,European Union (aggregate changing according to the context),39.0 e
Annual,EU-countries except reporting country,Percentage,Finland,53.0
Annual,EU-countries except reporting country,Percentage,France,21.7
Annual,EU-countries except reporting country,Percentage,Croatia,: u
Annual,EU-countries except reporting country,Percentage,Hungary,: u
Annual,EU-countries except reporting country,Percentage,Ireland,35.8 u
Annual,EU-countries except reporting country,Percentage,Lithuania,: u
Annual,EU-countries except reporting country,Percentage,Luxembourg,47.3
Annual,EU-countries except reporting country,Percentage,Latvia,: u
Annual,EU-countries except reporting country,Percentage,Montenegro,: u
Annual,EU-countries except reporting country,Percentage,Malta,34.1 u
Annual,EU-countries except reporting country,Percentage,Netherlands,38.3 u
Annual,EU-countries except reporting country,Percentage,Poland,: u
Annual,EU-countries except reporting country,Percentage,Portugal,20.4 u
Annual,EU-countries except reporting country,Percentage,Romania,: u
Annual,EU-countries except reporting country,Percentage,Serbia,23.0 u
Annual,EU-countries except reporting country,Percentage,Sweden,53.2
Annual,EU-countries except reporting country,Percentage,Slovenia,: u
Annual,EU-countries except reporting country,Percentage,Slovakia,55.9
Annual,EU-countries except reporting country,Percentage,Kosovo*,: u
Annual,Reporting country,Percentage,Austria,38.0
Annual,Reporting country,Percentage,Belgium,32.3
Annual,Reporting country,Percentage,Bulgaria,20.5
Annual,Reporting country,Percentage,Cyprus,43.9
Annual,Reporting country,Percentage,Czechia,33.4
Annual,Reporting country,Percentage,Germany,30.0
Annual,Reporting country,Percentage,Denmark,45.3
Annual,Reporting country,Percentage,Estonia,43.1
Annual,Reporting country,Percentage,Greece,41.6
Annual,Reporting country,Percentage,Spain,27.5
Annual,Reporting country,Percentage,European Union (aggregate changing according to the context),32.4 e
Annual,Reporting country,Percentage,Finland,53.9
Annual,Reporting country,Percentage,France,31.6
Annual,Reporting country,Percentage,Croatia,28.7
Annual,Reporting country,Percentage,Hungary,55.1
Annual,Reporting country,Percentage,Ireland,32.3
Annual,Reporting country,Percentage,Lithuania,30.3
Annual,Reporting country,Percentage,Luxembourg,49.6
Annual,Reporting country,Percentage,Latvia,31.0
Annual,Reporting country,Percentage,Montenegro,20.6
Annual,Reporting country,Percentage,Malta,25.7
Annual,Reporting country,Percentage,Netherlands,33.5
Annual,Reporting country,Percentage,Poland,19.7
Annual,Reporting country,Percentage,Portugal,22.0
Annual,Reporting country,Percentage,Romania,48.8
Annual,Reporting country,Percentage,Serbia,21.2
Annual,Reporting country,Percentage,Sweden,48.4
Annual,Reporting country,Percentage,Slovenia,27.3
Annual,Reporting country,Percentage,Slovakia,50.7
Annual,Reporting country,Percentage,Kosovo*,26.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Austria,35.3
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Belgium,26.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Bulgaria,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Cyprus,43.2 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Czechia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Germany,56.0
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Denmark,38.4
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Estonia,28.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Greece,45.5
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Spain,33.5
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,European Union (aggregate changing according to the context),33.7 e
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Finland,33.7
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,France,21.8
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Croatia,22.8
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Hungary,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Ireland,45.6
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Lithuania,37.0
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Luxembourg,41.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Latvia,23.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Montenegro,16.6 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Malta,27.6
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Netherlands,31.3
