Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Austria,34.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Belgium,32.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Bulgaria,24.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Cyprus,40.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Czechia,37.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Germany,36.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Denmark,45.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Estonia,47.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Greece,32.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Spain,24.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,European Union (aggregate changing according to the context),32.3 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Finland,44.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,France,23.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Croatia,22.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Hungary,62.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Ireland,39.9 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Lithuania,44.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Luxembourg,44.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Latvia,33.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Montenegro,33.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Malta,24.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Netherlands,25.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Poland,26.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Portugal,21.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Romania,60.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Serbia,24.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Sweden,54.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovenia,24.4 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovakia,56.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Kosovo*,30.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Austria,37.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Belgium,30.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Bulgaria,21.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Cyprus,42.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Czechia,34.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Germany,32.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Denmark,45.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Estonia,43.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Greece,38.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Spain,32.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,European Union (aggregate changing according to the context),33.3 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Finland,55.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,France,29.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Croatia,28.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Hungary,53.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Ireland,32.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Lithuania,33.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Luxembourg,47.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Latvia,31.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Montenegro,17.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,25.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,32.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,19.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,23.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,47.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Serbia,21.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,50.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,28.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,52.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Kosovo*,22.6
Annual,Tertiary education (levels 5-8),Percentage,Austria,40.6
Annual,Tertiary education (levels 5-8),Percentage,Belgium,31.5
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,17.5
Annual,Tertiary education (levels 5-8),Percentage,Cyprus,47.4
Annual,Tertiary education (levels 5-8),Percentage,Czechia,30.7
Annual,Tertiary education (levels 5-8),Percentage,Germany,27.6
Annual,Tertiary education (levels 5-8),Percentage,Denmark,44.4
Annual,Tertiary education (levels 5-8),Percentage,Estonia,37.7
Annual,Tertiary education (levels 5-8),Percentage,Greece,48.8
Annual,Tertiary education (levels 5-8),Percentage,Spain,30.7
Annual,Tertiary education (levels 5-8),Percentage,European Union (aggregate changing according to the context),32.5 e
Annual,Tertiary education (levels 5-8),Percentage,Finland,51.8
Annual,Tertiary education (levels 5-8),Percentage,France,35.2
Annual,Tertiary education (levels 5-8),Percentage,Croatia,30.2
Annual,Tertiary education (levels 5-8),Percentage,Hungary,51.5
Annual,Tertiary education (levels 5-8),Percentage,Ireland,35.4
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,26.7
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,50.0
Annual,Tertiary education (levels 5-8),Percentage,Latvia,28.2
Annual,Tertiary education (levels 5-8),Percentage,Montenegro,16.4
Annual,Tertiary education (levels 5-8),Percentage,Malta,27.0
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,38.7
Annual,Tertiary education (levels 5-8),Percentage,Poland,18.6
Annual,Tertiary education (levels 5-8),Percentage,Portugal,23.3
Annual,Tertiary education (levels 5-8),Percentage,Romania,35.8
Annual,Tertiary education (levels 5-8),Percentage,Serbia,20.2
Annual,Tertiary education (levels 5-8),Percentage,Sweden,44.9
Annual,Tertiary education (levels 5-8),Percentage,Slovenia,29.1
Annual,Tertiary education (levels 5-8),Percentage,Slovakia,44.6
Annual,Tertiary education (levels 5-8),Percentage,Kosovo*,21.6
