Time frequency,Occurence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Adulthood,Percentage,Austria,37.8
Annual,Adulthood,Percentage,Belgium,31.3
Annual,Adulthood,Percentage,Bulgaria,20.5
Annual,Adulthood,Percentage,Cyprus,44.5
Annual,Adulthood,Percentage,Czechia,33.5
Annual,Adulthood,Percentage,Germany,31.9
Annual,Adulthood,Percentage,Denmark,45.0
Annual,Adulthood,Percentage,Estonia,41.2
Annual,Adulthood,Percentage,Greece,41.8
Annual,Adulthood,Percentage,Spain,28.6
Annual,Adulthood,Percentage,European Union (aggregate changing according to the context),31.8 e
Annual,Adulthood,Percentage,Finland,52.6
Annual,Adulthood,Percentage,France,30.2
Annual,Adulthood,Percentage,Croatia,28.1
Annual,Adulthood,Percentage,Hungary,54.6
Annual,Adulthood,Percentage,Ireland,35.0
Annual,Adulthood,Percentage,Lithuania,30.7
Annual,Adulthood,Percentage,Luxembourg,47.4
Annual,Adulthood,Percentage,Latvia,30.1
Annual,Adulthood,Percentage,Montenegro,20.2
Annual,Adulthood,Percentage,Malta,26.0
Annual,Adulthood,Percentage,Netherlands,33.4
Annual,Adulthood,Percentage,Poland,19.6
Annual,Adulthood,Percentage,Portugal,22.5
Annual,Adulthood,Percentage,Romania,48.9
Annual,Adulthood,Percentage,Serbia,21.6
Annual,Adulthood,Percentage,Sweden,48.2
Annual,Adulthood,Percentage,Slovenia,27.9
Annual,Adulthood,Percentage,Slovakia,50.8
Annual,Adulthood,Percentage,Kosovo*,25.6
Annual,Last 12 months,Percentage,Austria,5.6
Annual,Last 12 months,Percentage,Belgium,6.3
Annual,Last 12 months,Percentage,Bulgaria,4.6
Annual,Last 12 months,Percentage,Cyprus,10.0
Annual,Last 12 months,Percentage,Czechia,5.8
Annual,Last 12 months,Percentage,Germany,5.0
Annual,Last 12 months,Percentage,Denmark,6.5
Annual,Last 12 months,Percentage,Estonia,6.1
Annual,Last 12 months,Percentage,Greece,6.9
Annual,Last 12 months,Percentage,Spain,4.1
Annual,Last 12 months,Percentage,European Union (aggregate changing according to the context),5.3 e
Annual,Last 12 months,Percentage,Finland,12.0
Annual,Last 12 months,Percentage,France,4.3
Annual,Last 12 months,Percentage,Croatia,5.4
Annual,Last 12 months,Percentage,Hungary,7.6
Annual,Last 12 months,Percentage,Ireland,5.2 u
Annual,Last 12 months,Percentage,Lithuania,4.3
Annual,Last 12 months,Percentage,Luxembourg,10.5
Annual,Last 12 months,Percentage,Latvia,4.2
Annual,Last 12 months,Percentage,Montenegro,2.9 u
Annual,Last 12 months,Percentage,Malta,3.5
Annual,Last 12 months,Percentage,Netherlands,5.0
Annual,Last 12 months,Percentage,Poland,2.8
Annual,Last 12 months,Percentage,Portugal,3.5
Annual,Last 12 months,Percentage,Romania,11.7
Annual,Last 12 months,Percentage,Serbia,2.3
Annual,Last 12 months,Percentage,Sweden,6.9
Annual,Last 12 months,Percentage,Slovenia,4.9
Annual,Last 12 months,Percentage,Slovakia,11.0
Annual,Last 12 months,Percentage,Kosovo*,6.2
Annual,Last 5 years,Percentage,Austria,13.9
Annual,Last 5 years,Percentage,Belgium,13.0
Annual,Last 5 years,Percentage,Bulgaria,10.1
Annual,Last 5 years,Percentage,Cyprus,21.2
Annual,Last 5 years,Percentage,Czechia,14.6
Annual,Last 5 years,Percentage,Germany,12.5
Annual,Last 5 years,Percentage,Denmark,16.7
Annual,Last 5 years,Percentage,Estonia,14.6
Annual,Last 5 years,Percentage,Greece,16.3
Annual,Last 5 years,Percentage,Spain,10.9
Annual,Last 5 years,Percentage,European Union (aggregate changing according to the context),12.9 e
Annual,Last 5 years,Percentage,Finland,25.4
Annual,Last 5 years,Percentage,France,11.4
Annual,Last 5 years,Percentage,Croatia,11.1
Annual,Last 5 years,Percentage,Hungary,20.1
Annual,Last 5 years,Percentage,Ireland,14.2
Annual,Last 5 years,Percentage,Lithuania,9.9
Annual,Last 5 years,Percentage,Luxembourg,21.5
Annual,Last 5 years,Percentage,Latvia,9.8
Annual,Last 5 years,Percentage,Montenegro,15.9
Annual,Last 5 years,Percentage,Malta,9.7
Annual,Last 5 years,Percentage,Netherlands,12.7
Annual,Last 5 years,Percentage,Poland,7.7
Annual,Last 5 years,Percentage,Portugal,7.6
Annual,Last 5 years,Percentage,Romania,23.6
Annual,Last 5 years,Percentage,Serbia,7.0
Annual,Last 5 years,Percentage,Sweden,17.4
Annual,Last 5 years,Percentage,Slovenia,11.1
Annual,Last 5 years,Percentage,Slovakia,16.9
Annual,Last 5 years,Percentage,Kosovo*,10.5
