Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Austria,17.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Belgium,17.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Bulgaria,4.2 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Cyprus,7.2 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Czechia,15.9 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Germany,15.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Denmark,34.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Estonia,21.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Greece,12.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Spain,11.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,European Union (aggregate changing according to the context),15.1 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Finland,33.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,France,15.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Croatia,9.4 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Hungary,20.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Ireland,: u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Lithuania,14.5 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Luxembourg,28.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Latvia,13.8 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Montenegro,: u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Malta,11.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Netherlands,23.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Poland,7.1 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Portugal,9.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Romania,16.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Serbia,8.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Sweden,39.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovenia,11.8 u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Slovakia,16.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,Kosovo*,5.0 u
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Austria,26.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Belgium,16.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Bulgaria,6.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Cyprus,14.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Czechia,9.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Germany,11.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Denmark,36.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Estonia,20.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Greece,22.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Spain,20.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,European Union (aggregate changing according to the context),16.9 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Finland,50.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,France,23.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Croatia,17.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Hungary,17.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Ireland,29.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Lithuania,12.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Luxembourg,33.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Latvia,12.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Montenegro,6.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,15.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,33.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,7.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,13.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,12.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Serbia,9.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,40.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,15.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,18.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Kosovo*,6.2 u
Annual,Tertiary education (levels 5-8),Percentage,Austria,36.2
Annual,Tertiary education (levels 5-8),Percentage,Belgium,22.8
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,5.9
Annual,Tertiary education (levels 5-8),Percentage,Cyprus,17.8
Annual,Tertiary education (levels 5-8),Percentage,Czechia,6.8 u
Annual,Tertiary education (levels 5-8),Percentage,Germany,18.0
Annual,Tertiary education (levels 5-8),Percentage,Denmark,42.1
Annual,Tertiary education (levels 5-8),Percentage,Estonia,20.7
Annual,Tertiary education (levels 5-8),Percentage,Greece,32.0
Annual,Tertiary education (levels 5-8),Percentage,Spain,27.2
Annual,Tertiary education (levels 5-8),Percentage,European Union (aggregate changing according to the context),25.4 e
Annual,Tertiary education (levels 5-8),Percentage,Finland,45.3
Annual,Tertiary education (levels 5-8),Percentage,France,34.2
Annual,Tertiary education (levels 5-8),Percentage,Croatia,23.1
Annual,Tertiary education (levels 5-8),Percentage,Hungary,21.8
Annual,Tertiary education (levels 5-8),Percentage,Ireland,28.2
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,14.9
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,36.7
Annual,Tertiary education (levels 5-8),Percentage,Latvia,15.7
Annual,Tertiary education (levels 5-8),Percentage,Montenegro,7.5 u
Annual,Tertiary education (levels 5-8),Percentage,Malta,18.8
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,43.9
Annual,Tertiary education (levels 5-8),Percentage,Poland,10.2
Annual,Tertiary education (levels 5-8),Percentage,Portugal,17.4
Annual,Tertiary education (levels 5-8),Percentage,Romania,15.0 u
Annual,Tertiary education (levels 5-8),Percentage,Serbia,13.6
Annual,Tertiary education (levels 5-8),Percentage,Sweden,43.8
Annual,Tertiary education (levels 5-8),Percentage,Slovenia,19.9
Annual,Tertiary education (levels 5-8),Percentage,Slovakia,14.2
Annual,Tertiary education (levels 5-8),Percentage,Kosovo*,7.4 u
