Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Family member or relative - male or female,Percentage,Austria,6.1
Annual,Family member or relative - male or female,Percentage,Belgium,5.5
Annual,Family member or relative - male or female,Percentage,Bulgaria,2.4
Annual,Family member or relative - male or female,Percentage,Cyprus,3.3 u
Annual,Family member or relative - male or female,Percentage,Czechia,1.5 u
Annual,Family member or relative - male or female,Percentage,Germany,2.9
Annual,Family member or relative - male or female,Percentage,Denmark,7.0
Annual,Family member or relative - male or female,Percentage,Estonia,3.0
Annual,Family member or relative - male or female,Percentage,Greece,6.3
Annual,Family member or relative - male or female,Percentage,Spain,3.3
Annual,Family member or relative - male or female,Percentage,European Union (aggregate changing according to the context),4.0 e
Annual,Family member or relative - male or female,Percentage,Finland,6.5
Annual,Family member or relative - male or female,Percentage,France,5.4
Annual,Family member or relative - male or female,Percentage,Croatia,2.8
Annual,Family member or relative - male or female,Percentage,Hungary,5.7
Annual,Family member or relative - male or female,Percentage,Ireland,4.8 u
Annual,Family member or relative - male or female,Percentage,Lithuania,2.1
Annual,Family member or relative - male or female,Percentage,Luxembourg,9.6
Annual,Family member or relative - male or female,Percentage,Latvia,2.0
Annual,Family member or relative - male or female,Percentage,Montenegro,: u
Annual,Family member or relative - male or female,Percentage,Malta,3.5
Annual,Family member or relative - male or female,Percentage,Netherlands,6.5
Annual,Family member or relative - male or female,Percentage,Poland,1.8
Annual,Family member or relative - male or female,Percentage,Portugal,2.8
Annual,Family member or relative - male or female,Percentage,Romania,5.0
Annual,Family member or relative - male or female,Percentage,Serbia,2.1
Annual,Family member or relative - male or female,Percentage,Sweden,7.4
Annual,Family member or relative - male or female,Percentage,Slovenia,4.7
Annual,Family member or relative - male or female,Percentage,Slovakia,3.8
Annual,Family member or relative - male or female,Percentage,Kosovo*,1.7 u
Annual,Family member or relative - male,Percentage,Austria,5.3
Annual,Family member or relative - male,Percentage,Belgium,4.1
Annual,Family member or relative - male,Percentage,Bulgaria,2.1
Annual,Family member or relative - male,Percentage,Cyprus,2.5 u
Annual,Family member or relative - male,Percentage,Czechia,1.2 u
Annual,Family member or relative - male,Percentage,Germany,2.4
Annual,Family member or relative - male,Percentage,Denmark,5.8
Annual,Family member or relative - male,Percentage,Estonia,2.3
Annual,Family member or relative - male,Percentage,Greece,5.0
Annual,Family member or relative - male,Percentage,Spain,2.9
Annual,Family member or relative - male,Percentage,European Union (aggregate changing according to the context),3.3 e
Annual,Family member or relative - male,Percentage,Finland,4.8
Annual,Family member or relative - male,Percentage,France,4.4
Annual,Family member or relative - male,Percentage,Croatia,2.4
Annual,Family member or relative - male,Percentage,Hungary,4.6
Annual,Family member or relative - male,Percentage,Ireland,3.9 u
Annual,Family member or relative - male,Percentage,Lithuania,1.7
Annual,Family member or relative - male,Percentage,Luxembourg,8.1
Annual,Family member or relative - male,Percentage,Latvia,1.5
Annual,Family member or relative - male,Percentage,Montenegro,: u
Annual,Family member or relative - male,Percentage,Malta,2.9
Annual,Family member or relative - male,Percentage,Netherlands,5.6
Annual,Family member or relative - male,Percentage,Poland,1.6
Annual,Family member or relative - male,Percentage,Portugal,2.3
Annual,Family member or relative - male,Percentage,Romania,3.8
Annual,Family member or relative - male,Percentage,Serbia,1.0 u
Annual,Family member or relative - male,Percentage,Sweden,6.2
Annual,Family member or relative - male,Percentage,Slovenia,4.6
Annual,Family member or relative - male,Percentage,Slovakia,3.3
Annual,Family member or relative - male,Percentage,Kosovo*,1.2 u
Annual,Any known - male or female,Percentage,Austria,18.6
Annual,Any known - male or female,Percentage,Belgium,14.0
Annual,Any known - male or female,Percentage,Bulgaria,4.7
Annual,Any known - male or female,Percentage,Cyprus,11.9
Annual,Any known - male or female,Percentage,Czechia,7.3
Annual,Any known - male or female,Percentage,Germany,11.2
Annual,Any known - male or female,Percentage,Denmark,25.5
Annual,Any known - male or female,Percentage,Estonia,12.9
Annual,Any known - male or female,Percentage,Greece,16.2
Annual,Any known - male or female,Percentage,Spain,12.4
Annual,Any known - male or female,Percentage,European Union (aggregate changing according to the context),13.4 e
Annual,Any known - male or female,Percentage,Finland,28.5
Annual,Any known - male or female,Percentage,France,17.2
Annual,Any known - male or female,Percentage,Croatia,11.5
Annual,Any known - male or female,Percentage,Hungary,16.1
Annual,Any known - male or female,Percentage,Ireland,17.5
Annual,Any known - male or female,Percentage,Lithuania,8.3
Annual,Any known - male or female,Percentage,Luxembourg,25.8
Annual,Any known - male or female,Percentage,Latvia,6.5
Annual,Any known - male or female,Percentage,Montenegro,4.1
Annual,Any known - male or female,Percentage,Malta,10.9
Annual,Any known - male or female,Percentage,Netherlands,20.2
Annual,Any known - male or female,Percentage,Poland,4.9
Annual,Any known - male or female,Percentage,Portugal,8.4
Annual,Any known - male or female,Percentage,Romania,12.2
Annual,Any known - male or female,Percentage,Serbia,7.9
Annual,Any known - male or female,Percentage,Sweden,29.4
Annual,Any known - male or female,Percentage,Slovenia,11.7
Annual,Any known - male or female,Percentage,Slovakia,14.7
Annual,Any known - male or female,Percentage,Kosovo*,4.3
Annual,Any known - male,Percentage,Austria,17.2
Annual,Any known - male,Percentage,Belgium,11.6
Annual,Any known - male,Percentage,Bulgaria,4.3
Annual,Any known - male,Percentage,Cyprus,10.8
Annual,Any known - male,Percentage,Czechia,6.5
Annual,Any known - male,Percentage,Germany,10.2
Annual,Any known - male,Percentage,Denmark,23.8
Annual,Any known - male,Percentage,Estonia,11.3
Annual,Any known - male,Percentage,Greece,14.3
Annual,Any known - male,Percentage,Spain,10.7
Annual,Any known - male,Percentage,European Union (aggregate changing according to the context),11.9 e
Annual,Any known - male,Percentage,Finland,25.5
Annual,Any known - male,Percentage,France,15.1
Annual,Any known - male,Percentage,Croatia,10.6
Annual,Any known - male,Percentage,Hungary,14.4
Annual,Any known - male,Percentage,Ireland,14.8
Annual,Any known - male,Percentage,Lithuania,7.3
Annual,Any known - male,Percentage,Luxembourg,23.6
Annual,Any known - male,Percentage,Latvia,5.1
Annual,Any known - male,Percentage,Montenegro,2.8 u
Annual,Any known - male,Percentage,Malta,8.4
Annual,Any known - male,Percentage,Netherlands,18.2
Annual,Any known - male,Percentage,Poland,4.3
Annual,Any known - male,Percentage,Portugal,6.2
Annual,Any known - male,Percentage,Romania,9.6
Annual,Any known - male,Percentage,Serbia,4.5
Annual,Any known - male,Percentage,Sweden,28.4
Annual,Any known - male,Percentage,Slovenia,10.7
Annual,Any known - male,Percentage,Slovakia,13.3
Annual,Any known - male,Percentage,Kosovo*,2.5
Annual,Other known (non-family or relative) - male or female,Percentage,Austria,15.1
Annual,Other known (non-family or relative) - male or female,Percentage,Belgium,10.2
