Time frequency,Frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Repeated,Percentage,Austria,10.2
Annual,Repeated,Percentage,Belgium,15.8
Annual,Repeated,Percentage,Bulgaria,5.0
Annual,Repeated,Percentage,Cyprus,25.6
Annual,Repeated,Percentage,Czechia,19.5
Annual,Repeated,Percentage,Germany,26.1
Annual,Repeated,Percentage,Denmark,25.4
Annual,Repeated,Percentage,Estonia,8.5 u
Annual,Repeated,Percentage,Greece,26.3
Annual,Repeated,Percentage,Spain,16.6
Annual,Repeated,Percentage,European Union (aggregate changing according to the context),18.4 e
Annual,Repeated,Percentage,Finland,25.5
Annual,Repeated,Percentage,France,17.3
Annual,Repeated,Percentage,Croatia,17.1
Annual,Repeated,Percentage,Hungary,28.2
Annual,Repeated,Percentage,Ireland,29.9
Annual,Repeated,Percentage,Lithuania,8.5
Annual,Repeated,Percentage,Luxembourg,27.8
Annual,Repeated,Percentage,Latvia,5.4
Annual,Repeated,Percentage,Montenegro,8.9
Annual,Repeated,Percentage,Malta,18.0
Annual,Repeated,Percentage,Netherlands,10.5 u
Annual,Repeated,Percentage,Poland,4.2 u
Annual,Repeated,Percentage,Portugal,6.9
Annual,Repeated,Percentage,Romania,17.5
Annual,Repeated,Percentage,Serbia,9.9
Annual,Repeated,Percentage,Sweden,33.4
Annual,Repeated,Percentage,Slovenia,13.0
Annual,Repeated,Percentage,Slovakia,40.7
Annual,Repeated,Percentage,Kosovo*,13.3
Annual,Once (one time),Percentage,Austria,16.0
Annual,Once (one time),Percentage,Belgium,14.5
Annual,Once (one time),Percentage,Bulgaria,4.6
Annual,Once (one time),Percentage,Cyprus,13.5
Annual,Once (one time),Percentage,Czechia,6.9
Annual,Once (one time),Percentage,Germany,5.9
Annual,Once (one time),Percentage,Denmark,16.1
Annual,Once (one time),Percentage,Estonia,11.3 u
Annual,Once (one time),Percentage,Greece,15.6
Annual,Once (one time),Percentage,Spain,9.7
Annual,Once (one time),Percentage,European Union (aggregate changing according to the context),11.0 e
Annual,Once (one time),Percentage,Finland,26.5
Annual,Once (one time),Percentage,France,18.7
Annual,Once (one time),Percentage,Croatia,13.2
Annual,Once (one time),Percentage,Hungary,11.3
Annual,Once (one time),Percentage,Ireland,13.6
Annual,Once (one time),Percentage,Lithuania,7.9
Annual,Once (one time),Percentage,Luxembourg,24.0
Annual,Once (one time),Percentage,Latvia,5.2
Annual,Once (one time),Percentage,Montenegro,6.6
Annual,Once (one time),Percentage,Malta,8.5
Annual,Once (one time),Percentage,Netherlands,9.6 u
Annual,Once (one time),Percentage,Poland,4.9 u
Annual,Once (one time),Percentage,Portugal,5.0
Annual,Once (one time),Percentage,Romania,14.1
Annual,Once (one time),Percentage,Serbia,8.4
Annual,Once (one time),Percentage,Sweden,21.0
Annual,Once (one time),Percentage,Slovenia,17.0
Annual,Once (one time),Percentage,Slovakia,12.3
Annual,Once (one time),Percentage,Kosovo*,8.1 u
