Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Boss - male,Percentage,Austria,7.3
Annual,Boss - male,Percentage,Belgium,7.9
Annual,Boss - male,Percentage,Bulgaria,1.4
Annual,Boss - male,Percentage,Cyprus,7.3
Annual,Boss - male,Percentage,Czechia,5.6
Annual,Boss - male,Percentage,Germany,6.2
Annual,Boss - male,Percentage,Denmark,16.3
Annual,Boss - male,Percentage,Estonia,5.3 u
Annual,Boss - male,Percentage,Greece,17.8
Annual,Boss - male,Percentage,Spain,9.0
Annual,Boss - male,Percentage,European Union (aggregate changing according to the context),7.4 e
Annual,Boss - male,Percentage,Finland,10.4
Annual,Boss - male,Percentage,France,11.9
Annual,Boss - male,Percentage,Croatia,8.1
Annual,Boss - male,Percentage,Hungary,5.2
Annual,Boss - male,Percentage,Ireland,9.0
Annual,Boss - male,Percentage,Italy,3.21 d
Annual,Boss - male,Percentage,Lithuania,3.6
Annual,Boss - male,Percentage,Luxembourg,18.4
Annual,Boss - male,Percentage,Latvia,2.1
Annual,Boss - male,Percentage,Montenegro,2.2 u
Annual,Boss - male,Percentage,Malta,6.8
Annual,Boss - male,Percentage,Netherlands,9.1 u
Annual,Boss - male,Percentage,Poland,3.1
Annual,Boss - male,Percentage,Portugal,4.3
Annual,Boss - male,Percentage,Romania,5.4
Annual,Boss - male,Percentage,Serbia,3.1
Annual,Boss - male,Percentage,Sweden,14.2
Annual,Boss - male,Percentage,Slovenia,5.9 u
Annual,Boss - male,Percentage,Slovakia,5.5 u
Annual,Boss - male,Percentage,Kosovo*,: u
Annual,Co-worker - male,Percentage,Austria,11.6
Annual,Co-worker - male,Percentage,Belgium,12.6
Annual,Co-worker - male,Percentage,Bulgaria,5.3
Annual,Co-worker - male,Percentage,Cyprus,19.4
Annual,Co-worker - male,Percentage,Czechia,15.8
Annual,Co-worker - male,Percentage,Germany,20.4
Annual,Co-worker - male,Percentage,Denmark,29.5
Annual,Co-worker - male,Percentage,Estonia,10.8 u
Annual,Co-worker - male,Percentage,Greece,19.2
Annual,Co-worker - male,Percentage,Spain,13.0
Annual,Co-worker - male,Percentage,European Union (aggregate changing according to the context),15.8 e
Annual,Co-worker - male,Percentage,Finland,25.8
Annual,Co-worker - male,Percentage,France,18.9
Annual,Co-worker - male,Percentage,Croatia,14.8
Annual,Co-worker - male,Percentage,Hungary,25.9
Annual,Co-worker - male,Percentage,Ireland,24.8
Annual,Co-worker - male,Percentage,Italy,5.05 d
Annual,Co-worker - male,Percentage,Lithuania,6.2
Annual,Co-worker - male,Percentage,Luxembourg,27.0
Annual,Co-worker - male,Percentage,Latvia,4.1
Annual,Co-worker - male,Percentage,Montenegro,5.7
Annual,Co-worker - male,Percentage,Malta,15.5
Annual,Co-worker - male,Percentage,Netherlands,22.5 u
Annual,Co-worker - male,Percentage,Poland,6.5
Annual,Co-worker - male,Percentage,Portugal,4.8
Annual,Co-worker - male,Percentage,Romania,19.3
Annual,Co-worker - male,Percentage,Serbia,9.0
Annual,Co-worker - male,Percentage,Sweden,33.8
Annual,Co-worker - male,Percentage,Slovenia,8.7 u
Annual,Co-worker - male,Percentage,Slovakia,15.6 u
Annual,Co-worker - male,Percentage,Kosovo*,9.1
Annual,Other work-related - male,Percentage,Austria,11.3
Annual,Other work-related - male,Percentage,Belgium,13.8
Annual,Other work-related - male,Percentage,Bulgaria,3.6
Annual,Other work-related - male,Percentage,Cyprus,11.5
Annual,Other work-related - male,Percentage,Czechia,6.8
Annual,Other work-related - male,Percentage,Germany,9.0
Annual,Other work-related - male,Percentage,Denmark,16.8
Annual,Other work-related - male,Percentage,Estonia,10.2 u
Annual,Other work-related - male,Percentage,Greece,15.7
Annual,Other work-related - male,Percentage,Spain,9.3
Annual,Other work-related - male,Percentage,European Union (aggregate changing according to the context),9.3 e
Annual,Other work-related - male,Percentage,Finland,33.0
Annual,Other work-related - male,Percentage,France,13.9
Annual,Other work-related - male,Percentage,Croatia,14.2
Annual,Other work-related - male,Percentage,Hungary,13.1
Annual,Other work-related - male,Percentage,Ireland,15.4
Annual,Other work-related - male,Percentage,Italy,3.6 d
Annual,Other work-related - male,Percentage,Lithuania,3.1
Annual,Other work-related - male,Percentage,Luxembourg,17.5
Annual,Other work-related - male,Percentage,Latvia,3.7
Annual,Other work-related - male,Percentage,Montenegro,4.2 u
Annual,Other work-related - male,Percentage,Malta,5.1
Annual,Other work-related - male,Percentage,Netherlands,: u
Annual,Other work-related - male,Percentage,Poland,2.9
Annual,Other work-related - male,Percentage,Portugal,4.1
Annual,Other work-related - male,Percentage,Romania,6.2
Annual,Other work-related - male,Percentage,Serbia,7.5
Annual,Other work-related - male,Percentage,Sweden,24.8
Annual,Other work-related - male,Percentage,Slovenia,11.3 u
Annual,Other work-related - male,Percentage,Slovakia,13.1 u
Annual,Other work-related - male,Percentage,Kosovo*,7.4 u
Annual,Perpetrators - male,Percentage,Austria,25.7
Annual,Perpetrators - male,Percentage,Belgium,29.1
Annual,Perpetrators - male,Percentage,Bulgaria,10.7
Annual,Perpetrators - male,Percentage,Cyprus,35.1
Annual,Perpetrators - male,Percentage,Czechia,24.3
Annual,Perpetrators - male,Percentage,Germany,30.9
Annual,Perpetrators - male,Percentage,Denmark,43.9
