Time frequency,Occurence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Adulthood,Percentage,Austria,21.9
Annual,Adulthood,Percentage,Belgium,22.7
Annual,Adulthood,Percentage,Bulgaria,10.4
Annual,Adulthood,Percentage,Cyprus,25.8
Annual,Adulthood,Percentage,Czechia,12.2
Annual,Adulthood,Percentage,Germany,13.8
Annual,Adulthood,Percentage,Denmark,23.5
Annual,Adulthood,Percentage,Estonia,18.3
Annual,Adulthood,Percentage,Greece,26.1
Annual,Adulthood,Percentage,Spain,19.2
Annual,Adulthood,Percentage,European Union (aggregate changing according to the context),18.5 e
Annual,Adulthood,Percentage,Finland,29.7
Annual,Adulthood,Percentage,France,23.8
Annual,Adulthood,Percentage,Croatia,18.5
Annual,Adulthood,Percentage,Hungary,22.2
Annual,Adulthood,Percentage,Ireland,21.7
Annual,Adulthood,Percentage,Lithuania,8.5
Annual,Adulthood,Percentage,Luxembourg,27.0
Annual,Adulthood,Percentage,Latvia,10.2
Annual,Adulthood,Percentage,Montenegro,11.4
Annual,Adulthood,Percentage,Malta,25.2
Annual,Adulthood,Percentage,Netherlands,21.6
Annual,Adulthood,Percentage,Poland,10.6
Annual,Adulthood,Percentage,Portugal,23.8
Annual,Adulthood,Percentage,Romania,13.3
Annual,Adulthood,Percentage,Serbia,13.8
Annual,Adulthood,Percentage,Sweden,29.4
Annual,Adulthood,Percentage,Slovenia,19.3
Annual,Adulthood,Percentage,Slovakia,32.4
Annual,Adulthood,Percentage,Kosovo*,4.8
Annual,Last 12 months,Percentage,Austria,1.9 u
Annual,Last 12 months,Percentage,Belgium,4.3
Annual,Last 12 months,Percentage,Bulgaria,3.0
Annual,Last 12 months,Percentage,Cyprus,3.8 u
Annual,Last 12 months,Percentage,Czechia,2.4 u
Annual,Last 12 months,Percentage,Germany,2.2 u
Annual,Last 12 months,Percentage,Denmark,3.1
Annual,Last 12 months,Percentage,Estonia,3.2
Annual,Last 12 months,Percentage,Greece,3.6
Annual,Last 12 months,Percentage,Spain,3.1
Annual,Last 12 months,Percentage,European Union (aggregate changing according to the context),2.8 e
Annual,Last 12 months,Percentage,Finland,4.1
Annual,Last 12 months,Percentage,France,3.6
Annual,Last 12 months,Percentage,Croatia,2.8
Annual,Last 12 months,Percentage,Hungary,2.2 u
Annual,Last 12 months,Percentage,Ireland,3.5 u
Annual,Last 12 months,Percentage,Lithuania,1.1 u
Annual,Last 12 months,Percentage,Luxembourg,4.0
Annual,Last 12 months,Percentage,Latvia,2.1
Annual,Last 12 months,Percentage,Montenegro,2.7 u
Annual,Last 12 months,Percentage,Malta,3.6
Annual,Last 12 months,Percentage,Netherlands,2.9 u
Annual,Last 12 months,Percentage,Poland,1.1 u
Annual,Last 12 months,Percentage,Portugal,3.1
Annual,Last 12 months,Percentage,Romania,2.2 u
Annual,Last 12 months,Percentage,Serbia,1.9 u
Annual,Last 12 months,Percentage,Sweden,4.4
Annual,Last 12 months,Percentage,Slovenia,3.3 u
Annual,Last 12 months,Percentage,Slovakia,4.8
Annual,Last 12 months,Percentage,Kosovo*,: u
Annual,Last 5 years,Percentage,Austria,5.7 u
Annual,Last 5 years,Percentage,Belgium,9.5
Annual,Last 5 years,Percentage,Bulgaria,5.7
Annual,Last 5 years,Percentage,Cyprus,9.4
Annual,Last 5 years,Percentage,Czechia,7.0
Annual,Last 5 years,Percentage,Germany,7.0
Annual,Last 5 years,Percentage,Denmark,8.5
Annual,Last 5 years,Percentage,Estonia,7.7
Annual,Last 5 years,Percentage,Greece,9.2
Annual,Last 5 years,Percentage,Spain,7.8
Annual,Last 5 years,Percentage,European Union (aggregate changing according to the context),7.3 e
Annual,Last 5 years,Percentage,Finland,10.2
Annual,Last 5 years,Percentage,France,8.3
Annual,Last 5 years,Percentage,Croatia,7.1
Annual,Last 5 years,Percentage,Hungary,7.7
Annual,Last 5 years,Percentage,Ireland,9.2
Annual,Last 5 years,Percentage,Lithuania,3.3
Annual,Last 5 years,Percentage,Luxembourg,10.4
Annual,Last 5 years,Percentage,Latvia,5.0
Annual,Last 5 years,Percentage,Montenegro,6.2
Annual,Last 5 years,Percentage,Malta,9.6
Annual,Last 5 years,Percentage,Netherlands,6.6 u
Annual,Last 5 years,Percentage,Poland,2.9 u
Annual,Last 5 years,Percentage,Portugal,9.0
Annual,Last 5 years,Percentage,Romania,5.8
Annual,Last 5 years,Percentage,Serbia,5.7
Annual,Last 5 years,Percentage,Sweden,11.4
Annual,Last 5 years,Percentage,Slovenia,7.0
Annual,Last 5 years,Percentage,Slovakia,13.9
Annual,Last 5 years,Percentage,Kosovo*,2.4 u
