Time frequency,Unit of measure,Frequency,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,1.1,0.6
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,2.0 u,0.9
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,4.4,3.0
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,0.9,1.2
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,2.5,2.3
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,1.5,1.8
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,0.9,0.5
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,0.3,0.6
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,0.6,1.6
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,1.6,1.6
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),1.4,1.3
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,0.4,:
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,France,:,1.3
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,1.6,0.7
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,1.2,2.2
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,0.1,0.5
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,0.3,0.3
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,2.2 d,1.2
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,0.3,0.0
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,1.2,1.0
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,0.5,0.3
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,1.3,1.4
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,1.6
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,0.3,0.2
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,0.6,0.3
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,2.0,2.4
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,1.0,1.2
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,0.4 u
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,0.4,0.2
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,1.8,0.7
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,0.4,1.1
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,0.3,0.3
Annual,Percentage,Every day,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,1.1,:
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,13.5,14.0
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,10.4 u,11.6
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,12.4,13.2
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,9.4,18.9
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,13.3,16.4
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,15.0,14.3
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,17.4,17.0
