Time frequency,Unit of measure,Income quantile,Frequency,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Total,At least once a week,Total,Total,Austria,2.4,2.3
Annual,Percentage,Total,At least once a week,Total,Total,Belgium,8.5 u,7.6
Annual,Percentage,Total,At least once a week,Total,Total,Bulgaria,2.1,1.7
Annual,Percentage,Total,At least once a week,Total,Total,Cyprus,0.7,0.4
Annual,Percentage,Total,At least once a week,Total,Total,Czechia,2.1,3.9
Annual,Percentage,Total,At least once a week,Total,Total,Germany,9.3,5.0
Annual,Percentage,Total,At least once a week,Total,Total,Denmark,9.5,9.1
Annual,Percentage,Total,At least once a week,Total,Total,Estonia,5.2 u,2.9
Annual,Percentage,Total,At least once a week,Total,Total,Greece,1.4,0.3
Annual,Percentage,Total,At least once a week,Total,Total,Spain,2.6,1.6
Annual,Percentage,Total,At least once a week,Total,Total,European Union - 27 countries (from 2020),4.9,3.7
Annual,Percentage,Total,At least once a week,Total,Total,European Union - 28 countries (2013-2020),5.5 e,:
Annual,Percentage,Total,At least once a week,Total,Total,Finland,11.0,:
Annual,Percentage,Total,At least once a week,Total,Total,France,:,4.1
Annual,Percentage,Total,At least once a week,Total,Total,Croatia,1.8,4.0
Annual,Percentage,Total,At least once a week,Total,Total,Hungary,2.1,3.7
Annual,Percentage,Total,At least once a week,Total,Total,Ireland,13.3,5.6
Annual,Percentage,Total,At least once a week,Total,Total,Iceland,2.1,1.5
Annual,Percentage,Total,At least once a week,Total,Total,Italy,1.0 d,0.9
Annual,Percentage,Total,At least once a week,Total,Total,Lithuania,2.7,2.5
Annual,Percentage,Total,At least once a week,Total,Total,Luxembourg,11.2,10.5
Annual,Percentage,Total,At least once a week,Total,Total,Latvia,0.9,2.7
Annual,Percentage,Total,At least once a week,Total,Total,Malta,7.4,5.0
Annual,Percentage,Total,At least once a week,Total,Total,Netherlands,:,5.9
Annual,Percentage,Total,At least once a week,Total,Total,Norway,2.3,11.0
Annual,Percentage,Total,At least once a week,Total,Total,Poland,2.8,1.1
Annual,Percentage,Total,At least once a week,Total,Total,Portugal,2.5,4.0
Annual,Percentage,Total,At least once a week,Total,Total,Romania,10.6,11.1
Annual,Percentage,Total,At least once a week,Total,Total,Serbia,:,1.7
Annual,Percentage,Total,At least once a week,Total,Total,Sweden,4.2,3.8
Annual,Percentage,Total,At least once a week,Total,Total,Slovenia,3.3,4.5
Annual,Percentage,Total,At least once a week,Total,Total,Slovakia,1.4,1.4
Annual,Percentage,Total,At least once a week,Total,Total,Türkiye,1.4,0.4
Annual,Percentage,Total,At least once a week,Total,Total,United Kingdom,9.7,:
Annual,Percentage,Total,Less than once a month,Total,Total,Austria,22.2,24.6
Annual,Percentage,Total,Less than once a month,Total,Total,Belgium,19.2 u,19.0
Annual,Percentage,Total,Less than once a month,Total,Total,Bulgaria,14.9,15.0
Annual,Percentage,Total,Less than once a month,Total,Total,Cyprus,6.4,7.7
Annual,Percentage,Total,Less than once a month,Total,Total,Czechia,25.5,30.2
Annual,Percentage,Total,Less than once a month,Total,Total,Germany,27.1,22.4
Annual,Percentage,Total,Less than once a month,Total,Total,Denmark,35.1,33.9
Annual,Percentage,Total,Less than once a month,Total,Total,Estonia,29.4 u,22.9
Annual,Percentage,Total,Less than once a month,Total,Total,Greece,12.1,9.3
Annual,Percentage,Total,Less than once a month,Total,Total,Spain,13.1,10.8
Annual,Percentage,Total,Less than once a month,Total,Total,European Union - 27 countries (from 2020),19.7,18.0
Annual,Percentage,Total,Less than once a month,Total,Total,European Union - 28 countries (2013-2020),20.2 e,:
Annual,Percentage,Total,Less than once a month,Total,Total,Finland,28.9,:
Annual,Percentage,Total,Less than once a month,Total,Total,France,:,17.3
Annual,Percentage,Total,Less than once a month,Total,Total,Croatia,15.2,15.7
