Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Females,From 55 to 64 years,Austria,:,26.2 u
Annual,Percentage,Females,From 55 to 64 years,Belgium,:,52.0 u
Annual,Percentage,Females,From 55 to 64 years,Bulgaria,:,: u
Annual,Percentage,Females,From 55 to 64 years,Cyprus,:,: u
Annual,Percentage,Females,From 55 to 64 years,Czechia,:,: u
Annual,Percentage,Females,From 55 to 64 years,Germany,:,46.6
Annual,Percentage,Females,From 55 to 64 years,Denmark,:,: u
Annual,Percentage,Females,From 55 to 64 years,Estonia,:,0 u
Annual,Percentage,Females,From 55 to 64 years,Greece,:,: u
Annual,Percentage,Females,From 55 to 64 years,Spain,:,: u
Annual,Percentage,Females,From 55 to 64 years,European Union - 27 countries (from 2020),:,36.9
Annual,Percentage,Females,From 55 to 64 years,Finland,:,: u
Annual,Percentage,Females,From 55 to 64 years,France,:,44.3 u
Annual,Percentage,Females,From 55 to 64 years,Croatia,:,: u
Annual,Percentage,Females,From 55 to 64 years,Hungary,:,: u
Annual,Percentage,Females,From 55 to 64 years,Ireland,:,: u
Annual,Percentage,Females,From 55 to 64 years,Iceland,:,: u
Annual,Percentage,Females,From 55 to 64 years,Italy,:,30.4
Annual,Percentage,Females,From 55 to 64 years,Lithuania,:,: u
Annual,Percentage,Females,From 55 to 64 years,Luxembourg,:,: u
Annual,Percentage,Females,From 55 to 64 years,Latvia,:,: u
Annual,Percentage,Females,From 55 to 64 years,Malta,:,: u
Annual,Percentage,Females,From 55 to 64 years,Netherlands,:,38.6 u
Annual,Percentage,Females,From 55 to 64 years,Norway,:,: u
Annual,Percentage,Females,From 55 to 64 years,Poland,:,28.5 u
Annual,Percentage,Females,From 55 to 64 years,Portugal,:,12.2 u
Annual,Percentage,Females,From 55 to 64 years,Romania,:,: u
Annual,Percentage,Females,From 55 to 64 years,Serbia,:,28.2 u
Annual,Percentage,Females,From 55 to 64 years,Sweden,:,: u
