Time frequency,Unit of measure,Age class,Type of household,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,From 55 to 64 years,Single person,Austria,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Belgium,:,66.8 u
Annual,Percentage,From 55 to 64 years,Single person,Bulgaria,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Cyprus,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Czechia,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Germany,:,48.4 u
Annual,Percentage,From 55 to 64 years,Single person,Denmark,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Estonia,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Greece,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Spain,:,: u
Annual,Percentage,From 55 to 64 years,Single person,European Union - 27 countries (from 2020),:,44.3
Annual,Percentage,From 55 to 64 years,Single person,Finland,:,: u
Annual,Percentage,From 55 to 64 years,Single person,France,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Croatia,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Hungary,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Ireland,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Iceland,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Italy,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Lithuania,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Luxembourg,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Latvia,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Malta,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Netherlands,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Norway,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Poland,:,43.5 u
Annual,Percentage,From 55 to 64 years,Single person,Portugal,:,19.0 u
Annual,Percentage,From 55 to 64 years,Single person,Romania,:,: u
Annual,Percentage,From 55 to 64 years,Single person,Serbia,:,: u
