Time frequency,Unit of measure,n_portion,isced11,sex,age,geo\TIME_PERIOD,2014.0,2019.0
Annual,Percentage,0.0,TOTAL,T,TOTAL,AT,31.8,35.8
Annual,Percentage,0.0,TOTAL,T,TOTAL,BE,16.1,17.4
Annual,Percentage,0.0,TOTAL,T,TOTAL,BG,58.6,47.1
Annual,Percentage,0.0,TOTAL,T,TOTAL,CY,32.6,33.2
Annual,Percentage,0.0,TOTAL,T,TOTAL,CZ,46.3,48.2
Annual,Percentage,0.0,TOTAL,T,TOTAL,DE,45.2,33.2
Annual,Percentage,0.0,TOTAL,T,TOTAL,DK,37.6,38.6
Annual,Percentage,0.0,TOTAL,T,TOTAL,EE,34.9,39.4
Annual,Percentage,0.0,TOTAL,T,TOTAL,EL,30.1,33.1
Annual,Percentage,0.0,TOTAL,T,TOTAL,ES,25.0,23.4
Annual,Percentage,0.0,TOTAL,T,TOTAL,EU27_2020,36.0,32.9
Annual,Percentage,0.0,TOTAL,T,TOTAL,EU28,34.4,:
Annual,Percentage,0.0,TOTAL,T,TOTAL,FI,42.3,37.5
Annual,Percentage,0.0,TOTAL,T,TOTAL,FR,34.7,25.2
Annual,Percentage,0.0,TOTAL,T,TOTAL,HR,27.5,28.5
Annual,Percentage,0.0,TOTAL,T,TOTAL,HU,33.1,36.3
Annual,Percentage,0.0,TOTAL,T,TOTAL,IE,33.4,19.0
Annual,Percentage,0.0,TOTAL,T,TOTAL,IS,34.8,34.1
Annual,Percentage,0.0,TOTAL,T,TOTAL,IT,23.0,23.8
Annual,Percentage,0.0,TOTAL,T,TOTAL,LT,41.5,41.0
Annual,Percentage,0.0,TOTAL,T,TOTAL,LU,36.2,48.1
Annual,Percentage,0.0,TOTAL,T,TOTAL,LV,48.5,53.9
Annual,Percentage,0.0,TOTAL,T,TOTAL,MT,35.6,36.4
Annual,Percentage,0.0,TOTAL,T,TOTAL,NL,45.9,41.8
Annual,Percentage,0.0,TOTAL,T,TOTAL,NO,30.9,29.2
Annual,Percentage,0.0,TOTAL,T,TOTAL,PL,33.2,37.5
Annual,Percentage,0.0,TOTAL,T,TOTAL,PT,20.7,27.4
Annual,Percentage,0.0,TOTAL,T,TOTAL,RO,65.1,73.6
