Time frequency,Unit of measure,Health problems,Income quantile,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Depressive symptoms,Total,Total,Total,Austria,5.0,5.6
Annual,Percentage,Depressive symptoms,Total,Total,Total,Belgium,:,9.0
Annual,Percentage,Depressive symptoms,Total,Total,Total,Bulgaria,7.9,4.5
Annual,Percentage,Depressive symptoms,Total,Total,Total,Cyprus,4.6,2.5
Annual,Percentage,Depressive symptoms,Total,Total,Total,Czechia,3.2,4.2
Annual,Percentage,Depressive symptoms,Total,Total,Total,Germany,8.5,9.1
Annual,Percentage,Depressive symptoms,Total,Total,Total,Denmark,6.3,8.4
Annual,Percentage,Depressive symptoms,Total,Total,Total,Estonia,6.9,8.2
Annual,Percentage,Depressive symptoms,Total,Total,Total,Greece,4.4,2.6
Annual,Percentage,Depressive symptoms,Total,Total,Total,Spain,6.7,4.8
Annual,Percentage,Depressive symptoms,Total,Total,Total,European Union - 27 countries (from 2020),6.5,7.0
Annual,Percentage,Depressive symptoms,Total,Total,Total,European Union - 28 countries (2013-2020),6.7,:
Annual,Percentage,Depressive symptoms,Total,Total,Total,Finland,4.8,6.5
Annual,Percentage,Depressive symptoms,Total,Total,Total,France,7.0,10.8
Annual,Percentage,Depressive symptoms,Total,Total,Total,Croatia,3.8,8.7
Annual,Percentage,Depressive symptoms,Total,Total,Total,Hungary,10.3,5.4
Annual,Percentage,Depressive symptoms,Total,Total,Total,Ireland,5.8,4.9
Annual,Percentage,Depressive symptoms,Total,Total,Total,Iceland,8.8,7.6
Annual,Percentage,Depressive symptoms,Total,Total,Total,Italy,4.3,4.2
Annual,Percentage,Depressive symptoms,Total,Total,Total,Lithuania,3.9,5.5
Annual,Percentage,Depressive symptoms,Total,Total,Total,Luxembourg,8.3,8.3
Annual,Percentage,Depressive symptoms,Total,Total,Total,Latvia,4.7,5.6
Annual,Percentage,Depressive symptoms,Total,Total,Total,Malta,5.7,8.8
Annual,Percentage,Depressive symptoms,Total,Total,Total,Netherlands,:,8.2
Annual,Percentage,Depressive symptoms,Total,Total,Total,Norway,6.4,6.2
Annual,Percentage,Depressive symptoms,Total,Total,Total,Poland,5.3,5.0
Annual,Percentage,Depressive symptoms,Total,Total,Total,Portugal,10.1,8.4
Annual,Percentage,Depressive symptoms,Total,Total,Total,Romania,4.6,4.1
Annual,Percentage,Depressive symptoms,Total,Total,Total,Serbia,:,2.2
Annual,Percentage,Depressive symptoms,Total,Total,Total,Sweden,9.2,10.5
Annual,Percentage,Depressive symptoms,Total,Total,Total,Slovenia,5.5,7.5
Annual,Percentage,Depressive symptoms,Total,Total,Total,Slovakia,3.4,3.1
Annual,Percentage,Depressive symptoms,Total,Total,Total,Türkiye,6.8,6.6
Annual,Percentage,Depressive symptoms,Total,Total,Total,United Kingdom,8.2,:
