Time frequency,Unit of measure,Duration,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,18.4,21.3
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,:,32.7
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,59.6,56.0
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,56.1,64.0
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,23.0,32.9
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,20.0,13.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,12.1,11.8
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,35.8,31.7
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,47.3,30.9
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,34.4,33.4
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),34.5,30.8
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,14.6,:
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,France,36.0,33.2
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,37.0,42.0
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,26.0,26.8
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,:,34.1
Annual,Percentage,Zero minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,:,20.6
