Time frequency,Unit of measure,Sex,Health indicator,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Austria,73.7,70.7,71.3,69.7,69.9,69.6,69.8,72.2,76.0,74.9
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Belgium,79.2,78.7,79.2,78.2,78.0,77.6,76.1 b,79.0,78.9,77.9
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Bulgaria,86.1,85.9,84.6,87.8 b,86.2,87.7,88.3,89.2,88.6,89.9 b
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Switzerland,72.4 b,70.4,71.6,71.0,72.4,72.2,72.1,74.1,73.1,70.6
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Cyprus,78.4,80.1,77.4,82.5,79.4,75.0,76.0,76.3,80.8,80.9
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Czechia,80.8,81.3,80.0,80.0,77.6,79.2,78.2,78.7,80.4,78.2
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Germany,71.2,69.6,82.3 b,82.0,81.3,81.2,81.5,81.0 b,81.2,75.7 bu
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Denmark,75.2,75.4,73.1,74.5,73.6,75.2,72.3,71.0 b,69.5,68.8
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Estonia,71.7,71.3,70.5,72.8,71.4,68.6,70.6,72.9,73.2,75.9
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Greece,79.7,79.1,78.9,78.9,79.6,79.9,80.8,81.0,81.9,82.9
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Spain,77.2,78.0,77.1,79.3,83.2,81.4,83.3,80.5,75.4,73.5
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,European Union - 27 countries (from 2020),75.8,75.8,78.1 b,79.1,79.0,79.0,79.5,79.7,79.5,77.7 b
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,European Union - 28 countries (2013-2020),76.3,76.1,78.0 b,78.8,78.8,78.5,:,:,:,:
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,Finland,:,71.5,70.9,71.3,70.3,70.1,68.7,69.4,75.3,71.3
Annual,Percentage,Total,Healthy life years at birth in percentage of the total life expectancy,France,77.2,77.0,77.2,76.6,77.1,77.2,77.3,78.5 b,80.4,78.3 bp
