Time frequency,Unit of measure,Quantile,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 16 to 19 years,Total,Austria,16.2,11.6,14.7,15.1,17.8,17.3,16.8,15.0,14.5,13.1
Annual,Percentage,Total,From 16 to 19 years,Total,Belgium,9.8,8.2,8.8,10.5,10.9,11.3,7.9,5.2 u,7.6,7.9
Annual,Percentage,Total,From 16 to 19 years,Total,Bulgaria,2.6,5.1,3.2 b,5.4 u,3.4 u,3.0 u,: u,: u,: u,: u
Annual,Percentage,Total,From 16 to 19 years,Total,Switzerland,22.0,21.4,21.4,16.8,14.9,20.5,16.9,18.3,24.4,20.5
Annual,Percentage,Total,From 16 to 19 years,Total,Cyprus,7.1,6.5,5.5,6.8 u,8.7 u,9.2 u,8.9 u,10.5,6.5 u,7.3 u
Annual,Percentage,Total,From 16 to 19 years,Total,Czechia,4.6 u,9.0 u,6.6 u,10.9 u,: u,: u,: u,8.3,7.8,7.8
Annual,Percentage,Total,From 16 to 19 years,Total,Germany,10.5,16.8 b,13.0,16.5,16.9,15.5,: u,: u,13.1 u,8.5 e
Annual,Percentage,Total,From 16 to 19 years,Total,Denmark,14.6,15.6,19.7,15.7 u,: u,18.2 u,13.3 u,14.0 u,13.6 u,: u
Annual,Percentage,Total,From 16 to 19 years,Total,Estonia,17.1,15.9,16.0,16.7,15.4,14.7,14.5,17.9,15.9,18.9
Annual,Percentage,Total,From 16 to 19 years,Total,Greece,3.2,3.7,2.6,3.3,1.9 u,: u,2.3 u,: u,: u,2.3 u
Annual,Percentage,Total,From 16 to 19 years,Total,Spain,8.9,9.4,9.7,7.8,9.8,7.4,14.6,13.9,13.6,13.1
Annual,Percentage,Total,From 16 to 19 years,Total,European Union - 27 countries (from 2020),:,:,:,14.2 e,14.1 u,13.7 u,: u,: u,13.1 e,12.1
Annual,Percentage,Total,From 16 to 19 years,Total,Finland,17.4,23.5,20.1,22.3,19.5,21.6,25.1,23.8,24.9,22.5
Annual,Percentage,Total,From 16 to 19 years,Total,France,13.4,11.5,12.2,13.0,13.2,13.2,12.3,12.2,13.6 b,12.9
Annual,Percentage,Total,From 16 to 19 years,Total,Croatia,7.6 u,7.9,7.9,7.6,8.3,7.1,8.1,5.8 u,6.3 u,5.2 bu
Annual,Percentage,Total,From 16 to 19 years,Total,Hungary,7.6,10.9,9.1,11.0,11.8,9.6,8.8 u,6.8 u,7.8 u,5.1 u
Annual,Percentage,Total,From 16 to 19 years,Total,Ireland,11.7,12.1,12.8,14.4,10.0,12.0 b,11.2,12.7,15.4,12.2
Annual,Percentage,Total,From 16 to 19 years,Total,Iceland,20.3,23.3,:,20.3 u,21.4 u,12.1 u,:,:,:,:
Annual,Percentage,Total,From 16 to 19 years,Total,Italy,5.0,4.8,3.4 b,1.9 u,1.4 u,2.2 u,2.7 u,3.6 u,5.2,3.9
Annual,Percentage,Total,From 16 to 19 years,Total,Lithuania,5.0,9.3,8.2,8.6 u,9.4 u,7.5 u,6.6 u,5.1 u,: u,7.0 u
Annual,Percentage,Total,From 16 to 19 years,Total,Luxembourg,8.9,9.9,15.3 b,14.1,14.2,8.9,9.7 u,13.8 b,7.0 bu,: u
Annual,Percentage,Total,From 16 to 19 years,Total,Latvia,7.2,9.5,9.1,11.5,12.2,13.9,6.7 u,10.7 u,6.9 u,10.7 u
Annual,Percentage,Total,From 16 to 19 years,Total,Montenegro,:,:,:,:,:,:,:,: u,: u,:
Annual,Percentage,Total,From 16 to 19 years,Total,North Macedonia,1.2,1.9,1.3,: u,: u,: u,: u,:,:,:
Annual,Percentage,Total,From 16 to 19 years,Total,Malta,5.8,5.2,7.1,8.3 u,8.1 u,11.1 u,14.0 u,8.6 u,8.0 u,10.1 u
Annual,Percentage,Total,From 16 to 19 years,Total,Netherlands,14.6,18.8,13.9 b,14.4,15.4,12.1,12.7 u,14.5,14.3 u,15.3 u
Annual,Percentage,Total,From 16 to 19 years,Total,Norway,20.3,24.5,20.1,23.0,18.7,23.7,25.5,16.6 b,22.6,18.3 u
Annual,Percentage,Total,From 16 to 19 years,Total,Poland,7.4,8.6,9.3,14.2,10.8,11.3,9.4,6.9,8.4,8.1
Annual,Percentage,Total,From 16 to 19 years,Total,Portugal,17.4,15.9,15.0,16.5,14.6,16.8,15.6,17.7,15.8,17.7
Annual,Percentage,Total,From 16 to 19 years,Total,Romania,1.8,2.4,0.7,: u,: u,: u,: u,: u,: u,: u
Annual,Percentage,Total,From 16 to 19 years,Total,Serbia,2.6,4.1,3.3,4.3 u,3.3 u,: u,: u,4.4 u,: u,:
Annual,Percentage,Total,From 16 to 19 years,Total,Sweden,20.2,17.0,15.5,21.3,18.0,20.2,22.5,20.6,21.9,21.8
