Time frequency,Unit of measure,Severity (days lost),Activity and employment status,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Rate,4 days or over,Contributing family workers,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,5483.0,4322.0,5022.0,5528.0,5319.0,4446.0,4474.0,4523.0,5114.0,5014.0,4713.0,3894.0
Annual,Rate,4 days or over,Contributing family workers,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,3178.0,2054.0,2092.0,2286.0,2195.0,1580.0,1462.0,1465.0,1154.0,1396.0,1349.0,1031.0
Annual,Rate,4 days or over,Contributing family workers,Manufacturing,European Union - 15 countries (1995-2004) and Norway,882.0,557.0,410.0,716.0,888.0,719.0,539.0,502.0,838.0,993.0,938.0,783.0
Annual,Rate,4 days or over,Contributing family workers,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,0.0,:,560.0,:,42.0,:,:,: p,: p,:,2116.0,:
Annual,Rate,4 days or over,Contributing family workers,Construction,European Union - 15 countries (1995-2004) and Norway,1204.0,829.0,617.0,1251.0,1689.0,1067.0,961.0,1024.0,1245.0,1260.0,1523.0,1017.0
Annual,Rate,4 days or over,Contributing family workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,73.0,40.0,44.0,:,114.0,96.0,73.0,82.0,102.0,133.0,122.0,108.0
Annual,Rate,4 days or over,Contributing family workers,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,12.0,9.0,12.0,:,34.0,28.0,9.0,19.0,120.0,32.0,24.0,27.0
Annual,Rate,4 days or over,Contributing family workers,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,863.0,619.0,775.0,1373.0,1786.0,1411.0,869.0,888.0,787.0,940.0,1070.0,919.0
Annual,Rate,4 days or over,Contributing family workers,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,56.0,42.0,39.0,78.0,130.0,98.0,83.0,80.0,102.0,90.0,133.0,101.0
Annual,Rate,4 days or over,Employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,6737.0,6618.0,6772.0,7039.0,6610.0,6144.0,5183.0,5038.0,5056.0,4557.0,4279.0,3728.0
Annual,Rate,4 days or over,Employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,4229.0,4104.0,4096.0,4090.0,4021.0,3841.0,3528.0,3328.0,3172.0,3097.0,3093.0,2715.0
Annual,Rate,4 days or over,Employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,4691.0,4632.0,4533.0,4502.0,4453.0,4323.0,3917.0,3718.0,3575.0,3520.0,3421.0,3097.0
Annual,Rate,4 days or over,Employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,1718.0,1738.0,1707.0,1517.0,1609.0,1442.0,1823.0,1840.0,1819.0,1881.0,1559.0,1717.0
Annual,Rate,4 days or over,Employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,8022.0,7946.0,8011.0,7801.0,7550.0,7240.0,6883.0,6484.0,6243.0,6061.0,6115.0,5014.0
Annual,Rate,4 days or over,Employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,2411.0,2378.0,2438.0,2483.0,2510.0,2425.0,2454.0,2283.0,2177.0,2170.0,2175.0,1996.0
Annual,Rate,4 days or over,Employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,3513.0,3348.0,3571.0,3688.0,3772.0,3532.0,3268.0,3203.0,3023.0,2927.0,2994.0,2589.0
Annual,Rate,4 days or over,Employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,6006.0,5912.0,5849.0,5689.0,5515.0,5149.0,4053.0,3731.0,3723.0,3704.0,3564.0,3385.0
Annual,Rate,4 days or over,Employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,1572.0,1594.0,1617.0,1782.0,1809.0,1758.0,1746.0,1648.0,1437.0,1434.0,1571.0,1344.0
Annual,Rate,4 days or over,Employees,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,5541.0,5874.0,6528.0,6667.0,6072.0,5720.0,5975.0,5853.0,5712.0,4648.0,4203.0,4026.0
